"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
10868,Karuvappanaichenpettai,Kulittalai,Tiruchirappalli,4266,485,1024,4.2,2116,2150,984,522,263,259,1015,1612,37.8,779,833,935,0,0.0,0,0,0,2353,62.85,1374,979,1403,2012,47.2,1221,791,1544,3,0.1,0,3,0,2251,52.8,895,1356,660,1731,86.03,976,755,1293,58,2.88,53,5,10600,223,11.08,192,31,6194,574,28.53,487,87,5598,1156,57.46,488,668,731,1,0.0,1,0,0,0,0.0,0,0,0,24,1.19,19,5,3800,27,1.34,27,0,0,7,0.35,7,0,0,76,3.78,71,5,14200,17,0.84,17,0,0,130,6.46,104,26,4000,yes,0,4,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,1,0,0,1,0,0,no,1,0,yes,0,1,1,1,1,0,Kulithala,5,yes,1,1,0,0,0,0.0,489,89.07,60,10.93,15,1.72,316,35.78,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10869,Vadhiyam,Kulittalai,Tiruchirappalli,3017,423,727,4.1,1509,1508,1001,388,188,200,940,885,29.3,419,466,899,0,0.0,0,0,0,1715,65.23,1020,695,1468,1141,37.8,852,289,2948,3,0.1,0,3,0,1873,62.1,657,1216,540,971,85.1,704,267,2637,37,3.24,33,4,8250,133,11.66,115,18,6389,420,36.81,402,18,22333,549,48.12,300,249,1205,2,0.0,2,0,0,0,0.0,0,0,0,14,1.23,10,4,2500,18,1.58,18,0,0,5,0.44,5,0,0,50,4.38,47,3,15667,25,2.19,24,1,24000,58,5.08,44,14,3143,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,2,yes,0,0,0,1,11,1.52,399,97.8,9,2.2,10,1.46,284,39.76,399.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10870,Manathattai,Kulittalai,Tiruchirappalli,1134,829,269,4.2,566,568,996,156,78,78,1000,745,65.7,366,379,966,0,0.0,0,0,0,321,32.82,167,154,1084,442,39.0,307,135,2274,0,0.0,0,0,0,692,61.0,259,433,598,380,85.97,254,126,2016,39,8.82,31,8,3875,23,5.2,22,1,22000,118,26.7,50,68,735,262,59.28,204,58,3517,0,0.0,0,0,0,0,0.0,0,0,0,6,1.36,4,2,2000,33,7.47,27,6,4500,0,0.0,0,0,0,13,2.94,12,1,12000,1,0.23,1,0,0,9,2.04,9,0,0,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,3,yes,0,0,0,1,5,3.66,36,44.54,45,55.46,34,25.01,17,12.22,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10871,Vaiganallur(North),Kulittalai,Tiruchirappalli,2436,1817,575,4.2,1187,1249,950,289,144,145,993,697,28.6,324,373,869,0,0.0,0,0,0,1240,57.76,720,520,1385,1183,48.6,687,496,1385,1,0.0,0,1,0,1252,51.4,500,752,665,1085,91.72,612,473,1294,28,2.37,25,3,8333,70,5.92,50,20,2500,238,20.12,191,47,4064,847,71.6,421,426,988,0,0.0,0,0,0,0,0.0,0,0,0,21,1.78,18,3,6000,2,0.17,2,0,0,5,0.42,5,0,0,16,1.35,11,5,2200,10,0.85,9,1,9000,44,3.72,30,14,2143,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,4,yes,0,0,0,1,0,0.0,77,78.35,21,21.65,0,0.0,36,27.15,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10872,Vaiganallur(South),Kulittalai,Tiruchirappalli,5158,406,1215,4.2,2562,2596,987,715,356,359,992,116,2.2,62,54,1148,0,0.0,0,0,0,1954,43.98,1257,697,1803,2558,49.6,1547,1011,1530,1,0.0,0,1,0,2599,50.4,1015,1584,641,2355,92.06,1360,995,1367,85,3.32,79,6,13167,118,4.61,108,10,10800,621,24.28,549,72,7625,1731,67.67,808,923,875,3,0.0,3,0,0,0,0.0,0,0,0,34,1.33,30,4,7500,44,1.72,42,2,21000,7,0.27,7,0,0,43,1.68,39,4,9750,10,0.39,10,0,0,65,2.54,59,6,9833,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,1,0,Kulithala,5,yes,0,0,0,1,0,0.0,515,45.25,624,54.75,11,0.85,121,9.51,515.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10873,Kulithalai RF,Kulittalai,Tiruchirappalli,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10874,Rajendram (North),Kulittalai,Tiruchirappalli,4013,819,942,4.3,2002,2011,996,502,265,237,1118,924,23.0,467,457,1022,22,0.5,11,11,1000,2461,70.09,1393,1068,1304,1839,45.8,1175,664,1770,1,0.0,0,1,0,2173,54.1,827,1346,614,862,46.87,507,355,1428,625,33.99,384,241,1593,352,19.14,284,68,4176,228,12.4,200,28,7143,620,33.71,297,323,920,14,0.01,10,4,2500,0,0.0,0,0,0,468,25.45,281,187,1503,131,7.12,91,40,2275,26,1.41,12,14,857,131,7.12,112,19,5895,62,3.37,60,2,30000,159,8.65,112,47,2383,yes,0,1,1,0,0,0,0,0,0,1,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,0,0,Kulithala,5,yes,0,0,0,1,14,2.85,291,100.0,0,0.0,5,1.04,179,36.65,291.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10875,Rajendram (South),Kulittalai,Tiruchirappalli,4461,688,1103,4.0,2209,2252,981,643,337,306,1101,1562,35.0,738,824,896,374,8.4,184,190,968,1941,50.84,1245,696,1789,1913,42.9,1285,628,2046,430,9.6,0,430,0,2118,47.5,924,1194,774,1790,93.57,1170,620,1887,31,1.62,31,0,0,92,4.81,84,8,10500,563,29.43,444,119,3731,1226,64.09,725,501,1447,1,0.0,1,0,0,0,0.0,0,0,0,5,0.26,5,0,0,25,1.31,25,0,0,1,0.05,1,0,0,53,2.77,51,2,25500,8,0.42,8,0,0,31,1.62,25,6,4167,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,5,yes,0,0,0,1,0,0.0,376,63.3,218,36.7,0,0.0,55,8.5,375.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10876,Marudur (North) BitI,Kulittalai,Tiruchirappalli,2185,449,550,4.0,1111,1074,1034,212,123,89,1382,508,23.2,262,246,1065,0,0.0,0,0,0,1298,65.79,802,496,1617,897,41.1,642,255,2518,197,9.0,0,197,0,1091,49.9,469,622,754,675,75.25,451,224,2013,69,7.69,65,4,16250,153,17.06,126,27,4667,150,16.72,147,3,49000,523,58.31,302,221,1367,2,0.0,2,0,0,0,0.0,0,0,0,21,2.34,18,3,6000,40,4.46,39,1,39000,8,0.89,8,0,0,56,6.24,51,5,10200,27,3.01,27,0,0,70,7.8,48,22,2182,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,1,1,0,0,0,0,0,no,1,0,yes,0,1,1,1,1,0,Kulithala,5,yes,1,1,0,0,75,15.43,195,100.0,0,0.0,5,1.01,212,43.53,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10877,Marudur (North) BitII,Kulittalai,Tiruchirappalli,1597,394,412,3.9,788,809,974,208,123,85,1447,1324,82.9,645,679,950,0,0.0,0,0,0,761,54.79,474,287,1652,681,42.6,433,248,1746,0,0.0,0,0,0,916,57.4,355,561,633,653,95.89,406,247,1644,7,1.03,7,0,0,21,3.08,20,1,20000,109,16.01,95,14,6786,543,79.74,310,233,1330,1,0.0,1,0,0,0,0.0,0,0,0,5,0.73,5,0,0,2,0.29,2,0,0,0,0.0,0,0,0,5,0.73,5,0,0,4,0.59,4,0,0,12,1.76,11,1,11000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,5,yes,1,1,0,0,0,0.0,350,99.9,0,0.1,11,2.72,44,10.82,350.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10878,Kumaramangalam,Kulittalai,Tiruchirappalli,1808,501,429,4.2,895,913,980,254,126,128,984,855,47.3,408,447,913,0,0.0,0,0,0,891,57.34,565,326,1733,772,42.7,517,255,2027,206,11.4,0,206,0,830,45.9,378,452,836,686,88.86,435,251,1733,14,1.81,14,0,0,72,9.33,68,4,17000,82,10.62,77,5,15400,603,78.11,357,246,1451,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,12,1.55,12,0,0,2,0.26,2,0,0,20,2.59,17,3,5667,23,2.98,23,0,0,29,3.76,28,1,28000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Kulithala,10,yes,1,1,0,0,0,0.0,294,100.0,0,0.0,1,0.29,66,18.24,294.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10879,Marudur (South) Bit I,Kulittalai,Tiruchirappalli,3861,465,964,4.0,1905,1956,974,475,247,228,1083,898,23.3,457,441,1036,0,0.0,0,0,0,1622,47.9,1054,568,1856,2050,53.1,1243,807,1540,94,2.4,0,94,0,1717,44.5,662,1055,627,1843,89.9,1067,776,1375,109,5.32,97,12,8083,98,4.78,79,19,4158,372,18.15,336,36,9333,1469,71.66,729,740,985,2,0.0,2,0,0,0,0.0,0,0,0,27,1.32,18,9,2000,67,3.27,64,3,21333,15,0.73,15,0,0,32,1.56,29,3,9667,10,0.49,10,0,0,56,2.73,40,16,2500,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,1,0,kulittala,15,yes,0,0,0,1,0,0.0,550,84.8,99,15.2,117,14.09,65,7.78,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10880,Marudur (South) Bit II,Kulittalai,Tiruchirappalli,2727,368,623,4.4,1357,1370,991,384,200,184,1087,514,18.8,251,263,954,0,0.0,0,0,0,1051,44.86,689,362,1903,1491,54.7,800,691,1158,1,0.0,0,1,0,1235,45.3,557,678,822,1379,92.49,708,671,1055,36,2.41,33,3,11000,76,5.1,59,17,3471,320,21.46,244,76,3211,1059,71.03,464,595,780,0,0.0,0,0,0,0,0.0,0,0,0,4,0.27,2,2,1000,25,1.68,25,0,0,7,0.47,6,1,6000,37,2.48,32,5,6400,10,0.67,10,0,0,29,1.95,17,12,1417,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,10,yes,1,1,0,0,0,0.0,496,96.0,21,4.0,145,19.61,79,10.69,495.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10881,Poyyamani,Kulittalai,Tiruchirappalli,5023,684,1195,4.2,2543,2480,1025,641,328,313,1048,1637,32.6,815,822,991,5,0.1,2,3,667,2584,58.97,1588,996,1594,2571,51.2,1589,982,1618,0,0.0,0,0,0,2452,48.8,954,1498,637,2417,94.01,1449,968,1497,57,2.22,55,2,27500,97,3.77,85,12,7083,282,10.97,264,18,14667,2133,82.96,1183,950,1245,2,0.0,2,0,0,0,0.0,0,0,0,13,0.51,11,2,5500,40,1.56,40,0,0,4,0.16,4,0,0,21,0.82,21,0,0,6,0.23,6,0,0,70,2.72,58,12,4833,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,13,yes,0,0,0,1,0,0.0,646,92.86,50,7.14,25,3.42,14,1.9,645.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10882,Nangavaram (North) Bit I,Kulittalai,Tiruchirappalli,2509,354,585,4.3,1275,1234,1033,438,224,214,1047,603,24.0,297,306,971,0,0.0,0,0,0,1064,51.38,692,372,1860,1096,43.7,731,365,2003,168,6.7,4,164,24,1245,49.6,540,705,766,1031,94.07,675,356,1896,18,1.64,17,1,17000,47,4.29,39,8,4875,397,36.22,341,56,6089,633,57.76,333,300,1110,1,0.0,1,0,0,0,0.0,0,0,0,9,0.82,8,1,8000,7,0.64,7,0,0,2,0.18,2,0,0,27,2.46,24,3,8000,3,0.27,3,0,0,17,1.55,12,5,2400,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,14,yes,1,0,0,0,0,0.0,584,94.27,35,5.73,14,1.96,75,10.62,584.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10883,Nangavaram (North) Bit II,Kulittalai,Tiruchirappalli,4993,903,1107,4.5,2444,2549,959,643,318,325,978,1742,34.9,842,900,936,0,0.0,0,0,0,2595,59.66,1554,1041,1493,2135,42.8,1442,693,2081,0,0.0,0,0,0,2858,57.2,1002,1856,540,1838,86.09,1177,661,1781,51,2.39,51,0,0,246,11.52,214,32,6688,471,22.06,441,30,14700,1365,63.93,734,631,1163,2,0.0,2,0,0,0,0.0,0,0,0,10,0.47,10,0,0,38,1.78,38,0,0,3,0.14,3,0,0,53,2.48,47,6,7833,35,1.64,34,1,34000,158,7.4,133,25,5320,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,20,yes,1,0,1,0,0,0.0,464,97.89,10,2.11,20,3.65,59,10.59,464.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10884,Nangavaram (South) Bit I,Kulittalai,Tiruchirappalli,6141,442,1526,4.0,3042,3099,982,819,409,410,998,1340,21.8,663,677,979,0,0.0,0,0,0,2722,51.15,1652,1070,1544,3056,49.8,1890,1166,1621,67,1.1,0,67,0,3018,49.1,1152,1866,617,2674,87.5,1553,1121,1385,91,2.98,88,3,29333,291,9.52,249,42,5929,377,12.34,302,75,4027,2287,74.84,1243,1044,1191,10,0.0,8,2,4000,0,0.0,0,0,0,21,0.69,18,3,6000,44,1.44,44,0,0,26,0.85,26,0,0,132,4.32,120,12,10000,36,1.18,35,1,35000,123,4.02,94,29,3241,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,1,0,kulittala,22,yes,0,0,0,1,0,0.0,703,68.22,327,31.78,244,17.55,115,8.26,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10885,Nangavaram (South) Bit II,Kulittalai,Tiruchirappalli,2594,472,589,4.4,1316,1278,1030,367,193,174,1109,161,6.2,82,79,1038,0,0.0,0,0,0,1148,51.55,701,447,1568,1111,42.8,772,339,2277,115,4.4,5,110,45,1368,52.7,539,829,650,1022,91.99,699,323,2164,24,2.16,23,1,23000,65,5.85,50,15,3333,328,29.52,297,31,9581,689,62.02,397,292,1360,5,0.0,5,0,0,0,0.0,0,0,0,18,1.62,17,1,17000,6,0.54,6,0,0,0,0.0,0,0,0,24,2.16,21,3,7000,7,0.63,7,0,0,34,3.06,22,12,1833,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,1,0,1,0,0,Kulithala,20,yes,1,1,0,0,0,0.0,403,100.0,0,0.0,85,15.42,63,11.38,402.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10886,Sooriyanur,Kulittalai,Tiruchirappalli,1404,591,354,4.0,708,696,1017,187,101,86,1174,271,19.3,135,136,993,0,0.0,0,0,0,610,50.12,414,196,2112,790,56.3,420,370,1135,0,0.0,0,0,0,614,43.7,288,326,883,746,94.43,388,358,1084,13,1.65,9,4,2250,31,3.92,23,8,2875,399,50.51,314,85,3694,347,43.92,74,273,271,0,0.0,0,0,0,0,0.0,0,0,0,11,1.39,7,4,1750,2,0.25,2,0,0,0,0.0,0,0,0,2,0.25,2,0,0,1,0.13,0,1,0,28,3.54,21,7,3000,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Kulithala,20,yes,1,0,0,0,0,0.0,200,100.0,0,0.0,11,4.43,27,11.45,199.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10887,Inungur,Kulittalai,Tiruchirappalli,6939,331,1709,4.1,3515,3424,1027,810,422,388,1088,2067,29.8,1024,1043,982,0,0.0,0,0,0,2675,43.64,1725,950,1816,3315,47.8,2326,989,2352,1,0.0,0,1,0,3623,52.2,1189,2434,488,3011,90.83,2082,929,2241,93,2.81,68,25,2720,211,6.37,176,35,5029,719,21.69,653,66,9894,2279,68.75,1416,863,1641,13,0.0,13,0,0,0,0.0,0,0,0,7,0.21,6,1,6000,79,2.38,55,24,2292,7,0.21,7,0,0,44,1.33,42,2,21000,15,0.45,15,0,0,152,4.59,119,33,3606,yes,0,4,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Kulithala,22,yes,0,0,0,1,0,0.0,1355,84.4,251,15.6,469,22.37,20,0.97,1355.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10888,Nallur,Kulittalai,Tiruchirappalli,2406,164,580,4.1,1178,1228,959,365,185,180,1028,748,31.1,358,390,918,0,0.0,0,0,0,802,39.29,531,271,1959,821,34.1,720,101,7129,233,9.7,0,233,0,1352,56.2,458,894,512,745,90.74,658,87,7563,11,1.34,10,1,10000,65,7.92,52,13,4000,396,48.23,374,22,17000,347,42.27,282,65,4338,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,1.1,8,1,8000,2,0.24,2,0,0,21,2.56,20,1,20000,8,0.97,8,0,0,36,4.38,24,12,2000,yes,0,4,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Kulithala,20,yes,0,0,0,1,0,0.0,103,16.04,541,83.96,614,41.79,212,14.41,103.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10889,Hiranyamangalam,Kulittalai,Tiruchirappalli,3110,239,720,4.3,1522,1588,958,405,224,181,1238,906,29.1,433,473,915,0,0.0,0,0,0,1345,49.72,830,515,1612,1822,58.6,965,857,1126,11,0.4,0,11,0,1277,41.1,557,720,774,1700,93.3,871,829,1051,35,1.92,27,8,3375,87,4.77,67,20,3350,353,19.37,266,87,3057,1347,73.93,605,742,815,0,0.0,0,0,0,0,0.0,0,0,0,6,0.33,3,3,1000,20,1.1,18,2,9000,9,0.49,6,3,2000,37,2.03,30,7,4286,5,0.27,5,0,0,45,2.47,32,13,2462,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kulithala,15,yes,0,0,0,1,0,0.0,355,51.53,334,48.47,511,39.28,101,7.76,355.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
