"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
10960,Uyyakondan Thirumalai,Tiruchchirappall,Tiruchirappalli,5565,2274,1297,4.3,2825,2740,1031,723,362,361,1003,1121,20.1,582,539,1080,26,0.5,12,14,857,3940,81.37,2241,1699,1319,1830,32.9,1553,277,5606,0,0.0,0,0,0,3735,67.1,1272,2463,516,631,34.48,475,156,3045,364,19.89,339,25,13560,835,45.63,739,96,7698,77,4.21,72,5,14400,549,30.0,398,151,2636,5,0.0,5,0,0,0,0.0,0,0,0,0,0.0,0,0,0,267,14.59,258,9,28667,97,5.3,81,16,5063,385,21.04,355,30,11833,173,9.45,170,3,56667,277,15.14,214,63,3397,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tiruch,5,yes,0,0,0,1,0,0.0,200,95.35,10,4.65,10,4.09,25,10.21,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10961,Somarasampettai,Tiruchchirappall,Tiruchirappalli,5676,2330,1304,4.4,2867,2809,1021,821,435,386,1127,1020,18.0,517,503,1028,21,0.4,11,10,1100,3988,82.14,2190,1798,1218,1830,32.2,1502,328,4579,112,2.0,2,110,18,3734,65.8,1363,2371,575,888,48.52,676,212,3189,259,14.15,242,17,14235,683,37.32,584,99,5899,115,6.28,106,9,11778,768,41.97,565,203,2783,5,0.0,5,0,0,0,0.0,0,0,0,35,1.91,28,7,4000,178,9.73,173,5,34600,46,2.51,41,5,8200,292,15.96,267,25,10680,103,5.63,102,1,102000,288,15.74,215,73,2945,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Tiruch,8,yes,0,0,0,1,0,0.0,177,79.16,47,20.84,0,0.0,20,8.21,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10962,Kumaravayalur,Tiruchchirappall,Tiruchirappalli,1728,538,360,4.8,863,865,998,255,127,128,992,670,38.8,310,360,861,0,0.0,0,0,0,975,66.19,582,393,1481,709,41.0,470,239,1967,0,0.0,0,0,0,1019,59.0,393,626,628,525,74.05,318,207,1536,19,2.68,18,1,18000,165,23.27,134,31,4323,89,12.55,86,3,28667,434,61.21,231,203,1138,2,0.0,1,1,1000,0,0.0,0,0,0,0,0.0,0,0,0,17,2.4,16,1,16000,2,0.28,2,0,0,51,7.19,46,5,9200,18,2.54,17,1,17000,96,13.54,71,25,2840,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Tiruch,14,yes,1,0,0,0,0,0.0,276,100.0,0,0.0,0,0.0,45,14.0,276.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10963,Adavathur (West),Tiruchchirappall,Tiruchirappalli,7061,963,1480,4.8,3481,3580,972,1007,504,503,1002,387,5.5,185,202,916,28,0.4,14,14,1000,3457,57.1,2127,1330,1599,2543,36.0,1984,559,3549,6,0.1,3,3,1000,4512,63.9,1494,3018,495,2008,78.96,1516,492,3081,211,8.3,198,13,15231,324,12.74,270,54,5000,939,36.92,854,85,10047,1061,41.72,655,406,1613,8,0.0,7,1,7000,0,0.0,0,0,0,27,1.06,22,5,4400,129,5.07,127,2,63500,55,2.16,49,6,8167,114,4.48,92,22,4182,32,1.26,31,1,31000,178,7.0,147,31,4742,yes,0,4,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,,10,yes,0,0,0,1,0,0.0,150,57.24,112,42.76,18,2.46,453,61.75,150.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10964,Adavathur (East),Tiruchchirappall,Tiruchirappalli,4672,654,1037,4.5,2356,2316,1017,628,320,308,1039,261,5.6,139,122,1139,0,0.0,0,0,0,2900,71.71,1688,1212,1393,1493,32.0,1329,164,8104,26,0.6,4,22,182,3153,67.5,1023,2130,480,888,59.41,777,111,7000,217,14.6,212,5,42400,388,25.99,340,48,7083,134,8.98,132,2,66000,724,48.49,623,101,6168,29,0.02,21,8,2625,1,0.07,1,0,0,38,2.55,38,0,0,150,10.05,146,4,36500,29,1.94,28,1,28000,127,8.51,119,8,14875,52,3.48,52,0,0,209,14.0,169,40,4225,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,yes,0,0,0,0,1,yes,0,1,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tiruch,7,yes,0,0,0,1,0,0.0,145,58.97,101,41.03,19,2.66,449,62.89,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10965,Nachikurichy,Tiruchchirappall,Tiruchirappalli,2385,757,532,4.5,1226,1159,1058,386,212,174,1218,670,28.1,335,335,1000,0,0.0,0,0,0,1319,65.98,801,518,1546,763,32.0,696,67,10388,4,0.2,0,4,0,1618,67.8,530,1088,487,542,71.04,495,47,10532,91,11.93,89,2,44500,130,17.04,112,18,6222,164,21.49,163,1,163000,375,49.15,329,46,7152,3,0.0,3,0,0,0,0.0,0,0,0,7,0.92,7,0,0,83,10.88,81,2,40500,1,0.13,1,0,0,49,6.42,42,7,6000,12,1.57,12,0,0,69,9.04,58,11,5273,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tiruch,4,yes,0,0,0,1,0,0.0,250,89.29,30,10.71,2,0.63,33,10.54,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10966,Sholanganallur,Tiruchchirappall,Tiruchirappalli,847,492,190,4.5,414,433,956,126,53,73,726,298,35.2,153,145,1055,0,0.0,0,0,0,572,79.33,322,250,1288,356,42.0,232,124,1871,0,0.0,0,0,0,491,58.0,182,309,589,264,74.16,153,111,1378,32,8.99,32,0,0,60,16.85,47,13,3615,23,6.46,22,1,22000,240,67.42,130,110,1182,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,30,8.43,30,0,0,2,0.56,2,0,0,13,3.65,11,2,5500,17,4.78,17,0,0,30,8.43,19,11,1727,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,0,1,0,Tiruch,4,yes,0,0,0,1,0,0.0,120,85.71,20,14.29,2,1.16,30,17.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10967,K.Sathanur (North),Tiruchchirappall,Tiruchirappalli,7574,648,1628,4.7,3792,3782,1003,929,476,453,1051,1294,17.1,647,647,1000,0,0.0,0,0,0,5070,76.3,2779,2291,1213,2573,34.0,1889,684,2762,21,0.3,3,18,167,4980,65.8,1900,3080,617,1150,44.58,665,485,1371,416,16.28,391,25,15640,1007,39.14,833,174,4787,312,12.13,206,106,1943,830,32.26,451,379,1190,5,0.0,5,0,0,3,0.12,3,0,0,1,0.04,1,0,0,328,12.75,311,17,18294,87,3.38,79,8,9875,285,11.08,256,29,8828,235,9.13,213,22,9682,487,18.93,364,123,2959,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tiruch,5,yes,0,0,0,1,0,0.0,231,25.88,660,74.12,279,23.85,0,0.0,230.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10968,K.Sathanur (South),Tiruchchirappall,Tiruchirappalli,6328,994,1386,4.6,3231,3097,1043,585,324,261,1241,73,1.2,36,37,973,13,0.2,8,5,1600,5201,90.56,2755,2446,1126,1701,26.9,1461,240,6088,0,0.0,0,0,0,4627,73.1,1770,2857,620,255,14.99,227,28,8107,380,22.34,355,25,14200,1066,62.67,879,187,4701,155,9.11,152,3,50667,87,5.11,63,24,2625,13,0.01,12,1,12000,0,0.0,0,0,0,2,0.12,0,2,0,285,16.75,271,14,19357,93,5.47,84,9,9333,367,21.58,352,15,23467,187,10.99,163,24,6792,512,30.1,364,148,2459,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tiruch,5,yes,0,0,0,1,0,0.0,115,25.86,330,74.14,191,30.0,0,0.0,115.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10969,Panjappur,Tiruchchirappall,Tiruchirappalli,689,184,147,4.7,338,351,963,115,63,52,1212,478,69.4,232,246,943,0,0.0,0,0,0,234,40.77,161,73,2205,402,58.3,213,189,1127,0,0.0,0,0,0,287,41.7,125,162,772,340,84.58,163,177,921,15,3.73,13,2,6500,47,11.69,37,10,3700,132,32.84,67,65,1031,208,51.74,96,112,857,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,2.24,9,0,0,6,1.49,4,2,2000,12,2.99,9,3,3000,23,5.72,23,0,0,12,2.99,5,7,714,no,1,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tiruch,8,yes,0,1,0,0,0,0.0,171,100.0,0,0.0,1,0.32,202,54.04,170.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10970,K.Kallikudy North,Tiruchchirappall,Tiruchirappalli,4702,514,934,5.0,2370,2332,1016,673,349,324,1077,1209,25.7,609,600,1015,0,0.0,0,0,0,2411,59.84,1470,941,1562,1704,36.2,1242,462,2688,32,0.7,4,28,143,2966,63.1,1124,1842,610,1089,63.91,736,353,2085,385,22.59,300,85,3529,230,13.5,206,24,8583,543,31.87,421,122,3451,540,31.69,311,229,1358,6,0.0,4,2,2000,0,0.0,0,0,0,43,2.52,28,15,1867,301,17.66,233,68,3426,41,2.41,39,2,19500,79,4.64,74,5,14800,73,4.28,72,1,72000,78,4.58,60,18,3333,yes,0,2,1,1,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,yes,0,0,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,1,1,0,0,Tiruch,10,yes,0,0,0,1,0,0.0,457,100.0,0,0.0,75,8.17,383,41.89,0.0,0.0,456.85,0.0,0.0,0.0,0.0,0.0
10971,K.Kallikudy South,Tiruchchirappall,Tiruchirappalli,1966,262,436,4.5,1014,952,1065,239,122,117,1043,75,3.8,35,40,875,0,0.0,0,0,0,1014,58.71,639,375,1704,971,49.4,614,357,1720,40,2.0,1,39,26,955,48.6,399,556,718,832,85.68,487,345,1412,65,6.69,58,7,8286,74,7.62,69,5,13800,528,54.38,333,195,1708,302,31.1,152,150,1013,2,0.0,2,0,0,0,0.0,0,0,0,2,0.21,0,2,0,56,5.77,51,5,10200,7,0.72,7,0,0,21,2.16,21,0,0,9,0.93,9,0,0,44,4.53,39,5,7800,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Tiruch,10,yes,0,0,0,1,0,0.0,295,57.84,215,42.16,80,10.63,160,21.29,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0
10972,Thayanur,Tiruchchirappall,Tiruchirappalli,7778,606,1628,4.8,3819,3959,965,1180,541,639,847,891,11.5,432,459,941,38,0.5,18,20,900,3874,58.71,2430,1444,1683,2581,33.2,2136,445,4800,305,3.9,0,305,0,4892,62.9,1683,3209,524,1761,67.84,1419,342,4149,475,18.79,416,59,7051,345,13.37,301,44,6841,892,34.56,828,64,12938,848,32.86,575,273,2106,11,0.0,10,1,10000,10,0.39,6,4,1500,14,0.54,12,2,6000,365,14.14,321,44,7295,96,3.72,83,13,6385,105,4.07,90,15,6000,58,2.25,58,0,0,182,7.05,153,29,5276,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Tiruch,5,yes,0,0,0,1,0,0.0,1008,84.23,189,15.77,60,4.67,27,2.1,0.0,0.0,1008.22,0.0,0.0,0.0,0.0,0.0
10973,Navalurkottapattu,Tiruchchirappall,Tiruchirappalli,4264,379,968,4.4,2155,2109,1022,606,318,288,1104,462,10.8,232,230,1009,0,0.0,0,0,0,1852,50.63,1161,691,1680,2064,48.4,1216,848,1434,150,3.5,31,119,261,2050,48.1,908,1142,795,1786,86.53,972,814,1194,101,4.89,93,8,11625,177,8.58,151,26,5808,794,38.47,435,359,1212,984,47.67,529,455,1163,8,0.0,8,0,0,0,0.0,0,0,0,21,1.02,19,2,9500,59,2.86,53,6,8833,21,1.02,21,0,0,43,2.08,33,10,3300,32,1.55,32,0,0,102,4.94,86,16,5375,yes,0,2,1,1,0,0,0,1,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tiruch,11,yes,0,0,0,1,0,0.0,492,64.95,265,35.05,369,32.81,0,0.0,0.0,0.0,491.77,0.0,0.0,0.0,0.0,0.0
10974,Ariyavoor-Ukkadaiariyavoor,Tiruchchirappall,Tiruchirappalli,2316,358,516,4.5,1141,1175,971,364,193,171,1129,335,14.5,156,179,872,10,0.4,6,4,1500,765,39.19,502,263,1909,921,39.8,644,277,2325,40,1.7,0,40,0,1355,58.5,497,858,579,723,78.5,465,258,1802,135,14.66,126,9,14000,63,6.84,53,10,5300,204,22.15,195,9,21667,519,56.35,270,249,1084,0,0.0,0,0,0,0,0.0,0,0,0,115,12.49,107,8,13375,19,2.06,18,1,18000,1,0.11,1,0,0,24,2.61,21,3,7000,9,0.98,9,0,0,30,3.26,23,7,3286,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tiruch,22,yes,1,1,0,0,0,0.0,60,18.77,261,81.23,220,34.03,106,16.37,0.0,0.0,60.2,0.0,0.0,0.0,0.0,0.0
10975,Periyanayakichatram,Tiruchchirappall,Tiruchirappalli,884,512,184,4.8,422,462,913,133,65,68,956,239,27.0,120,119,1008,0,0.0,0,0,0,395,52.6,249,146,1705,252,28.5,218,34,6412,0,0.0,0,0,0,632,71.5,204,428,477,208,82.54,180,28,6429,21,8.33,21,0,0,23,9.13,17,6,2833,58,23.02,58,0,0,149,59.13,121,28,4321,1,0.0,1,0,0,0,0.0,0,0,0,17,6.75,17,0,0,4,1.59,4,0,0,0,0.0,0,0,0,5,1.98,5,0,0,2,0.79,2,0,0,16,6.35,10,6,1667,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Tiruch,19,yes,0,0,0,1,0,0.0,36,83.6,7,16.4,124,71.58,6,3.48,0.0,0.0,35.99,0.0,0.0,0.0,0.0,0.0
10976,Ammapettai,Tiruchchirappall,Tiruchirappalli,2593,540,549,4.7,1286,1307,984,397,213,184,1158,414,16.0,203,211,962,0,0.0,0,0,0,1311,59.7,785,526,1492,1147,44.2,733,414,1771,190,7.3,1,189,5,1256,48.4,552,704,784,674,58.76,346,328,1055,333,29.03,284,49,5796,140,12.21,103,37,2784,215,18.74,149,66,2258,451,39.32,190,261,728,8,0.01,7,1,7000,0,0.0,0,0,0,51,4.45,46,5,9200,208,18.13,192,16,12000,74,6.45,46,28,1643,49,4.27,41,8,5125,23,2.01,23,0,0,68,5.93,39,29,1345,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tiruch,20,yes,1,1,0,0,0,0.0,43,17.48,202,82.52,102,21.24,134,27.8,0.0,0.0,42.78,0.0,0.0,0.0,0.0,0.0
10977,Kulathur,Tiruchchirappall,Tiruchirappalli,8357,404,1721,4.9,4141,4216,982,1231,597,634,942,1471,17.6,722,749,964,2,0.0,1,1,1000,4312,60.51,2716,1596,1702,3299,39.5,2394,905,2645,241,2.9,9,232,39,4817,57.6,1738,3079,564,967,29.28,660,307,2150,1390,42.16,850,540,1574,942,28.55,884,58,15241,181,5.49,154,27,5704,779,23.61,503,276,1822,6,0.0,3,3,1000,1,0.03,0,1,0,871,26.4,448,423,1059,482,14.61,366,116,3155,37,1.12,36,1,36000,413,12.52,397,16,24813,77,2.33,76,1,76000,452,13.7,411,41,10024,yes,0,6,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,1,1,0,0,Tiruch,25,yes,0,0,0,1,0,0.0,409,77.89,116,22.11,900,43.53,642,31.06,0.0,0.0,409.21,0.0,0.0,0.0,0.0,0.0
10978,Mathur,Tiruchchirappall,Tiruchirappalli,1354,189,278,4.9,675,679,994,196,107,89,1202,158,11.7,81,77,1052,0,0.0,0,0,0,791,68.31,489,302,1619,689,50.9,376,313,1201,0,0.0,0,0,0,665,49.1,299,366,817,497,72.13,221,276,801,129,18.72,107,22,4864,63,9.14,48,15,3200,203,29.46,154,49,3143,291,42.24,64,227,282,3,0.0,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,128,18.58,106,22,4818,1,0.15,1,0,0,15,2.18,13,2,6500,26,3.77,26,0,0,22,3.19,9,13,692,yes,0,6,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,1,1,0,0,Tiruch,15,yes,1,1,0,0,0,0.0,68,10.96,551,89.04,98,13.63,0,0.03,0.0,0.0,67.82,0.0,0.0,0.0,0.0,0.0
10979,Sethurapatti,Tiruchchirappall,Tiruchirappalli,1805,146,375,4.8,904,901,1003,262,136,126,1079,555,30.7,275,280,982,0,0.0,0,0,0,526,34.09,338,188,1798,735,40.7,505,230,2196,13,0.7,6,7,857,1057,58.6,393,664,592,645,87.76,419,226,1854,53,7.21,51,2,25500,37,5.03,35,2,17500,371,50.48,278,93,2989,272,37.01,141,131,1076,2,0.0,0,2,0,0,0.0,0,0,0,36,4.9,35,1,35000,15,2.04,15,0,0,2,0.27,1,1,1000,9,1.22,9,0,0,7,0.95,7,0,0,21,2.86,19,2,9500,yes,0,3,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Tiruch,19,yes,1,1,0,0,0,0.0,248,23.06,827,76.94,93,7.5,66,5.35,0.0,0.0,247.97,0.0,0.0,0.0,0.0,0.0
10980,Alundur,Tiruchchirappall,Tiruchirappalli,2661,224,564,4.7,1329,1332,998,388,192,196,980,859,32.3,447,412,1085,0,0.0,0,0,0,838,36.87,530,308,1721,1605,60.3,821,784,1047,1,0.0,0,1,0,1055,39.6,508,547,929,1439,89.66,687,752,914,98,6.11,94,4,23500,68,4.24,40,28,1429,894,55.7,476,418,1139,543,33.83,209,334,626,2,0.0,2,0,0,0,0.0,0,0,0,5,0.31,4,1,4000,67,4.17,67,0,0,26,1.62,23,3,7667,19,1.18,15,4,3750,6,0.37,6,0,0,43,2.68,19,24,792,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Tiruch,18,yes,0,0,0,1,0,0.0,250,25.33,736,74.67,200,16.83,3,0.22,0.0,0.0,249.6,0.0,0.0,0.0,0.0,0.0
10981,Paganur,Tiruchchirappall,Tiruchirappalli,1676,220,347,4.8,850,826,1029,280,151,129,1171,452,27.0,220,232,948,0,0.0,0,0,0,862,61.75,546,316,1728,635,37.9,465,170,2735,130,7.8,1,129,8,911,54.4,384,527,729,440,69.29,282,158,1785,123,19.37,120,3,40000,72,11.34,63,9,7000,138,21.73,105,33,3182,273,42.99,168,105,1600,29,0.05,9,20,450,0,0.0,0,0,0,33,5.2,31,2,15500,45,7.09,44,1,44000,45,7.09,45,0,0,19,2.99,19,0,0,30,4.72,30,0,0,23,3.62,14,9,1556,yes,0,3,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Tiruch,16,yes,1,1,0,0,0,0.0,115,18.29,516,81.71,7,0.98,124,16.24,0.0,0.0,115.49,0.0,0.0,0.0,0.0,0.0
