State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,620.0,5814.0,0.0,0.0,0.0,SUB-DISTRICT,Thanjavur,Total,127334.0,511865.0,253198.0,258667.0,48167.0,24883.0,23284.0,86265.0,42972.0,43293.0,780.0,364.0,416.0,404079.0,209989.0,194090.0,107786.0,43209.0,64577.0,193598.0,140649.0,52949.0,169010.0,126252.0,42758.0,13247.0,10928.0,2319.0,37028.0,21606.0,15422.0,4763.0,2799.0,1964.0,113972.0,90919.0,23053.0,24588.0,14397.0,10191.0,2119.0,1392.0,727.0,10139.0,4866.0,5273.0,916.0,372.0,544.0,11414.0,7767.0,3647.0,21476.0,12602.0,8874.0,2004.0,1321.0,683.0,8947.0,4332.0,4615.0,721.0,300.0,421.0,9804.0,6649.0,3155.0,3112.0,1795.0,1317.0,115.0,71.0,44.0,1192.0,534.0,658.0,195.0,72.0,123.0,1610.0,1118.0,492.0,318267.0,112549.0,205718.0,,
33.0,620.0,5814.0,0.0,0.0,0.0,SUB-DISTRICT,Thanjavur,Rural,49286.0,204040.0,102715.0,101325.0,20169.0,10399.0,9770.0,56166.0,28169.0,27997.0,155.0,73.0,82.0,148638.0,80945.0,67693.0,55402.0,21770.0,33632.0,87097.0,58215.0,28882.0,72213.0,50229.0,21984.0,11481.0,9347.0,2134.0,32905.0,18858.0,14047.0,1546.0,937.0,609.0,26281.0,21087.0,5194.0,14884.0,7986.0,6898.0,1928.0,1251.0,677.0,9221.0,4286.0,4935.0,460.0,194.0,266.0,3275.0,2255.0,1020.0,13334.0,7255.0,6079.0,1826.0,1193.0,633.0,8250.0,3903.0,4347.0,378.0,168.0,210.0,2880.0,1991.0,889.0,1550.0,731.0,819.0,102.0,58.0,44.0,971.0,383.0,588.0,82.0,26.0,56.0,395.0,264.0,131.0,116943.0,44500.0,72443.0,,
33.0,620.0,5814.0,0.0,0.0,0.0,SUB-DISTRICT,Thanjavur,Urban,78048.0,307825.0,150483.0,157342.0,27998.0,14484.0,13514.0,30099.0,14803.0,15296.0,625.0,291.0,334.0,255441.0,129044.0,126397.0,52384.0,21439.0,30945.0,106501.0,82434.0,24067.0,96797.0,76023.0,20774.0,1766.0,1581.0,185.0,4123.0,2748.0,1375.0,3217.0,1862.0,1355.0,87691.0,69832.0,17859.0,9704.0,6411.0,3293.0,191.0,141.0,50.0,918.0,580.0,338.0,456.0,178.0,278.0,8139.0,5512.0,2627.0,8142.0,5347.0,2795.0,178.0,128.0,50.0,697.0,429.0,268.0,343.0,132.0,211.0,6924.0,4658.0,2266.0,1562.0,1064.0,498.0,13.0,13.0,0.0,221.0,151.0,70.0,113.0,46.0,67.0,1215.0,854.0,361.0,201324.0,68049.0,133275.0,,
33.0,620.0,5814.0,638761.0,0.0,0.0,VILLAGE,Indalur,Rural,474.0,1862.0,912.0,950.0,178.0,92.0,86.0,503.0,252.0,251.0,0.0,0.0,0.0,1273.0,674.0,599.0,589.0,238.0,351.0,935.0,529.0,406.0,887.0,513.0,374.0,79.0,62.0,17.0,588.0,264.0,324.0,12.0,11.0,1.0,208.0,176.0,32.0,48.0,16.0,32.0,6.0,4.0,2.0,31.0,5.0,26.0,6.0,2.0,4.0,5.0,5.0,0.0,47.0,15.0,32.0,5.0,3.0,2.0,31.0,5.0,26.0,6.0,2.0,4.0,5.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,383.0,544.0,,
33.0,620.0,5814.0,638762.0,0.0,0.0,VILLAGE,Kadambangudi,Rural,330.0,1329.0,674.0,655.0,167.0,89.0,78.0,33.0,18.0,15.0,0.0,0.0,0.0,888.0,480.0,408.0,441.0,194.0,247.0,751.0,426.0,325.0,448.0,247.0,201.0,27.0,24.0,3.0,287.0,138.0,149.0,73.0,34.0,39.0,61.0,51.0,10.0,303.0,179.0,124.0,16.0,12.0,4.0,241.0,144.0,97.0,4.0,1.0,3.0,42.0,22.0,20.0,300.0,178.0,122.0,16.0,12.0,4.0,239.0,143.0,96.0,3.0,1.0,2.0,42.0,22.0,20.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,578.0,248.0,330.0,,
33.0,620.0,5814.0,638763.0,0.0,0.0,VILLAGE,Sholagampatti,Rural,364.0,1433.0,717.0,716.0,126.0,54.0,72.0,417.0,201.0,216.0,0.0,0.0,0.0,1011.0,559.0,452.0,422.0,158.0,264.0,665.0,445.0,220.0,661.0,442.0,219.0,70.0,70.0,0.0,351.0,167.0,184.0,0.0,0.0,0.0,240.0,205.0,35.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,272.0,496.0,,
33.0,620.0,5814.0,638764.0,0.0,0.0,VILLAGE,Maraneri,Rural,465.0,1794.0,909.0,885.0,160.0,81.0,79.0,429.0,211.0,218.0,0.0,0.0,0.0,1353.0,763.0,590.0,441.0,146.0,295.0,931.0,581.0,350.0,914.0,569.0,345.0,229.0,176.0,53.0,539.0,278.0,261.0,2.0,2.0,0.0,144.0,113.0,31.0,17.0,12.0,5.0,6.0,5.0,1.0,5.0,3.0,2.0,1.0,0.0,1.0,5.0,4.0,1.0,14.0,10.0,4.0,4.0,3.0,1.0,5.0,3.0,2.0,1.0,0.0,1.0,4.0,4.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,863.0,328.0,535.0,,
33.0,620.0,5814.0,638765.0,0.0,0.0,VILLAGE,Kangeyampatti,Rural,373.0,1389.0,671.0,718.0,140.0,70.0,70.0,508.0,242.0,266.0,0.0,0.0,0.0,829.0,451.0,378.0,560.0,220.0,340.0,695.0,447.0,248.0,354.0,255.0,99.0,141.0,120.0,21.0,127.0,67.0,60.0,0.0,0.0,0.0,86.0,68.0,18.0,341.0,192.0,149.0,27.0,21.0,6.0,246.0,112.0,134.0,0.0,0.0,0.0,68.0,59.0,9.0,220.0,176.0,44.0,26.0,21.0,5.0,130.0,99.0,31.0,0.0,0.0,0.0,64.0,56.0,8.0,121.0,16.0,105.0,1.0,0.0,1.0,116.0,13.0,103.0,0.0,0.0,0.0,4.0,3.0,1.0,694.0,224.0,470.0,,
33.0,620.0,5814.0,638766.0,0.0,0.0,VILLAGE,Kotrapatti,Rural,185.0,696.0,355.0,341.0,45.0,20.0,25.0,195.0,99.0,96.0,0.0,0.0,0.0,596.0,328.0,268.0,100.0,27.0,73.0,456.0,238.0,218.0,91.0,74.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,88.0,73.0,15.0,365.0,164.0,201.0,43.0,41.0,2.0,304.0,110.0,194.0,6.0,4.0,2.0,12.0,9.0,3.0,353.0,164.0,189.0,43.0,41.0,2.0,294.0,110.0,184.0,6.0,4.0,2.0,10.0,9.0,1.0,12.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,240.0,117.0,123.0,,
33.0,620.0,5814.0,638767.0,0.0,0.0,VILLAGE,Thondarayampadi,Rural,304.0,1223.0,613.0,610.0,115.0,56.0,59.0,355.0,178.0,177.0,0.0,0.0,0.0,883.0,485.0,398.0,340.0,128.0,212.0,574.0,352.0,222.0,333.0,238.0,95.0,69.0,65.0,4.0,131.0,81.0,50.0,18.0,5.0,13.0,115.0,87.0,28.0,241.0,114.0,127.0,0.0,0.0,0.0,221.0,97.0,124.0,0.0,0.0,0.0,20.0,17.0,3.0,240.0,113.0,127.0,0.0,0.0,0.0,221.0,97.0,124.0,0.0,0.0,0.0,19.0,16.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,649.0,261.0,388.0,,
33.0,620.0,5814.0,638768.0,0.0,0.0,VILLAGE,Budalur,Rural,2150.0,8372.0,4234.0,4138.0,897.0,475.0,422.0,2230.0,1160.0,1070.0,6.0,3.0,3.0,6232.0,3359.0,2873.0,2140.0,875.0,1265.0,3357.0,2331.0,1026.0,2638.0,1926.0,712.0,157.0,145.0,12.0,893.0,547.0,346.0,52.0,30.0,22.0,1536.0,1204.0,332.0,719.0,405.0,314.0,38.0,31.0,7.0,437.0,243.0,194.0,108.0,54.0,54.0,136.0,77.0,59.0,707.0,402.0,305.0,37.0,30.0,7.0,433.0,243.0,190.0,107.0,54.0,53.0,130.0,75.0,55.0,12.0,3.0,9.0,1.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,6.0,2.0,4.0,5015.0,1903.0,3112.0,,
33.0,620.0,5814.0,638769.0,0.0,0.0,VILLAGE,Kovilpathu,Rural,667.0,2597.0,1310.0,1287.0,274.0,143.0,131.0,956.0,486.0,470.0,0.0,0.0,0.0,2028.0,1069.0,959.0,569.0,241.0,328.0,977.0,718.0,259.0,722.0,552.0,170.0,270.0,198.0,72.0,99.0,92.0,7.0,132.0,70.0,62.0,221.0,192.0,29.0,255.0,166.0,89.0,9.0,6.0,3.0,175.0,102.0,73.0,1.0,1.0,0.0,70.0,57.0,13.0,252.0,164.0,88.0,7.0,5.0,2.0,175.0,102.0,73.0,1.0,1.0,0.0,69.0,56.0,13.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1620.0,592.0,1028.0,,
33.0,620.0,5814.0,638770.0,0.0,0.0,VILLAGE,Chitrakudi Addl.,Rural,130.0,502.0,253.0,249.0,34.0,14.0,20.0,39.0,17.0,22.0,0.0,0.0,0.0,378.0,225.0,153.0,124.0,28.0,96.0,259.0,172.0,87.0,161.0,148.0,13.0,65.0,65.0,0.0,44.0,40.0,4.0,0.0,0.0,0.0,52.0,43.0,9.0,98.0,24.0,74.0,0.0,0.0,0.0,97.0,24.0,73.0,0.0,0.0,0.0,1.0,0.0,1.0,97.0,24.0,73.0,0.0,0.0,0.0,96.0,24.0,72.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,81.0,162.0,,
33.0,620.0,5814.0,638771.0,0.0,0.0,VILLAGE,Chitrakudi Chief,Rural,500.0,1985.0,995.0,990.0,153.0,69.0,84.0,544.0,259.0,285.0,0.0,0.0,0.0,1517.0,838.0,679.0,468.0,157.0,311.0,806.0,612.0,194.0,750.0,572.0,178.0,278.0,252.0,26.0,221.0,110.0,111.0,8.0,6.0,2.0,243.0,204.0,39.0,56.0,40.0,16.0,1.0,1.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,40.0,34.0,6.0,45.0,30.0,15.0,1.0,1.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,29.0,24.0,5.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,1.0,1179.0,383.0,796.0,,
33.0,620.0,5814.0,638772.0,0.0,0.0,VILLAGE,Rayanthur,Rural,508.0,2009.0,968.0,1041.0,175.0,92.0,83.0,1268.0,620.0,648.0,4.0,2.0,2.0,1724.0,853.0,871.0,285.0,115.0,170.0,875.0,579.0,296.0,382.0,227.0,155.0,117.0,66.0,51.0,85.0,37.0,48.0,10.0,8.0,2.0,170.0,116.0,54.0,493.0,352.0,141.0,166.0,127.0,39.0,244.0,189.0,55.0,23.0,10.0,13.0,60.0,26.0,34.0,452.0,338.0,114.0,166.0,127.0,39.0,237.0,186.0,51.0,8.0,8.0,0.0,41.0,17.0,24.0,41.0,14.0,27.0,0.0,0.0,0.0,7.0,3.0,4.0,15.0,2.0,13.0,19.0,9.0,10.0,1134.0,389.0,745.0,,
33.0,620.0,5814.0,638773.0,0.0,0.0,VILLAGE,Kalvirayampettai,Rural,421.0,1664.0,814.0,850.0,155.0,80.0,75.0,279.0,142.0,137.0,0.0,0.0,0.0,1186.0,624.0,562.0,478.0,190.0,288.0,784.0,519.0,265.0,720.0,474.0,246.0,142.0,111.0,31.0,454.0,274.0,180.0,18.0,14.0,4.0,106.0,75.0,31.0,64.0,45.0,19.0,9.0,9.0,0.0,45.0,28.0,17.0,1.0,1.0,0.0,9.0,7.0,2.0,55.0,40.0,15.0,9.0,9.0,0.0,40.0,26.0,14.0,1.0,1.0,0.0,5.0,4.0,1.0,9.0,5.0,4.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,1.0,880.0,295.0,585.0,,
33.0,620.0,5814.0,638774.0,0.0,0.0,VILLAGE,Perumbur IInd Sethi,Rural,476.0,1850.0,924.0,926.0,185.0,91.0,94.0,471.0,234.0,237.0,76.0,39.0,37.0,1256.0,713.0,543.0,594.0,211.0,383.0,764.0,575.0,189.0,318.0,284.0,34.0,36.0,34.0,2.0,45.0,42.0,3.0,10.0,8.0,2.0,227.0,200.0,27.0,446.0,291.0,155.0,55.0,50.0,5.0,334.0,196.0,138.0,3.0,3.0,0.0,54.0,42.0,12.0,350.0,229.0,121.0,49.0,44.0,5.0,257.0,151.0,106.0,2.0,2.0,0.0,42.0,32.0,10.0,96.0,62.0,34.0,6.0,6.0,0.0,77.0,45.0,32.0,1.0,1.0,0.0,12.0,10.0,2.0,1086.0,349.0,737.0,,
33.0,620.0,5814.0,638775.0,0.0,0.0,VILLAGE,Perumbur I-ST Sethi,Rural,637.0,2509.0,1197.0,1312.0,237.0,120.0,117.0,2123.0,1033.0,1090.0,0.0,0.0,0.0,1837.0,955.0,882.0,672.0,242.0,430.0,1155.0,656.0,499.0,619.0,365.0,254.0,31.0,24.0,7.0,415.0,221.0,194.0,3.0,0.0,3.0,170.0,120.0,50.0,536.0,291.0,245.0,5.0,1.0,4.0,496.0,264.0,232.0,1.0,0.0,1.0,34.0,26.0,8.0,522.0,280.0,242.0,5.0,1.0,4.0,495.0,264.0,231.0,1.0,0.0,1.0,21.0,15.0,6.0,14.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,11.0,2.0,1354.0,541.0,813.0,,
33.0,620.0,5814.0,638776.0,0.0,0.0,VILLAGE,Pillaiyarnatham,Rural,462.0,1799.0,870.0,929.0,141.0,68.0,73.0,473.0,223.0,250.0,0.0,0.0,0.0,1328.0,707.0,621.0,471.0,163.0,308.0,749.0,545.0,204.0,600.0,420.0,180.0,124.0,114.0,10.0,239.0,116.0,123.0,31.0,16.0,15.0,206.0,174.0,32.0,149.0,125.0,24.0,70.0,66.0,4.0,71.0,53.0,18.0,2.0,0.0,2.0,6.0,6.0,0.0,86.0,77.0,9.0,66.0,62.0,4.0,13.0,9.0,4.0,1.0,0.0,1.0,6.0,6.0,0.0,63.0,48.0,15.0,4.0,4.0,0.0,58.0,44.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1050.0,325.0,725.0,,
33.0,620.0,5814.0,638777.0,0.0,0.0,VILLAGE,Siralur,Rural,250.0,969.0,508.0,461.0,90.0,51.0,39.0,471.0,245.0,226.0,0.0,0.0,0.0,703.0,406.0,297.0,266.0,102.0,164.0,507.0,293.0,214.0,494.0,284.0,210.0,150.0,94.0,56.0,294.0,147.0,147.0,1.0,1.0,0.0,49.0,42.0,7.0,13.0,9.0,4.0,4.0,3.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,11.0,8.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,462.0,215.0,247.0,,
33.0,620.0,5814.0,638778.0,0.0,0.0,VILLAGE,Vennalodai,Rural,48.0,183.0,91.0,92.0,17.0,13.0,4.0,183.0,91.0,92.0,0.0,0.0,0.0,121.0,69.0,52.0,62.0,22.0,40.0,83.0,51.0,32.0,83.0,51.0,32.0,14.0,12.0,2.0,60.0,30.0,30.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,60.0,,
33.0,620.0,5814.0,638779.0,0.0,0.0,VILLAGE,Sakkarasamandam ,Rural,520.0,1953.0,958.0,995.0,187.0,100.0,87.0,1142.0,558.0,584.0,0.0,0.0,0.0,1417.0,754.0,663.0,536.0,204.0,332.0,979.0,579.0,400.0,887.0,540.0,347.0,61.0,29.0,32.0,577.0,314.0,263.0,3.0,1.0,2.0,246.0,196.0,50.0,92.0,39.0,53.0,9.0,7.0,2.0,61.0,22.0,39.0,5.0,1.0,4.0,17.0,9.0,8.0,89.0,38.0,51.0,9.0,7.0,2.0,60.0,21.0,39.0,3.0,1.0,2.0,17.0,9.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,974.0,379.0,595.0,,
33.0,620.0,5814.0,638780.0,0.0,0.0,VILLAGE,Palliyeri,Rural,280.0,1094.0,525.0,569.0,110.0,49.0,61.0,316.0,154.0,162.0,0.0,0.0,0.0,821.0,428.0,393.0,273.0,97.0,176.0,511.0,298.0,213.0,467.0,274.0,193.0,41.0,39.0,2.0,313.0,160.0,153.0,15.0,10.0,5.0,98.0,65.0,33.0,44.0,24.0,20.0,3.0,1.0,2.0,22.0,13.0,9.0,0.0,0.0,0.0,19.0,10.0,9.0,43.0,23.0,20.0,3.0,1.0,2.0,21.0,12.0,9.0,0.0,0.0,0.0,19.0,10.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,227.0,356.0,,
33.0,620.0,5814.0,638781.0,0.0,0.0,VILLAGE,Velur ,Rural,149.0,587.0,295.0,292.0,78.0,42.0,36.0,424.0,207.0,217.0,0.0,0.0,0.0,378.0,210.0,168.0,209.0,85.0,124.0,264.0,168.0,96.0,257.0,165.0,92.0,4.0,4.0,0.0,179.0,106.0,73.0,5.0,2.0,3.0,69.0,53.0,16.0,7.0,3.0,4.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,4.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,127.0,196.0,,
33.0,620.0,5814.0,638782.0,0.0,0.0,VILLAGE,Palliagraharam ,Rural,317.0,1321.0,683.0,638.0,148.0,82.0,66.0,988.0,512.0,476.0,0.0,0.0,0.0,886.0,492.0,394.0,435.0,191.0,244.0,605.0,377.0,228.0,367.0,250.0,117.0,2.0,1.0,1.0,222.0,137.0,85.0,0.0,0.0,0.0,143.0,112.0,31.0,238.0,127.0,111.0,1.0,0.0,1.0,166.0,70.0,96.0,0.0,0.0,0.0,71.0,57.0,14.0,229.0,125.0,104.0,1.0,0.0,1.0,158.0,68.0,90.0,0.0,0.0,0.0,70.0,57.0,13.0,9.0,2.0,7.0,0.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,716.0,306.0,410.0,,
33.0,620.0,5814.0,638783.0,0.0,0.0,VILLAGE,Narasanayagipuram,Rural,481.0,1826.0,885.0,941.0,155.0,79.0,76.0,1010.0,502.0,508.0,0.0,0.0,0.0,1444.0,732.0,712.0,382.0,153.0,229.0,879.0,548.0,331.0,682.0,464.0,218.0,60.0,52.0,8.0,421.0,251.0,170.0,15.0,10.0,5.0,186.0,151.0,35.0,197.0,84.0,113.0,5.0,1.0,4.0,145.0,45.0,100.0,3.0,2.0,1.0,44.0,36.0,8.0,175.0,82.0,93.0,5.0,1.0,4.0,124.0,43.0,81.0,3.0,2.0,1.0,43.0,36.0,7.0,22.0,2.0,20.0,0.0,0.0,0.0,21.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,947.0,337.0,610.0,,
33.0,620.0,5814.0,638784.0,0.0,0.0,VILLAGE,Thiruvedhikudi,Rural,346.0,1382.0,675.0,707.0,139.0,56.0,83.0,635.0,324.0,311.0,0.0,0.0,0.0,1025.0,558.0,467.0,357.0,117.0,240.0,661.0,433.0,228.0,474.0,331.0,143.0,58.0,56.0,2.0,316.0,187.0,129.0,2.0,2.0,0.0,98.0,86.0,12.0,187.0,102.0,85.0,5.0,4.0,1.0,129.0,56.0,73.0,1.0,0.0,1.0,52.0,42.0,10.0,169.0,94.0,75.0,5.0,4.0,1.0,113.0,50.0,63.0,1.0,0.0,1.0,50.0,40.0,10.0,18.0,8.0,10.0,0.0,0.0,0.0,16.0,6.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0,721.0,242.0,479.0,,
33.0,620.0,5814.0,638785.0,0.0,0.0,VILLAGE,Manangorai,Rural,399.0,1590.0,809.0,781.0,158.0,79.0,79.0,608.0,305.0,303.0,0.0,0.0,0.0,1228.0,664.0,564.0,362.0,145.0,217.0,634.0,471.0,163.0,603.0,447.0,156.0,16.0,14.0,2.0,431.0,301.0,130.0,6.0,4.0,2.0,150.0,128.0,22.0,31.0,24.0,7.0,3.0,1.0,2.0,12.0,9.0,3.0,3.0,2.0,1.0,13.0,12.0,1.0,29.0,22.0,7.0,3.0,1.0,2.0,12.0,9.0,3.0,2.0,1.0,1.0,12.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,956.0,338.0,618.0,,
33.0,620.0,5814.0,638786.0,0.0,0.0,VILLAGE,Thandangorai,Rural,269.0,1008.0,491.0,517.0,105.0,57.0,48.0,487.0,239.0,248.0,0.0,0.0,0.0,771.0,393.0,378.0,237.0,98.0,139.0,428.0,273.0,155.0,424.0,273.0,151.0,0.0,0.0,0.0,357.0,227.0,130.0,2.0,0.0,2.0,65.0,46.0,19.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,218.0,362.0,,
33.0,620.0,5814.0,638787.0,0.0,0.0,VILLAGE,Mathur ,Rural,1421.0,5773.0,2801.0,2972.0,636.0,324.0,312.0,1011.0,489.0,522.0,1.0,0.0,1.0,4058.0,2111.0,1947.0,1715.0,690.0,1025.0,2826.0,1780.0,1046.0,2789.0,1761.0,1028.0,358.0,308.0,50.0,1809.0,961.0,848.0,21.0,11.0,10.0,601.0,481.0,120.0,37.0,19.0,18.0,11.0,6.0,5.0,6.0,3.0,3.0,2.0,1.0,1.0,18.0,9.0,9.0,36.0,18.0,18.0,11.0,6.0,5.0,6.0,3.0,3.0,2.0,1.0,1.0,17.0,8.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2947.0,1021.0,1926.0,,
33.0,620.0,5814.0,638788.0,0.0,0.0,VILLAGE,Nallicheri,Rural,282.0,1136.0,546.0,590.0,108.0,53.0,55.0,608.0,298.0,310.0,0.0,0.0,0.0,831.0,440.0,391.0,305.0,106.0,199.0,561.0,354.0,207.0,560.0,354.0,206.0,70.0,66.0,4.0,381.0,202.0,179.0,4.0,3.0,1.0,105.0,83.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,192.0,383.0,,
33.0,620.0,5814.0,638789.0,0.0,0.0,VILLAGE,Thottakadu,Rural,389.0,1582.0,791.0,791.0,145.0,75.0,70.0,727.0,368.0,359.0,0.0,0.0,0.0,1200.0,653.0,547.0,382.0,138.0,244.0,858.0,492.0,366.0,710.0,394.0,316.0,13.0,7.0,6.0,508.0,238.0,270.0,4.0,0.0,4.0,185.0,149.0,36.0,148.0,98.0,50.0,4.0,3.0,1.0,121.0,78.0,43.0,2.0,2.0,0.0,21.0,15.0,6.0,145.0,96.0,49.0,4.0,3.0,1.0,120.0,78.0,42.0,2.0,2.0,0.0,19.0,13.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,724.0,299.0,425.0,,
33.0,620.0,5814.0,638790.0,0.0,0.0,VILLAGE,Kondavattanthidal,Rural,329.0,1285.0,655.0,630.0,122.0,69.0,53.0,650.0,337.0,313.0,0.0,0.0,0.0,988.0,518.0,470.0,297.0,137.0,160.0,706.0,444.0,262.0,523.0,357.0,166.0,59.0,58.0,1.0,345.0,200.0,145.0,0.0,0.0,0.0,119.0,99.0,20.0,183.0,87.0,96.0,24.0,18.0,6.0,79.0,28.0,51.0,4.0,0.0,4.0,76.0,41.0,35.0,145.0,73.0,72.0,20.0,16.0,4.0,50.0,17.0,33.0,4.0,0.0,4.0,71.0,40.0,31.0,38.0,14.0,24.0,4.0,2.0,2.0,29.0,11.0,18.0,0.0,0.0,0.0,5.0,1.0,4.0,579.0,211.0,368.0,,
