STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,19,,0,0,0,DISTRICT,Nagapattinam  *,Total,343613,1488839,739074,749765,183346,93396,89950,441231,219933,221298,3420,1734,1686,996580,548142,448438,492259,190932,301327,586734,410135,176599,468754,350045,118709,61426,51307,10119,219427,138221,81206,8425,5224,3201,179476,155293,24183,117980,60090,57890,10584,5632,4952,89341,42371,46970,3035,1170,1865,15020,10917,4103,902105,328939,573166,0.0
33,19,,0,0,0,DISTRICT,Nagapattinam  *,Rural,271827,1158557,576010,582547,145063,73820,71243,399441,199346,200095,1618,824,794,751618,418324,333294,406939,157686,249253,480892,324511,156381,374849,271772,103077,57449,47930,9519,209258,131133,78125,6440,4039,2401,101702,88670,13032,106043,52739,53304,9955,5215,4740,82917,38855,44062,2684,1040,1644,10487,7629,2858,677665,251499,426166,0.0
33,19,,0,0,0,DISTRICT,Nagapattinam  *,Urban,71786,330282,163064,167218,38283,19576,18707,41790,20587,21203,1802,910,892,244962,129818,115144,85320,33246,52074,105842,85624,20218,93905,78273,15632,3977,3377,600,10169,7088,3081,1985,1185,800,77774,66623,11151,11937,7351,4586,629,417,212,6424,3516,2908,351,130,221,4533,3288,1245,224440,77440,147000,0.0
33,19,,0,0,0,TALUK,Sirkali,Total,66089,292162,146186,145976,37710,19376,18334,101178,50636,50542,850,440,410,183918,102468,81450,108244,43718,64526,113650,80646,33004,85924,65117,20807,10113,8689,1424,43941,28812,15129,1412,962,450,30458,26654,3804,27726,15529,12197,1933,1271,662,21969,11580,10389,736,350,386,3088,2328,760,178512,65540,112972,1.0
33,19,,0,0,0,TALUK,Sirkali,Rural,57142,252423,126201,126222,33039,16974,16065,91814,45977,45837,773,403,370,154342,86521,67821,98081,39680,58401,101065,70354,30711,74916,56076,18840,9456,8092,1364,41475,27256,14219,1315,895,420,22670,19833,2837,26149,14278,11871,1892,1234,658,21164,10952,10212,708,335,373,2385,1757,628,151358,55847,95511,1.0
33,19,,0,0,0,TALUK,Sirkali,Urban,8947,39739,19985,19754,4671,2402,2269,9364,4659,4705,77,37,40,29576,15947,13629,10163,4038,6125,12585,10292,2293,11008,9041,1967,657,597,60,2466,1556,910,97,67,30,7788,6821,967,1577,1251,326,41,37,4,805,628,177,28,15,13,703,571,132,27154,9693,17461,1.0
33,19,,0,0,0,TALUK,Mayiladuthurai,Total,82076,367074,182832,184242,42955,21839,21116,101882,51009,50873,1133,574,559,254809,138946,115863,112265,43886,68379,139023,100857,38166,117908,89674,28234,13630,11563,2067,52421,33941,18480,2441,1312,1129,49416,42858,6558,21115,11183,9932,1237,723,514,15851,7779,8072,629,207,422,3398,2474,924,228051,81975,146076,2.0
33,19,,0,0,0,TALUK,Mayiladuthurai,Rural,58196,259850,129419,130431,31591,16041,15550,92440,46318,46122,348,168,180,171070,94797,76273,88780,34622,54158,104997,72444,32553,86197,62715,23482,12674,10730,1944,50260,32380,17880,1612,835,777,21651,18770,2881,18800,9729,9071,1170,677,493,14818,7209,7609,527,175,352,2285,1668,617,154853,56975,97878,2.0
33,19,,0,0,0,TALUK,Mayiladuthurai,Urban,23880,107224,53413,53811,11364,5798,5566,9442,4691,4751,785,406,379,83739,44149,39590,23485,9264,14221,34026,28413,5613,31711,26959,4752,956,833,123,2161,1561,600,829,477,352,27765,24088,3677,2315,1454,861,67,46,21,1033,570,463,102,32,70,1113,806,307,73198,25000,48198,2.0
33,19,,0,0,0,TALUK,Tharangambadi,Total,41629,186387,91784,94603,22646,11453,11193,54612,27225,27387,283,140,143,124044,67360,56684,62343,24424,37919,70714,50634,20080,59252,44752,14500,6316,5371,945,31076,20567,10509,1156,781,375,20704,18033,2671,11462,5882,5580,557,310,247,8663,4072,4591,331,140,191,1911,1360,551,115673,41150,74523,3.0
