State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,628.0,5877.0,0.0,0.0,0.0,SUB-DISTRICT,Palayamkottai,Total,23324.0,91176.0,45240.0,45936.0,9918.0,5030.0,4888.0,21775.0,10808.0,10967.0,373.0,188.0,185.0,67854.0,36048.0,31806.0,23322.0,9192.0,14130.0,40146.0,25096.0,15050.0,32823.0,21699.0,11124.0,3510.0,2493.0,1017.0,6810.0,3983.0,2827.0,2756.0,717.0,2039.0,19747.0,14506.0,5241.0,7323.0,3397.0,3926.0,290.0,177.0,113.0,2833.0,1405.0,1428.0,362.0,78.0,284.0,3838.0,1737.0,2101.0,5865.0,2782.0,3083.0,264.0,165.0,99.0,2083.0,1052.0,1031.0,290.0,64.0,226.0,3228.0,1501.0,1727.0,1458.0,615.0,843.0,26.0,12.0,14.0,750.0,353.0,397.0,72.0,14.0,58.0,610.0,236.0,374.0,51030.0,20144.0,30886.0,,
33.0,628.0,5877.0,0.0,0.0,0.0,SUB-DISTRICT,Palayamkottai,Rural,23324.0,91176.0,45240.0,45936.0,9918.0,5030.0,4888.0,21775.0,10808.0,10967.0,373.0,188.0,185.0,67854.0,36048.0,31806.0,23322.0,9192.0,14130.0,40146.0,25096.0,15050.0,32823.0,21699.0,11124.0,3510.0,2493.0,1017.0,6810.0,3983.0,2827.0,2756.0,717.0,2039.0,19747.0,14506.0,5241.0,7323.0,3397.0,3926.0,290.0,177.0,113.0,2833.0,1405.0,1428.0,362.0,78.0,284.0,3838.0,1737.0,2101.0,5865.0,2782.0,3083.0,264.0,165.0,99.0,2083.0,1052.0,1031.0,290.0,64.0,226.0,3228.0,1501.0,1727.0,1458.0,615.0,843.0,26.0,12.0,14.0,750.0,353.0,397.0,72.0,14.0,58.0,610.0,236.0,374.0,51030.0,20144.0,30886.0,,
33.0,628.0,5877.0,0.0,0.0,0.0,SUB-DISTRICT,Palayamkottai,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,628.0,5877.0,642886.0,0.0,0.0,VILLAGE,Sivalaperi ,Rural,1207.0,4571.0,2339.0,2232.0,593.0,318.0,275.0,705.0,358.0,347.0,0.0,0.0,0.0,3204.0,1756.0,1448.0,1367.0,583.0,784.0,2189.0,1355.0,834.0,1634.0,1117.0,517.0,207.0,135.0,72.0,728.0,422.0,306.0,36.0,18.0,18.0,663.0,542.0,121.0,555.0,238.0,317.0,21.0,7.0,14.0,53.0,13.0,40.0,30.0,15.0,15.0,451.0,203.0,248.0,507.0,217.0,290.0,21.0,7.0,14.0,51.0,13.0,38.0,28.0,15.0,13.0,407.0,182.0,225.0,48.0,21.0,27.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,44.0,21.0,23.0,2382.0,984.0,1398.0,,
33.0,628.0,5877.0,642887.0,0.0,0.0,VILLAGE,Kansapuram ,Rural,263.0,1042.0,482.0,560.0,112.0,49.0,63.0,613.0,285.0,328.0,0.0,0.0,0.0,734.0,379.0,355.0,308.0,103.0,205.0,387.0,277.0,110.0,341.0,244.0,97.0,25.0,20.0,5.0,110.0,103.0,7.0,29.0,2.0,27.0,177.0,119.0,58.0,46.0,33.0,13.0,0.0,0.0,0.0,26.0,23.0,3.0,0.0,0.0,0.0,20.0,10.0,10.0,36.0,24.0,12.0,0.0,0.0,0.0,17.0,15.0,2.0,0.0,0.0,0.0,19.0,9.0,10.0,10.0,9.0,1.0,0.0,0.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,655.0,205.0,450.0,,
33.0,628.0,5877.0,642888.0,0.0,0.0,VILLAGE,Keelapattam,Rural,615.0,2365.0,1163.0,1202.0,279.0,141.0,138.0,948.0,465.0,483.0,0.0,0.0,0.0,1586.0,864.0,722.0,779.0,299.0,480.0,1140.0,686.0,454.0,689.0,516.0,173.0,88.0,78.0,10.0,135.0,96.0,39.0,21.0,4.0,17.0,445.0,338.0,107.0,451.0,170.0,281.0,23.0,13.0,10.0,101.0,41.0,60.0,31.0,3.0,28.0,296.0,113.0,183.0,321.0,139.0,182.0,19.0,9.0,10.0,91.0,39.0,52.0,25.0,3.0,22.0,186.0,88.0,98.0,130.0,31.0,99.0,4.0,4.0,0.0,10.0,2.0,8.0,6.0,0.0,6.0,110.0,25.0,85.0,1225.0,477.0,748.0,,
33.0,628.0,5877.0,642889.0,0.0,0.0,VILLAGE,Thirumalaikolunthupuram,Rural,647.0,2422.0,1229.0,1193.0,297.0,163.0,134.0,740.0,377.0,363.0,0.0,0.0,0.0,1855.0,993.0,862.0,567.0,236.0,331.0,1206.0,737.0,469.0,636.0,523.0,113.0,46.0,42.0,4.0,73.0,66.0,7.0,4.0,2.0,2.0,513.0,413.0,100.0,570.0,214.0,356.0,10.0,10.0,0.0,75.0,46.0,29.0,1.0,1.0,0.0,484.0,157.0,327.0,536.0,208.0,328.0,10.0,10.0,0.0,70.0,46.0,24.0,1.0,1.0,0.0,455.0,151.0,304.0,34.0,6.0,28.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,29.0,6.0,23.0,1216.0,492.0,724.0,,
33.0,628.0,5877.0,642890.0,0.0,0.0,VILLAGE,Manappadaividu,Rural,451.0,1674.0,800.0,874.0,178.0,76.0,102.0,297.0,153.0,144.0,0.0,0.0,0.0,1294.0,653.0,641.0,380.0,147.0,233.0,727.0,492.0,235.0,632.0,434.0,198.0,15.0,11.0,4.0,207.0,141.0,66.0,96.0,14.0,82.0,314.0,268.0,46.0,95.0,58.0,37.0,2.0,2.0,0.0,26.0,18.0,8.0,17.0,4.0,13.0,50.0,34.0,16.0,75.0,46.0,29.0,2.0,2.0,0.0,23.0,15.0,8.0,11.0,3.0,8.0,39.0,26.0,13.0,20.0,12.0,8.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,1.0,5.0,11.0,8.0,3.0,947.0,308.0,639.0,,
33.0,628.0,5877.0,642891.0,0.0,0.0,VILLAGE,Melapattam  ,Rural,547.0,2054.0,1043.0,1011.0,221.0,107.0,114.0,1012.0,513.0,499.0,0.0,0.0,0.0,1499.0,843.0,656.0,555.0,200.0,355.0,697.0,561.0,136.0,491.0,430.0,61.0,15.0,15.0,0.0,17.0,16.0,1.0,15.0,7.0,8.0,444.0,392.0,52.0,206.0,131.0,75.0,1.0,1.0,0.0,72.0,49.0,23.0,1.0,1.0,0.0,132.0,80.0,52.0,189.0,124.0,65.0,1.0,1.0,0.0,71.0,48.0,23.0,1.0,1.0,0.0,116.0,74.0,42.0,17.0,7.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,6.0,10.0,1357.0,482.0,875.0,,
33.0,628.0,5877.0,642892.0,0.0,0.0,VILLAGE,Keelanatham,Rural,3013.0,11570.0,5754.0,5816.0,1104.0,555.0,549.0,1729.0,882.0,847.0,11.0,4.0,7.0,9750.0,4984.0,4766.0,1820.0,770.0,1050.0,4213.0,3070.0,1143.0,3698.0,2792.0,906.0,153.0,129.0,24.0,403.0,282.0,121.0,120.0,56.0,64.0,3022.0,2325.0,697.0,515.0,278.0,237.0,11.0,6.0,5.0,342.0,174.0,168.0,13.0,5.0,8.0,149.0,93.0,56.0,497.0,269.0,228.0,10.0,5.0,5.0,341.0,173.0,168.0,12.0,5.0,7.0,134.0,86.0,48.0,18.0,9.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,15.0,7.0,8.0,7357.0,2684.0,4673.0,,
33.0,628.0,5877.0,642893.0,0.0,0.0,VILLAGE,Palayamchettikulam ,Rural,527.0,2034.0,1026.0,1008.0,232.0,126.0,106.0,488.0,243.0,245.0,24.0,12.0,12.0,1621.0,851.0,770.0,413.0,175.0,238.0,995.0,550.0,445.0,909.0,519.0,390.0,31.0,28.0,3.0,216.0,129.0,87.0,148.0,9.0,139.0,514.0,353.0,161.0,86.0,31.0,55.0,1.0,1.0,0.0,20.0,11.0,9.0,29.0,1.0,28.0,36.0,18.0,18.0,69.0,24.0,45.0,1.0,1.0,0.0,18.0,10.0,8.0,24.0,1.0,23.0,26.0,12.0,14.0,17.0,7.0,10.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,5.0,10.0,6.0,4.0,1039.0,476.0,563.0,,
33.0,628.0,5877.0,642894.0,0.0,0.0,VILLAGE,Avanapperi,Rural,89.0,358.0,181.0,177.0,52.0,34.0,18.0,13.0,4.0,9.0,0.0,0.0,0.0,230.0,128.0,102.0,128.0,53.0,75.0,137.0,111.0,26.0,137.0,111.0,26.0,1.0,1.0,0.0,82.0,63.0,19.0,0.0,0.0,0.0,54.0,47.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,70.0,151.0,,
33.0,628.0,5877.0,642895.0,0.0,0.0,VILLAGE,Thiruthu,Rural,16.0,52.0,24.0,28.0,3.0,0.0,3.0,52.0,24.0,28.0,0.0,0.0,0.0,42.0,23.0,19.0,10.0,1.0,9.0,27.0,18.0,9.0,25.0,16.0,9.0,0.0,0.0,0.0,18.0,11.0,7.0,0.0,0.0,0.0,7.0,5.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,19.0,,
33.0,628.0,5877.0,642896.0,0.0,0.0,VILLAGE,Maruthur,Rural,334.0,1247.0,606.0,641.0,140.0,75.0,65.0,216.0,107.0,109.0,0.0,0.0,0.0,891.0,466.0,425.0,356.0,140.0,216.0,647.0,369.0,278.0,570.0,342.0,228.0,22.0,18.0,4.0,260.0,138.0,122.0,22.0,6.0,16.0,266.0,180.0,86.0,77.0,27.0,50.0,2.0,2.0,0.0,51.0,15.0,36.0,4.0,1.0,3.0,20.0,9.0,11.0,56.0,14.0,42.0,0.0,0.0,0.0,43.0,11.0,32.0,2.0,0.0,2.0,11.0,3.0,8.0,21.0,13.0,8.0,2.0,2.0,0.0,8.0,4.0,4.0,2.0,1.0,1.0,9.0,6.0,3.0,600.0,237.0,363.0,,
33.0,628.0,5877.0,642897.0,0.0,0.0,VILLAGE,Vagaikulam,Rural,98.0,364.0,176.0,188.0,41.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,151.0,147.0,66.0,25.0,41.0,259.0,125.0,134.0,255.0,123.0,132.0,118.0,43.0,75.0,16.0,7.0,9.0,1.0,1.0,0.0,120.0,72.0,48.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,105.0,51.0,54.0,,
33.0,628.0,5877.0,642898.0,0.0,0.0,VILLAGE,Udayarkulam,Rural,265.0,955.0,472.0,483.0,97.0,48.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,334.0,257.0,364.0,138.0,226.0,493.0,288.0,205.0,394.0,249.0,145.0,21.0,16.0,5.0,164.0,91.0,73.0,46.0,13.0,33.0,163.0,129.0,34.0,99.0,39.0,60.0,6.0,0.0,6.0,47.0,20.0,27.0,18.0,8.0,10.0,28.0,11.0,17.0,56.0,29.0,27.0,1.0,0.0,1.0,28.0,16.0,12.0,8.0,4.0,4.0,19.0,9.0,10.0,43.0,10.0,33.0,5.0,0.0,5.0,19.0,4.0,15.0,10.0,4.0,6.0,9.0,2.0,7.0,462.0,184.0,278.0,,
33.0,628.0,5877.0,642899.0,0.0,0.0,VILLAGE,Naduvakurichi,Rural,1012.0,3859.0,1873.0,1986.0,445.0,214.0,231.0,709.0,337.0,372.0,0.0,0.0,0.0,2562.0,1381.0,1181.0,1297.0,492.0,805.0,1651.0,1033.0,618.0,1614.0,1014.0,600.0,66.0,37.0,29.0,860.0,458.0,402.0,97.0,30.0,67.0,591.0,489.0,102.0,37.0,19.0,18.0,6.0,2.0,4.0,7.0,2.0,5.0,4.0,1.0,3.0,20.0,14.0,6.0,31.0,16.0,15.0,6.0,2.0,4.0,5.0,1.0,4.0,4.0,1.0,3.0,16.0,12.0,4.0,6.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2208.0,840.0,1368.0,,
33.0,628.0,5877.0,642900.0,0.0,0.0,VILLAGE,Ariyakulam,Rural,956.0,4130.0,1673.0,2457.0,390.0,179.0,211.0,1109.0,502.0,607.0,0.0,0.0,0.0,3243.0,1365.0,1878.0,887.0,308.0,579.0,1724.0,950.0,774.0,1412.0,863.0,549.0,161.0,127.0,34.0,234.0,101.0,133.0,126.0,4.0,122.0,891.0,631.0,260.0,312.0,87.0,225.0,11.0,7.0,4.0,58.0,26.0,32.0,16.0,0.0,16.0,227.0,54.0,173.0,294.0,79.0,215.0,10.0,7.0,3.0,55.0,24.0,31.0,16.0,0.0,16.0,213.0,48.0,165.0,18.0,8.0,10.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,14.0,6.0,8.0,2406.0,723.0,1683.0,,
33.0,628.0,5877.0,642901.0,0.0,0.0,VILLAGE,Velankulam,Rural,75.0,285.0,146.0,139.0,38.0,24.0,14.0,47.0,22.0,25.0,0.0,0.0,0.0,204.0,113.0,91.0,81.0,33.0,48.0,156.0,85.0,71.0,155.0,85.0,70.0,98.0,53.0,45.0,21.0,7.0,14.0,8.0,1.0,7.0,28.0,24.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,61.0,68.0,,
33.0,628.0,5877.0,642902.0,0.0,0.0,VILLAGE,Melaputhaneri,Rural,261.0,920.0,467.0,453.0,96.0,55.0,41.0,396.0,213.0,183.0,0.0,0.0,0.0,687.0,377.0,310.0,233.0,90.0,143.0,455.0,263.0,192.0,380.0,248.0,132.0,54.0,44.0,10.0,96.0,69.0,27.0,61.0,10.0,51.0,169.0,125.0,44.0,75.0,15.0,60.0,3.0,1.0,2.0,7.0,2.0,5.0,4.0,0.0,4.0,61.0,12.0,49.0,69.0,15.0,54.0,3.0,1.0,2.0,6.0,2.0,4.0,4.0,0.0,4.0,56.0,12.0,44.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,465.0,204.0,261.0,,
