State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,625.0,5848.0,0.0,0.0,0.0,SUB-DISTRICT,Srivilliputhur,Total,82678.0,293209.0,146005.0,147204.0,27991.0,14260.0,13731.0,78505.0,39084.0,39421.0,506.0,255.0,251.0,204495.0,112018.0,92477.0,88714.0,33987.0,54727.0,144168.0,85161.0,59007.0,127097.0,77279.0,49818.0,6797.0,4398.0,2399.0,39972.0,20025.0,19947.0,7157.0,2814.0,4343.0,73171.0,50042.0,23129.0,17071.0,7882.0,9189.0,563.0,297.0,266.0,7819.0,3076.0,4743.0,792.0,228.0,564.0,7897.0,4281.0,3616.0,13939.0,6438.0,7501.0,493.0,264.0,229.0,6387.0,2478.0,3909.0,566.0,161.0,405.0,6493.0,3535.0,2958.0,3132.0,1444.0,1688.0,70.0,33.0,37.0,1432.0,598.0,834.0,226.0,67.0,159.0,1404.0,746.0,658.0,149041.0,60844.0,88197.0,,
33.0,625.0,5848.0,0.0,0.0,0.0,SUB-DISTRICT,Srivilliputhur,Rural,39977.0,143314.0,71703.0,71611.0,13976.0,7211.0,6765.0,52872.0,26425.0,26447.0,416.0,205.0,211.0,95011.0,52891.0,42120.0,48303.0,18812.0,29491.0,75445.0,41791.0,33654.0,64998.0,37414.0,27584.0,5440.0,3408.0,2032.0,27150.0,13148.0,14002.0,1768.0,732.0,1036.0,30640.0,20126.0,10514.0,10447.0,4377.0,6070.0,490.0,247.0,243.0,5549.0,2004.0,3545.0,459.0,152.0,307.0,3949.0,1974.0,1975.0,8624.0,3601.0,5023.0,426.0,217.0,209.0,4560.0,1615.0,2945.0,320.0,102.0,218.0,3318.0,1667.0,1651.0,1823.0,776.0,1047.0,64.0,30.0,34.0,989.0,389.0,600.0,139.0,50.0,89.0,631.0,307.0,324.0,67869.0,29912.0,37957.0,,
33.0,625.0,5848.0,0.0,0.0,0.0,SUB-DISTRICT,Srivilliputhur,Urban,42701.0,149895.0,74302.0,75593.0,14015.0,7049.0,6966.0,25633.0,12659.0,12974.0,90.0,50.0,40.0,109484.0,59127.0,50357.0,40411.0,15175.0,25236.0,68723.0,43370.0,25353.0,62099.0,39865.0,22234.0,1357.0,990.0,367.0,12822.0,6877.0,5945.0,5389.0,2082.0,3307.0,42531.0,29916.0,12615.0,6624.0,3505.0,3119.0,73.0,50.0,23.0,2270.0,1072.0,1198.0,333.0,76.0,257.0,3948.0,2307.0,1641.0,5315.0,2837.0,2478.0,67.0,47.0,20.0,1827.0,863.0,964.0,246.0,59.0,187.0,3175.0,1868.0,1307.0,1309.0,668.0,641.0,6.0,3.0,3.0,443.0,209.0,234.0,87.0,17.0,70.0,773.0,439.0,334.0,81172.0,30932.0,50240.0,,
33.0,625.0,5848.0,641211.0,0.0,0.0,VILLAGE,Watrap ,Rural,1102.0,3875.0,1909.0,1966.0,329.0,164.0,165.0,952.0,465.0,487.0,0.0,0.0,0.0,2360.0,1338.0,1022.0,1515.0,571.0,944.0,2263.0,1208.0,1055.0,1983.0,1133.0,850.0,136.0,92.0,44.0,1419.0,782.0,637.0,13.0,4.0,9.0,415.0,255.0,160.0,280.0,75.0,205.0,4.0,1.0,3.0,255.0,69.0,186.0,6.0,0.0,6.0,15.0,5.0,10.0,274.0,74.0,200.0,4.0,1.0,3.0,253.0,68.0,185.0,2.0,0.0,2.0,15.0,5.0,10.0,6.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1612.0,701.0,911.0,,
33.0,625.0,5848.0,641212.0,0.0,0.0,VILLAGE,Maharajapuram ,Rural,2596.0,8278.0,4142.0,4136.0,777.0,386.0,391.0,2137.0,1080.0,1057.0,185.0,91.0,94.0,4567.0,2663.0,1904.0,3711.0,1479.0,2232.0,4808.0,2598.0,2210.0,3722.0,2248.0,1474.0,275.0,184.0,91.0,2132.0,1107.0,1025.0,75.0,43.0,32.0,1240.0,914.0,326.0,1086.0,350.0,736.0,11.0,5.0,6.0,856.0,261.0,595.0,48.0,10.0,38.0,171.0,74.0,97.0,1031.0,336.0,695.0,11.0,5.0,6.0,832.0,254.0,578.0,33.0,8.0,25.0,155.0,69.0,86.0,55.0,14.0,41.0,0.0,0.0,0.0,24.0,7.0,17.0,15.0,2.0,13.0,16.0,5.0,11.0,3470.0,1544.0,1926.0,,
33.0,625.0,5848.0,641213.0,0.0,0.0,VILLAGE,Thambipatti,Rural,847.0,3002.0,1472.0,1530.0,307.0,153.0,154.0,1014.0,498.0,516.0,0.0,0.0,0.0,1717.0,959.0,758.0,1285.0,513.0,772.0,1551.0,920.0,631.0,1103.0,684.0,419.0,180.0,111.0,69.0,409.0,218.0,191.0,21.0,15.0,6.0,493.0,340.0,153.0,448.0,236.0,212.0,28.0,16.0,12.0,290.0,159.0,131.0,13.0,9.0,4.0,117.0,52.0,65.0,369.0,183.0,186.0,27.0,16.0,11.0,228.0,116.0,112.0,11.0,8.0,3.0,103.0,43.0,60.0,79.0,53.0,26.0,1.0,0.0,1.0,62.0,43.0,19.0,2.0,1.0,1.0,14.0,9.0,5.0,1451.0,552.0,899.0,,
33.0,625.0,5848.0,641214.0,0.0,0.0,VILLAGE,Kottaiyur,Rural,1882.0,6393.0,3203.0,3190.0,731.0,378.0,353.0,3498.0,1743.0,1755.0,0.0,0.0,0.0,3437.0,1990.0,1447.0,2956.0,1213.0,1743.0,3761.0,1981.0,1780.0,2764.0,1608.0,1156.0,128.0,88.0,40.0,1436.0,748.0,688.0,37.0,18.0,19.0,1163.0,754.0,409.0,997.0,373.0,624.0,65.0,33.0,32.0,549.0,178.0,371.0,37.0,11.0,26.0,346.0,151.0,195.0,906.0,338.0,568.0,61.0,32.0,29.0,496.0,159.0,337.0,29.0,8.0,21.0,320.0,139.0,181.0,91.0,35.0,56.0,4.0,1.0,3.0,53.0,19.0,34.0,8.0,3.0,5.0,26.0,12.0,14.0,2632.0,1222.0,1410.0,,
33.0,625.0,5848.0,641215.0,0.0,0.0,VILLAGE,Ilandaikulam,Rural,1082.0,3868.0,1983.0,1885.0,359.0,207.0,152.0,1467.0,763.0,704.0,0.0,0.0,0.0,2419.0,1395.0,1024.0,1449.0,588.0,861.0,1918.0,1070.0,848.0,1629.0,959.0,670.0,302.0,214.0,88.0,859.0,426.0,433.0,27.0,19.0,8.0,441.0,300.0,141.0,289.0,111.0,178.0,39.0,18.0,21.0,169.0,40.0,129.0,24.0,21.0,3.0,57.0,32.0,25.0,224.0,74.0,150.0,32.0,15.0,17.0,152.0,36.0,116.0,2.0,1.0,1.0,38.0,22.0,16.0,65.0,37.0,28.0,7.0,3.0,4.0,17.0,4.0,13.0,22.0,20.0,2.0,19.0,10.0,9.0,1950.0,913.0,1037.0,,
33.0,625.0,5848.0,641216.0,0.0,0.0,VILLAGE,Ayaidharmam,Rural,524.0,1751.0,865.0,886.0,145.0,79.0,66.0,254.0,127.0,127.0,0.0,0.0,0.0,1038.0,572.0,466.0,713.0,293.0,420.0,1004.0,522.0,482.0,993.0,520.0,473.0,133.0,78.0,55.0,692.0,326.0,366.0,6.0,4.0,2.0,162.0,112.0,50.0,11.0,2.0,9.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,6.0,9.0,2.0,7.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,747.0,343.0,404.0,,
33.0,625.0,5848.0,641217.0,0.0,0.0,VILLAGE,Govindanallur,Rural,122.0,372.0,176.0,196.0,41.0,24.0,17.0,162.0,74.0,88.0,0.0,0.0,0.0,173.0,101.0,72.0,199.0,75.0,124.0,260.0,113.0,147.0,236.0,103.0,133.0,47.0,22.0,25.0,118.0,38.0,80.0,0.0,0.0,0.0,71.0,43.0,28.0,24.0,10.0,14.0,6.0,3.0,3.0,12.0,3.0,9.0,0.0,0.0,0.0,6.0,4.0,2.0,24.0,10.0,14.0,6.0,3.0,3.0,12.0,3.0,9.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,63.0,49.0,,
33.0,625.0,5848.0,641218.0,0.0,0.0,VILLAGE,Vellaipottal,Rural,283.0,929.0,447.0,482.0,89.0,46.0,43.0,206.0,105.0,101.0,0.0,0.0,0.0,549.0,322.0,227.0,380.0,125.0,255.0,590.0,300.0,290.0,549.0,290.0,259.0,55.0,33.0,22.0,150.0,46.0,104.0,7.0,3.0,4.0,337.0,208.0,129.0,41.0,10.0,31.0,5.0,0.0,5.0,12.0,3.0,9.0,0.0,0.0,0.0,24.0,7.0,17.0,41.0,10.0,31.0,5.0,0.0,5.0,12.0,3.0,9.0,0.0,0.0,0.0,24.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,147.0,192.0,,
33.0,625.0,5848.0,641219.0,0.0,0.0,VILLAGE,Ayan Karisalkulam ,Rural,1242.0,4449.0,2212.0,2237.0,410.0,212.0,198.0,1775.0,865.0,910.0,0.0,0.0,0.0,2914.0,1633.0,1281.0,1535.0,579.0,956.0,2383.0,1250.0,1133.0,1855.0,1034.0,821.0,195.0,163.0,32.0,915.0,401.0,514.0,123.0,60.0,63.0,622.0,410.0,212.0,528.0,216.0,312.0,8.0,4.0,4.0,229.0,63.0,166.0,13.0,5.0,8.0,278.0,144.0,134.0,257.0,85.0,172.0,7.0,4.0,3.0,202.0,54.0,148.0,7.0,2.0,5.0,41.0,25.0,16.0,271.0,131.0,140.0,1.0,0.0,1.0,27.0,9.0,18.0,6.0,3.0,3.0,237.0,119.0,118.0,2066.0,962.0,1104.0,,
33.0,625.0,5848.0,641220.0,0.0,0.0,VILLAGE,Marakalamkathan,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,625.0,5848.0,641221.0,0.0,0.0,VILLAGE,Khansabpuram ,Rural,2519.0,9013.0,4421.0,4592.0,920.0,463.0,457.0,4430.0,2180.0,2250.0,0.0,0.0,0.0,5273.0,2904.0,2369.0,3740.0,1517.0,2223.0,4873.0,2737.0,2136.0,4545.0,2582.0,1963.0,807.0,464.0,343.0,2339.0,1177.0,1162.0,32.0,15.0,17.0,1367.0,926.0,441.0,328.0,155.0,173.0,9.0,4.0,5.0,214.0,93.0,121.0,3.0,0.0,3.0,102.0,58.0,44.0,288.0,132.0,156.0,8.0,4.0,4.0,206.0,91.0,115.0,2.0,0.0,2.0,72.0,37.0,35.0,40.0,23.0,17.0,1.0,0.0,1.0,8.0,2.0,6.0,1.0,0.0,1.0,30.0,21.0,9.0,4140.0,1684.0,2456.0,,
33.0,625.0,5848.0,641222.0,0.0,0.0,VILLAGE,Sundarapandiyam ,Rural,2587.0,8738.0,4381.0,4357.0,754.0,403.0,351.0,3518.0,1753.0,1765.0,1.0,1.0,0.0,6182.0,3416.0,2766.0,2556.0,965.0,1591.0,4941.0,2699.0,2242.0,4320.0,2404.0,1916.0,239.0,161.0,78.0,1274.0,632.0,642.0,506.0,173.0,333.0,2301.0,1438.0,863.0,621.0,295.0,326.0,33.0,20.0,13.0,463.0,209.0,254.0,28.0,8.0,20.0,97.0,58.0,39.0,136.0,62.0,74.0,13.0,4.0,9.0,23.0,6.0,17.0,17.0,4.0,13.0,83.0,48.0,35.0,485.0,233.0,252.0,20.0,16.0,4.0,440.0,203.0,237.0,11.0,4.0,7.0,14.0,10.0,4.0,3797.0,1682.0,2115.0,,
33.0,625.0,5848.0,641223.0,0.0,0.0,VILLAGE,Thulukkapatti,Rural,366.0,1433.0,723.0,710.0,150.0,86.0,64.0,764.0,385.0,379.0,0.0,0.0,0.0,800.0,447.0,353.0,633.0,276.0,357.0,801.0,452.0,349.0,564.0,324.0,240.0,125.0,65.0,60.0,230.0,102.0,128.0,3.0,1.0,2.0,206.0,156.0,50.0,237.0,128.0,109.0,12.0,7.0,5.0,201.0,105.0,96.0,14.0,9.0,5.0,10.0,7.0,3.0,223.0,122.0,101.0,10.0,7.0,3.0,198.0,104.0,94.0,7.0,5.0,2.0,8.0,6.0,2.0,14.0,6.0,8.0,2.0,0.0,2.0,3.0,1.0,2.0,7.0,4.0,3.0,2.0,1.0,1.0,632.0,271.0,361.0,,
33.0,625.0,5848.0,641224.0,0.0,0.0,VILLAGE,Muvaraivenran,Rural,989.0,3684.0,1856.0,1828.0,413.0,219.0,194.0,1927.0,974.0,953.0,0.0,0.0,0.0,2085.0,1198.0,887.0,1599.0,658.0,941.0,2110.0,1097.0,1013.0,1769.0,923.0,846.0,106.0,58.0,48.0,1033.0,476.0,557.0,124.0,47.0,77.0,506.0,342.0,164.0,341.0,174.0,167.0,63.0,33.0,30.0,201.0,92.0,109.0,22.0,8.0,14.0,55.0,41.0,14.0,318.0,163.0,155.0,63.0,33.0,30.0,199.0,92.0,107.0,13.0,6.0,7.0,43.0,32.0,11.0,23.0,11.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,2.0,7.0,12.0,9.0,3.0,1574.0,759.0,815.0,,
33.0,625.0,5848.0,641225.0,0.0,0.0,VILLAGE,Rudrappanaickenpatti,Rural,80.0,282.0,121.0,161.0,27.0,9.0,18.0,190.0,82.0,108.0,0.0,0.0,0.0,156.0,76.0,80.0,126.0,45.0,81.0,190.0,87.0,103.0,171.0,80.0,91.0,1.0,1.0,0.0,55.0,11.0,44.0,8.0,1.0,7.0,107.0,67.0,40.0,19.0,7.0,12.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,1.0,13.0,6.0,7.0,19.0,7.0,12.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,1.0,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,34.0,58.0,,
33.0,625.0,5848.0,641226.0,0.0,0.0,VILLAGE,Vadugapatti,Rural,311.0,1084.0,529.0,555.0,112.0,58.0,54.0,816.0,395.0,421.0,0.0,0.0,0.0,674.0,369.0,305.0,410.0,160.0,250.0,576.0,316.0,260.0,573.0,316.0,257.0,44.0,24.0,20.0,364.0,183.0,181.0,7.0,3.0,4.0,158.0,106.0,52.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,213.0,295.0,,
33.0,625.0,5848.0,641227.0,0.0,0.0,VILLAGE,Ammapatti,Rural,282.0,1001.0,494.0,507.0,75.0,37.0,38.0,575.0,285.0,290.0,0.0,0.0,0.0,665.0,358.0,307.0,336.0,136.0,200.0,619.0,326.0,293.0,617.0,325.0,292.0,44.0,27.0,17.0,486.0,234.0,252.0,0.0,0.0,0.0,87.0,64.0,23.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,168.0,214.0,,
33.0,625.0,5848.0,641228.0,0.0,0.0,VILLAGE,Kalathur,Rural,62.0,230.0,111.0,119.0,22.0,12.0,10.0,78.0,34.0,44.0,0.0,0.0,0.0,107.0,62.0,45.0,123.0,49.0,74.0,132.0,69.0,63.0,127.0,69.0,58.0,32.0,16.0,16.0,76.0,40.0,36.0,2.0,1.0,1.0,17.0,12.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,42.0,56.0,,
33.0,625.0,5848.0,641229.0,0.0,0.0,VILLAGE,Nathampatti,Rural,797.0,2890.0,1462.0,1428.0,294.0,135.0,159.0,967.0,503.0,464.0,0.0,0.0,0.0,1933.0,1116.0,817.0,957.0,346.0,611.0,1487.0,817.0,670.0,1201.0,677.0,524.0,61.0,47.0,14.0,866.0,439.0,427.0,33.0,21.0,12.0,241.0,170.0,71.0,286.0,140.0,146.0,27.0,18.0,9.0,121.0,52.0,69.0,33.0,10.0,23.0,105.0,60.0,45.0,234.0,129.0,105.0,25.0,18.0,7.0,93.0,49.0,44.0,18.0,6.0,12.0,98.0,56.0,42.0,52.0,11.0,41.0,2.0,0.0,2.0,28.0,3.0,25.0,15.0,4.0,11.0,7.0,4.0,3.0,1403.0,645.0,758.0,,
33.0,625.0,5848.0,641230.0,0.0,0.0,VILLAGE,Kunnur ,Rural,2254.0,11786.0,5994.0,5792.0,748.0,383.0,365.0,2670.0,1342.0,1328.0,10.0,10.0,0.0,9332.0,5046.0,4286.0,2454.0,948.0,1506.0,4508.0,2472.0,2036.0,4191.0,2346.0,1845.0,280.0,179.0,101.0,1849.0,970.0,879.0,83.0,26.0,57.0,1979.0,1171.0,808.0,317.0,126.0,191.0,24.0,9.0,15.0,79.0,36.0,43.0,24.0,4.0,20.0,190.0,77.0,113.0,291.0,117.0,174.0,19.0,8.0,11.0,73.0,34.0,39.0,21.0,4.0,17.0,178.0,71.0,107.0,26.0,9.0,17.0,5.0,1.0,4.0,6.0,2.0,4.0,3.0,0.0,3.0,12.0,6.0,6.0,7278.0,3522.0,3756.0,,
33.0,625.0,5848.0,641231.0,0.0,0.0,VILLAGE,Semmanandikarisalkulam,Rural,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,625.0,5848.0,641232.0,0.0,0.0,VILLAGE,Pattakkulam Sallipatti,Rural,1053.0,3730.0,1886.0,1844.0,398.0,200.0,198.0,1901.0,969.0,932.0,21.0,8.0,13.0,2388.0,1376.0,1012.0,1342.0,510.0,832.0,1995.0,1064.0,931.0,1948.0,1043.0,905.0,59.0,35.0,24.0,1428.0,690.0,738.0,23.0,11.0,12.0,438.0,307.0,131.0,47.0,21.0,26.0,1.0,1.0,0.0,21.0,7.0,14.0,2.0,0.0,2.0,23.0,13.0,10.0,45.0,20.0,25.0,1.0,1.0,0.0,21.0,7.0,14.0,1.0,0.0,1.0,22.0,12.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1735.0,822.0,913.0,,
33.0,625.0,5848.0,641233.0,0.0,0.0,VILLAGE,S.Ammapatti,Rural,50.0,168.0,81.0,87.0,11.0,6.0,5.0,101.0,51.0,50.0,0.0,0.0,0.0,99.0,54.0,45.0,69.0,27.0,42.0,111.0,49.0,62.0,93.0,41.0,52.0,8.0,5.0,3.0,76.0,32.0,44.0,3.0,0.0,3.0,6.0,4.0,2.0,18.0,8.0,10.0,0.0,0.0,0.0,17.0,7.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,7.0,9.0,0.0,0.0,0.0,15.0,6.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,32.0,25.0,,
33.0,625.0,5848.0,641234.0,0.0,0.0,VILLAGE,Viluppanur ,Rural,1557.0,5304.0,2719.0,2585.0,544.0,285.0,259.0,2864.0,1431.0,1433.0,1.0,0.0,1.0,3843.0,2152.0,1691.0,1461.0,567.0,894.0,2857.0,1556.0,1301.0,2737.0,1520.0,1217.0,165.0,98.0,67.0,1188.0,494.0,694.0,42.0,22.0,20.0,1342.0,906.0,436.0,120.0,36.0,84.0,3.0,2.0,1.0,9.0,2.0,7.0,3.0,1.0,2.0,105.0,31.0,74.0,83.0,25.0,58.0,2.0,1.0,1.0,7.0,1.0,6.0,3.0,1.0,2.0,71.0,22.0,49.0,37.0,11.0,26.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,34.0,9.0,25.0,2447.0,1163.0,1284.0,,
33.0,625.0,5848.0,641235.0,0.0,0.0,VILLAGE,Nallingaperi ,Rural,159.0,532.0,265.0,267.0,37.0,24.0,13.0,187.0,94.0,93.0,0.0,0.0,0.0,390.0,207.0,183.0,142.0,58.0,84.0,273.0,154.0,119.0,266.0,153.0,113.0,108.0,68.0,40.0,79.0,28.0,51.0,1.0,0.0,1.0,78.0,57.0,21.0,7.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,6.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,111.0,148.0,,
33.0,625.0,5848.0,641236.0,0.0,0.0,VILLAGE,Pillaiyarnatham,Rural,1042.0,3800.0,1891.0,1909.0,412.0,209.0,203.0,699.0,342.0,357.0,0.0,0.0,0.0,2543.0,1426.0,1117.0,1257.0,465.0,792.0,2180.0,1189.0,991.0,2134.0,1173.0,961.0,321.0,169.0,152.0,1133.0,531.0,602.0,9.0,5.0,4.0,671.0,468.0,203.0,46.0,16.0,30.0,1.0,1.0,0.0,28.0,6.0,22.0,2.0,0.0,2.0,15.0,9.0,6.0,43.0,16.0,27.0,1.0,1.0,0.0,26.0,6.0,20.0,2.0,0.0,2.0,14.0,9.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1620.0,702.0,918.0,,
33.0,625.0,5848.0,641237.0,0.0,0.0,VILLAGE,Venkateswarapuram ,Rural,1103.0,4130.0,2055.0,2075.0,467.0,224.0,243.0,1007.0,495.0,512.0,0.0,0.0,0.0,2818.0,1552.0,1266.0,1312.0,503.0,809.0,2180.0,1237.0,943.0,1377.0,817.0,560.0,52.0,34.0,18.0,143.0,69.0,74.0,30.0,10.0,20.0,1152.0,704.0,448.0,803.0,420.0,383.0,32.0,14.0,18.0,23.0,11.0,12.0,16.0,6.0,10.0,732.0,389.0,343.0,767.0,403.0,364.0,28.0,12.0,16.0,22.0,11.0,11.0,16.0,6.0,10.0,701.0,374.0,327.0,36.0,17.0,19.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,31.0,15.0,16.0,1950.0,818.0,1132.0,,
33.0,625.0,5848.0,641238.0,0.0,0.0,VILLAGE,Singammalpuram   ,Rural,559.0,2212.0,1180.0,1032.0,204.0,106.0,98.0,1906.0,1013.0,893.0,3.0,1.0,2.0,1627.0,954.0,673.0,585.0,226.0,359.0,916.0,515.0,401.0,841.0,482.0,359.0,7.0,4.0,3.0,471.0,251.0,220.0,12.0,5.0,7.0,351.0,222.0,129.0,75.0,33.0,42.0,1.0,0.0,1.0,28.0,9.0,19.0,3.0,1.0,2.0,43.0,23.0,20.0,67.0,30.0,37.0,1.0,0.0,1.0,26.0,8.0,18.0,2.0,1.0,1.0,38.0,21.0,17.0,8.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,3.0,1296.0,665.0,631.0,,
33.0,625.0,5848.0,641239.0,0.0,0.0,VILLAGE,Kurukkalkulam ,Rural,767.0,2967.0,1543.0,1424.0,323.0,192.0,131.0,1131.0,594.0,537.0,0.0,0.0,0.0,2238.0,1239.0,999.0,729.0,304.0,425.0,1371.0,900.0,471.0,1291.0,859.0,432.0,28.0,19.0,9.0,166.0,83.0,83.0,16.0,3.0,13.0,1081.0,754.0,327.0,80.0,41.0,39.0,2.0,0.0,2.0,7.0,1.0,6.0,4.0,1.0,3.0,67.0,39.0,28.0,58.0,31.0,27.0,2.0,0.0,2.0,7.0,1.0,6.0,2.0,1.0,1.0,47.0,29.0,18.0,22.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,20.0,10.0,10.0,1596.0,643.0,953.0,,
