"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1278,Mannivakkam,Chengalpattu,Chengalpattu MGR,2915,571,612,4.8,1453,1462,994,493,245,248,988,1639,56.2,812,827,982,0,0.0,0,0,0,1543,63.71,894,649,1378,1028,35.3,794,234,3393,26,0.9,1,25,40,1861,63.8,658,1203,547,755,73.44,577,178,3242,81,7.88,70,11,6364,192,18.68,147,45,3267,280,27.24,277,3,92333,472,45.91,297,175,1697,3,0.0,3,0,0,0,0.0,0,0,0,1,0.1,0,1,0,70,6.81,62,8,7750,10,0.97,8,2,4000,43,4.18,32,11,2909,39,3.79,37,2,18500,110,10.7,78,32,2438,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tambara,5,yes,1,1,0,0,0,0.0,97,57.07,73,42.93,83,16.19,259,50.67,19.73,0.0,76.8,0.0,0.0,0.0,0.0,0.0
1279,Vandalur,Chengalpattu,Chengalpattu MGR,9656,2676,2093,4.6,5004,4652,1076,1281,662,619,1069,1369,14.2,707,662,1068,239,2.5,119,120,992,6533,78.01,3790,2743,1382,3266,33.8,2640,626,4217,39,0.4,11,28,393,6351,65.8,2353,3998,589,1002,30.68,652,350,1863,833,25.51,752,81,9284,1431,43.82,1236,195,6338,214,6.55,181,33,5485,769,23.55,454,315,1441,19,0.01,17,2,8500,0,0.0,0,0,0,47,1.44,24,23,1043,588,18.0,535,53,10094,198,6.06,193,5,38600,345,10.56,304,41,7415,286,8.76,268,18,14889,800,24.49,664,136,4882,yes,0,3,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,1,1,0,0,Tambara,5,yes,0,0,0,1,0,0.0,51,78.26,14,21.74,32,8.91,263,72.95,9.14,0.0,42.09,0.0,0.0,0.0,0.0,0.0
1280,Vandalur RF,Chengalpattu,Chengalpattu MGR,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.01,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,Nedungundram,Chengalpattu,Chengalpattu MGR,4935,458,1002,4.9,2505,2430,1031,757,395,362,1091,1993,40.4,1033,960,1076,29,0.6,18,11,1636,3146,75.3,1819,1327,1371,1795,36.4,1314,481,2732,82,1.7,1,81,12,3058,62.0,1190,1868,637,907,47.69,566,341,1660,372,23.57,320,52,6154,516,28.75,428,88,4864,217,12.09,142,75,1893,626,34.87,376,250,1504,13,0.01,11,2,5500,51,2.84,37,14,2643,18,1.0,8,10,800,297,16.55,259,38,6816,57,3.18,53,4,13250,94,5.24,82,12,6833,106,5.91,102,4,25500,316,17.6,244,72,3389,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tambara,5,yes,0,0,0,1,96,8.9,246,97.33,7,2.67,3,0.25,726,67.42,44.15,0.0,201.41,0.0,0.0,0.0,0.0,0.0
1282,Puthur,Chengalpattu,Chengalpattu MGR,947,867,189,5.0,500,447,1119,172,94,78,1205,792,83.6,415,377,1101,0,0.0,0,0,0,503,64.9,315,188,1676,297,31.4,280,17,16471,1,0.1,0,1,0,649,68.5,220,429,513,202,68.01,187,15,12467,33,11.11,33,0,0,62,20.88,60,2,30000,138,46.46,129,9,14333,64,21.55,58,6,9667,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,14,4.71,14,0,0,19,6.4,19,0,0,11,3.7,11,0,0,6,2.02,6,0,0,45,15.15,43,2,21500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tambara,10,yes,1,1,0,0,0,0.0,30,63.84,17,36.16,4,3.54,58,52.82,5.2,0.0,25.22,0.0,0.0,0.0,0.0,0.0
1283,Kolapakkam,Chengalpattu,Chengalpattu MGR,1980,606,421,4.7,1001,979,1022,388,193,195,990,1124,56.8,560,564,993,0,0.0,0,0,0,868,54.52,529,339,1560,656,33.1,563,93,6054,213,10.8,5,208,24,1111,56.1,433,678,639,390,59.45,316,74,4270,82,12.5,78,4,19500,184,28.05,169,15,11267,157,23.93,149,8,18625,232,35.37,166,66,2515,1,0.0,1,0,0,0,0.0,0,0,0,5,0.76,4,1,4000,66,10.06,63,3,21000,11,1.68,11,0,0,51,7.77,49,2,24500,77,11.74,76,1,76000,56,8.54,44,12,3667,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tambara,10,yes,0,0,0,1,35,10.73,20,31.58,44,68.42,14,4.34,213,65.17,0.0,0.0,20.37,0.0,0.0,0.0,0.0,0.0
1284,Kilambakkam,Chengalpattu,Chengalpattu MGR,1458,600,303,4.8,732,726,1008,226,111,115,965,713,48.9,365,348,1049,0,0.0,0,0,0,961,78.0,550,411,1338,491,33.7,390,101,3861,0,0.0,0,0,0,967,66.3,342,625,547,229,46.64,170,59,2881,136,27.7,118,18,6556,126,25.66,102,24,4250,67,13.65,62,5,12400,153,31.16,100,53,1887,9,0.02,8,1,8000,0,0.0,0,0,0,0,0.0,0,0,0,102,20.77,84,18,4667,34,6.92,34,0,0,36,7.33,27,9,3000,26,5.3,26,0,0,64,13.03,49,15,3267,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tambara,6,yes,0,0,0,1,0,0.0,44,32.48,91,67.52,28,11.41,81,33.2,5.81,0.0,37.92,0.0,0.0,0.0,0.0,0.0
1285,Urappakkam,Chengalpattu,Chengalpattu MGR,3575,1690,735,4.9,1804,1771,1019,525,272,253,1075,786,22.0,380,406,936,3,0.1,2,1,2000,2250,73.77,1283,967,1327,1088,30.4,879,209,4206,1,0.0,0,1,0,2486,69.5,925,1561,593,328,30.15,237,91,2604,392,36.03,332,60,5533,368,33.82,310,58,5345,108,9.93,94,14,6714,212,19.49,135,77,1753,8,0.01,8,0,0,0,0.0,0,0,0,86,7.9,58,28,2071,219,20.13,194,25,7760,87,8.0,80,7,11429,139,12.78,120,19,6316,84,7.72,79,5,15800,145,13.33,111,34,3265,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tambara,7,yes,0,0,0,1,0,0.0,29,81.63,7,18.37,11,4.96,166,78.3,4.92,0.0,24.0,0.0,0.0,0.0,0.0,0.0
1286,Ayyancheri,Chengalpattu,Chengalpattu MGR,686,371,153,4.5,345,341,1012,122,62,60,1033,201,29.3,100,101,990,0,0.0,0,0,0,347,61.52,189,158,1196,180,26.2,175,5,35000,0,0.0,0,0,0,506,73.8,170,336,506,39,21.67,39,0,0,69,38.33,66,3,22000,72,40.0,70,2,35000,39,21.67,39,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,37,20.56,34,3,11333,32,17.78,32,0,0,20,11.11,20,0,0,17,9.44,16,1,16000,35,19.44,34,1,34000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Tambara,9,yes,0,0,0,1,0,0.0,24,15.63,127,84.37,4,2.16,30,16.19,6.3,0.0,17.2,0.0,0.0,0.0,0.0,0.0
1287,Unamancheri,Chengalpattu,Chengalpattu MGR,1727,328,355,4.9,862,865,997,258,131,127,1031,6,0.3,4,2,2000,136,7.9,69,67,1030,857,58.34,526,331,1589,777,45.0,516,261,1977,277,16.0,6,271,22,673,39.0,340,333,1021,638,82.11,418,220,1900,105,13.51,71,34,2088,34,4.38,27,7,3857,203,26.13,145,58,2500,434,55.86,272,162,1679,1,0.0,1,0,0,0,0.0,0,0,0,96,12.36,62,34,1824,6,0.77,6,0,0,3,0.39,3,0,0,12,1.54,11,1,11000,2,0.26,2,0,0,20,2.57,14,6,2333,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,0,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tambara,10,yes,0,0,0,1,0,0.0,78,40.27,115,59.73,13,2.44,321,60.96,11.12,0.0,66.56,0.0,0.0,0.0,0.0,0.0
1288,Rattinamangalam,Chengalpattu,Chengalpattu MGR,1004,417,216,4.6,513,491,1045,191,98,93,1054,479,47.7,242,237,1021,10,1.0,4,6,667,468,57.56,277,191,1450,395,39.3,288,107,2692,1,0.1,0,1,0,608,60.6,225,383,587,256,41.52,178,78,2282,49,35.7,38,11,3455,90,22.78,72,18,4000,51,12.91,45,6,7500,113,28.61,60,53,1132,0,0.0,0,0,0,92,23.29,73,19,3842,0,0.0,0,0,0,27,6.84,21,6,3500,22,5.57,17,5,3400,15,3.8,12,3,4000,20,5.06,20,0,0,55,13.92,40,15,2667,yes,0,1,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Tambara,12,yes,0,0,0,1,22,9.32,92,58.44,65,41.56,0,0.0,62,25.64,27.17,0.0,64.41,0.0,0.0,0.0,0.0,0.0
1289,Vengadamangalam,Chengalpattu,Chengalpattu MGR,968,209,230,4.2,474,494,960,172,79,93,849,637,65.8,305,332,919,10,1.0,4,6,667,540,67.84,308,232,1328,368,38.0,274,94,2915,45,4.6,1,44,23,555,57.3,199,356,559,266,58.7,185,81,2284,35,23.1,32,3,10667,67,18.21,57,10,5700,60,16.3,56,4,14000,150,40.76,79,71,1113,6,0.02,6,0,0,50,13.59,44,6,7333,4,1.09,3,1,3000,24,6.52,24,0,0,7,1.9,5,2,2500,17,4.62,16,1,16000,19,5.16,19,0,0,31,8.42,22,9,2444,yes,0,1,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Tambara,10,yes,0,0,0,1,0,0.0,105,100.0,0,0.0,30,6.39,327,70.83,27.49,0.0,77.84,0.0,0.0,0.0,0.0,0.0
1290,Nallambakkam,Chengalpattu,Chengalpattu MGR,2733,550,573,4.8,1378,1355,1017,449,225,224,1004,937,34.3,467,470,994,118,4.3,59,59,1000,1117,48.91,706,411,1718,1127,41.2,761,366,2079,36,1.3,6,30,200,1570,57.4,611,959,637,893,61.4,556,337,1650,74,24.4,66,8,8250,160,14.2,139,21,6619,350,31.06,232,118,1966,338,29.99,183,155,1181,4,0.0,4,0,0,201,17.83,137,64,2141,2,0.18,0,2,0,70,6.21,64,6,10667,2,0.18,2,0,0,65,5.77,55,10,5500,64,5.68,64,0,0,31,2.75,20,11,1818,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Tambara,14,yes,0,0,0,1,109,21.85,147,76.84,44,23.16,109,21.88,89,17.87,10.92,0.0,135.63,0.0,0.0,0.0,0.0,0.0
1291,Unamancheri RF,Chengalpattu,Chengalpattu MGR,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1292,Arungal,Chengalpattu,Chengalpattu MGR,646,152,117,5.5,341,305,1118,77,37,40,925,57,8.8,27,30,900,0,0.0,0,0,0,355,62.39,222,133,1669,295,45.7,204,91,2242,0,0.0,0,0,0,351,54.3,137,214,640,264,89.49,176,88,2000,11,3.73,11,0,0,20,6.78,17,3,5667,194,65.76,134,60,2233,70,23.73,42,28,1500,0,0.0,0,0,0,0,0.0,0,0,0,1,0.34,1,0,0,10,3.39,10,0,0,0,0.0,0,0,0,5,1.69,3,2,1500,3,1.02,3,0,0,12,4.07,11,1,11000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tambara,15,yes,1,1,0,0,209,49.28,83,96.78,3,3.22,25,5.89,105,24.69,8.12,0.0,74.72,0.0,0.0,0.0,0.0,0.0
1293,Karanaipuducheri,Chengalpattu,Chengalpattu MGR,2092,304,431,4.9,1075,1017,1057,335,166,169,982,664,31.7,342,322,1062,27,1.3,11,16,688,944,53.73,606,338,1793,687,32.8,619,68,9103,7,0.3,1,6,167,1398,66.8,455,943,483,455,66.23,414,41,10098,137,19.94,124,13,9538,95,13.83,81,14,5786,104,15.14,103,1,103000,345,50.22,305,40,7625,6,0.01,6,0,0,0,0.0,0,0,0,3,0.44,2,1,2000,121,17.61,109,12,9083,13,1.89,13,0,0,14,2.04,12,2,6000,17,2.47,17,0,0,64,9.32,52,12,4333,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,/Tambara,10,yes,0,0,0,1,189,27.47,166,87.69,23,12.31,134,19.53,175,25.51,27.12,0.0,138.69,0.0,0.0,0.0,0.0,0.0
1294,Thailavaram,Chengalpattu,Chengalpattu MGR,395,396,82,4.8,202,193,1047,67,32,35,914,275,69.6,143,132,1083,0,0.0,0,0,0,205,62.5,122,83,1470,97,24.6,88,9,9778,11,2.8,9,2,4500,287,72.7,105,182,577,81,83.51,72,9,8000,12,12.37,12,0,0,4,4.12,4,0,0,7,7.22,7,0,0,74,76.29,65,9,7222,0,0.0,0,0,0,0,0.0,0,0,0,1,1.03,1,0,0,7,7.22,7,0,0,4,4.12,4,0,0,0,0.0,0,0,0,1,1.03,1,0,0,3,3.09,3,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Tambara,13,yes,1,1,0,0,46,45.9,31,100.0,0,0.0,0,0.38,22,22.32,4.0,0.0,27.35,0.0,0.0,0.0,0.0,0.0
1295,Konathi,Chengalpattu,Chengalpattu MGR,310,289,63,4.9,162,148,1095,36,19,17,1118,4,1.3,1,3,333,0,0.0,0,0,0,187,68.25,120,67,1791,91,29.4,88,3,29333,0,0.0,0,0,0,219,70.6,74,145,510,58,63.74,57,1,57000,14,15.38,14,0,0,19,20.88,17,2,8500,23,25.27,23,0,0,15,16.48,15,0,0,20,0.22,19,1,19000,0,0.0,0,0,0,0,0.0,0,0,0,8,8.79,8,0,0,6,6.59,6,0,0,1,1.1,1,0,0,8,8.79,8,0,0,10,10.99,8,2,4000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Tambara,14,yes,1,1,0,0,59,55.21,18,82.06,4,17.94,11,10.37,15,13.63,3.18,0.0,15.12,0.0,0.0,0.0,0.0,0.0
1296,Potheri,Chengalpattu,Chengalpattu MGR,2511,763,502,5.0,1274,1237,1030,450,234,216,1083,1040,41.4,509,531,959,35,1.4,18,17,1059,1398,67.83,832,566,1470,634,25.2,570,64,8906,86,3.4,29,57,509,1791,71.3,675,1116,605,137,21.61,124,13,9538,233,36.75,199,34,5853,264,41.64,247,17,14529,29,4.57,24,5,4800,62,9.78,56,6,9333,46,0.07,44,2,22000,0,0.0,0,0,0,0,0.0,0,0,0,135,21.29,104,31,3355,98,15.46,95,3,31667,34,5.36,31,3,10333,72,11.36,71,1,71000,158,24.92,145,13,11154,yes,0,1,1,1,0,1,0,1,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,1,1,0,0,Tambara,14,yes,0,0,0,1,42,12.87,102,100.0,0,0.0,30,9.12,155,47.01,12.06,0.0,89.97,0.0,0.0,0.0,0.0,0.0
1297,Vallancheri,Chengalpattu,Chengalpattu MGR,761,311,158,4.8,399,362,1102,107,58,49,1184,480,63.1,255,225,1133,0,0.0,0,0,0,412,63.0,265,147,1803,227,29.8,210,17,12353,0,0.0,0,0,0,534,70.2,189,345,548,135,59.47,133,2,66500,60,26.43,49,11,4455,32,14.1,28,4,7000,27,11.89,27,0,0,97,42.73,95,2,47500,11,0.05,11,0,0,0,0.0,0,0,0,0,0.0,0,0,0,42,18.5,31,11,2818,18,7.93,18,0,0,7,3.08,7,0,0,9,3.96,9,0,0,16,7.05,12,4,3000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Tambara,13,yes,0,0,0,1,68,27.76,68,99.59,0,0.41,40,16.33,68,27.91,8.02,0.0,60.29,0.0,0.0,0.0,0.0,0.0
1298,Gudalore RF,Chengalpattu,Chengalpattu MGR,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,Kayarambedu,Chengalpattu,Chengalpattu MGR,2715,260,603,4.5,1371,1344,1020,413,222,191,1162,494,18.2,229,265,864,24,0.9,11,13,846,1488,64.64,879,609,1443,1314,48.4,819,495,1655,31,1.1,0,31,0,1370,50.5,552,818,675,1106,84.17,648,458,1415,118,8.98,97,21,4619,90,6.85,74,16,4625,416,31.66,371,45,8244,687,52.28,275,412,667,3,0.0,2,1,2000,0,0.0,0,0,0,9,0.68,6,3,2000,77,5.86,59,18,3278,32,2.44,32,0,0,32,2.44,25,7,3571,15,1.14,15,0,0,43,3.27,34,9,3778,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tambara,14,yes,0,0,0,1,360,34.54,263,71.95,103,28.05,1,0.11,315,30.25,73.81,0.0,189.57,0.0,0.0,0.0,0.0,0.0
