"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
347,Poongulam,Ponneri,Chengalpattu MGR,1226,373,290,4.2,610,616,990,213,105,108,972,141,11.5,71,70,1014,36,2.9,17,19,895,234,23.1,164,70,2343,410,33.4,329,81,4062,0,0.0,0,0,0,816,66.6,281,535,525,375,91.46,297,78,3808,4,0.98,4,0,0,31,7.56,28,3,9333,34,8.29,32,2,16000,142,34.63,67,75,893,199,0.49,198,1,198000,0,0.0,0,0,0,1,0.24,1,0,0,3,0.73,3,0,0,0,0.0,0,0,0,21,5.12,21,0,0,3,0.73,3,0,0,7,1.71,4,3,1333,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,0,1,0,Ponner,20,yes,1,1,0,0,0,0.0,62,38.09,102,61.91,31,9.38,134,40.69,62.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,Injur,Ponneri,Chengalpattu MGR,586,318,133,4.4,301,285,1056,111,59,52,1135,253,43.2,123,130,946,0,0.0,0,0,0,113,23.79,85,28,3036,318,54.3,180,138,1304,0,0.0,0,0,0,268,45.7,121,147,823,306,96.23,170,136,1250,0,0.0,0,0,0,12,3.77,10,2,5000,181,56.92,109,72,1514,125,39.31,61,64,953,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,1.57,5,0,0,0,0.0,0,0,0,7,2.2,5,2,2500,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,no,3,1,0,0,1,0,Ponner,18,yes,1,1,0,0,0,0.0,60,42.84,80,57.16,10,5.4,34,18.34,0.0,60.23,0.0,0.0,0.0,0.0,0.0,0.0
349,Seliambedu,Ponneri,Chengalpattu MGR,935,268,230,4.1,457,478,956,174,89,85,1047,170,18.2,93,77,1208,3,0.3,2,1,2000,381,50.07,253,128,1977,468,50.1,269,199,1352,0,0.0,0,0,0,467,49.9,188,279,674,432,92.31,236,196,1204,8,1.71,7,1,7000,28,5.98,26,2,13000,131,27.99,95,36,2639,301,64.32,141,160,881,0,0.0,0,0,0,0,0.0,0,0,0,3,0.64,3,0,0,5,1.07,4,1,4000,0,0.0,0,0,0,7,1.5,7,0,0,0,0.0,0,0,0,21,4.49,19,2,9500,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Ponner,18,yes,1,0,1,0,0,0.0,198,86.42,31,13.58,6,1.74,114,32.64,198.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Mangodu,Ponneri,Chengalpattu MGR,926,1057,232,4.0,466,460,1013,162,87,75,1160,34,3.7,21,13,1615,0,0.0,0,0,0,180,23.56,107,73,1466,301,32.5,279,22,12682,0,0.0,0,0,0,625,67.5,187,438,427,282,93.69,267,15,17800,0,0.0,0,0,0,19,6.31,12,7,1714,24,7.97,23,1,23000,39,12.96,32,7,4571,219,0.73,212,7,30286,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,16,5.32,11,5,2200,0,0.0,0,0,0,3,1.0,1,2,500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Ponner,18,yes,1,0,0,0,0,0.0,52,100.0,0,0.0,13,14.68,23,25.89,52.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Keerapakkam,Ponneri,Chengalpattu MGR,1008,429,227,4.4,497,511,973,205,97,108,898,33,3.3,17,16,1063,0,0.0,0,0,0,332,41.34,237,95,2495,337,33.4,314,23,13652,0,0.0,0,0,0,671,66.6,183,488,375,319,94.66,305,14,21786,2,0.59,1,1,1000,16,4.75,8,8,1000,30,8.9,29,1,29000,45,13.35,32,13,2462,244,0.72,244,0,0,0,0.0,0,0,0,1,0.3,0,1,0,1,0.3,1,0,0,0,0.0,0,0,0,13,3.86,5,8,625,2,0.59,2,0,0,1,0.3,1,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,no,1,0,0,0,1,0,Ponner,20,yes,1,0,0,0,0,0.0,79,91.71,7,8.29,1,0.23,149,63.35,78.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,Kallur,Ponneri,Chengalpattu MGR,412,86,100,4.1,208,204,1020,48,28,20,1400,187,45.4,88,99,889,0,0.0,0,0,0,115,31.59,78,37,2108,171,41.5,125,46,2717,0,0.0,0,0,0,241,58.5,83,158,525,152,88.89,114,38,3000,1,0.58,1,0,0,18,10.53,10,8,1250,45,26.32,39,6,6500,73,42.69,41,32,1281,34,0.2,34,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.58,1,0,0,0,0.0,0,0,0,8,4.68,3,5,600,2,1.17,2,0,0,8,4.68,5,3,1667,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,0,1,0,Ponner,20,yes,1,1,0,0,0,0.0,176,100.0,0,0.0,96,19.98,209,43.42,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,Karimanal,Ponneri,Chengalpattu MGR,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,Annamalaicheri,Ponneri,Chengalpattu MGR,1650,67,360,4.6,821,829,990,400,213,187,1139,81,4.9,42,39,1077,0,0.0,0,0,0,238,19.04,159,79,2013,420,25.5,394,26,15154,7,0.4,7,0,0,1223,74.1,420,803,523,275,65.24,273,2,136500,0,0.24,0,0,0,145,34.52,121,24,5042,20,4.76,20,0,0,58,13.81,56,2,28000,196,0.47,196,0,0,1,0.24,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,140,33.33,119,21,5667,0,0.0,0,0,0,5,1.19,2,3,667,yes,0,1,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Ponner,15,yes,1,0,0,0,0,0.0,98,49.99,98,50.01,99,3.99,2183,88.13,97.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,Periaveppathur,Ponneri,Chengalpattu MGR,588,136,147,4.0,293,295,993,103,52,51,1020,442,75.2,226,216,1046,0,0.0,0,0,0,167,34.43,110,57,1930,226,38.4,151,75,2013,0,0.0,0,0,0,362,61.6,142,220,645,209,92.48,140,69,2029,3,1.33,3,0,0,14,6.19,8,6,1333,39,17.26,35,4,8750,170,75.22,105,65,1615,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.88,2,0,0,1,0.44,1,0,0,7,3.1,5,2,2500,0,0.0,0,0,0,7,3.1,3,4,750,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Ponner,16,yes,1,0,0,0,0,0.0,130,56.71,99,43.29,28,6.52,176,40.55,130.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,Uppunelvoyal,Ponneri,Chengalpattu MGR,504,182,116,4.3,252,252,1000,81,36,45,800,290,57.5,142,148,959,9,1.8,4,5,800,99,23.4,67,32,2094,265,52.6,169,96,1760,0,0.0,0,0,0,239,47.4,83,156,532,255,96.23,161,94,1713,2,0.75,2,0,0,8,3.02,6,2,3000,41,15.47,41,0,0,214,80.75,120,94,1277,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.75,2,0,0,0,0.0,0,0,0,3,1.13,3,0,0,0,0.0,0,0,0,5,1.89,3,2,1500,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Ponner,17,yes,0,0,0,1,0,0.0,91,88.63,12,11.37,26,9.3,149,53.69,90.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,Agaram,Ponneri,Chengalpattu MGR,449,323,106,4.2,216,233,927,66,33,33,1000,102,22.7,51,51,1000,0,0.0,0,0,0,92,24.02,67,25,2680,163,36.3,123,40,3075,0,0.0,0,0,0,286,63.7,93,193,482,151,92.64,116,35,3314,1,0.61,0,1,0,11,6.75,7,4,1750,31,19.02,29,2,14500,116,71.17,84,32,2625,4,0.02,3,1,3000,0,0.0,0,0,0,0,0.0,0,0,0,1,0.61,0,1,0,0,0.0,0,0,0,6,3.68,4,2,2000,1,0.61,1,0,0,4,2.45,2,2,1000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Ponner,19,yes,1,1,0,0,0,0.0,111,100.0,0,0.0,3,1.88,25,18.06,50.16,0.0,61.09,0.0,0.0,0.0,0.0,0.0
358,Devambattu,Ponneri,Chengalpattu MGR,845,465,232,3.6,409,436,938,147,67,80,838,340,40.2,163,177,921,6,0.7,2,4,500,258,36.96,171,87,1966,418,49.5,233,185,1259,0,0.0,0,0,0,427,50.5,176,251,701,361,86.36,190,171,1111,16,3.83,13,3,4333,41,9.81,30,11,2727,71,16.99,54,17,3176,282,67.46,128,154,831,8,0.02,8,0,0,0,0.0,0,0,0,0,0.0,0,0,0,15,3.59,12,3,4000,1,0.24,1,0,0,12,2.87,9,3,3000,2,0.48,2,0,0,27,6.46,19,8,2375,no,1,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Ponner,17,yes,0,0,0,1,0,0.0,122,100.0,0,0.0,4,2.42,55,30.34,69.48,0.0,52.66,0.0,0.0,0.0,0.0,0.0
359,Kanganimedu,Ponneri,Chengalpattu MGR,222,271,64,3.5,109,113,965,34,16,18,889,94,42.3,47,47,1000,0,0.0,0,0,0,82,43.62,53,29,1828,123,55.4,71,52,1365,0,0.0,0,0,0,99,44.6,38,61,623,121,98.37,69,52,1327,0,0.0,0,0,0,2,1.63,2,0,0,0,0.0,0,0,0,121,98.37,69,52,1327,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,1.63,2,0,0,no,1,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Ponner,16,yes,1,1,0,0,0,0.0,33,85.83,5,14.17,6,7.51,38,45.94,16.59,0.0,16.19,0.0,0.0,0.0,0.0,0.0
360,Umipedu,Ponneri,Chengalpattu MGR,190,68,48,4.0,86,104,827,28,12,16,750,120,63.2,59,61,967,0,0.0,0,0,0,42,25.93,26,16,1625,110,57.9,59,51,1157,0,0.0,0,0,0,80,42.1,27,53,509,103,93.64,52,51,1020,2,1.82,2,0,0,5,4.55,5,0,0,22,20.0,12,10,1200,81,73.64,40,41,976,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,1.82,2,0,0,0,0.0,0,0,0,1,0.91,1,0,0,0,0.0,0,0,0,4,3.64,4,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,0,1,0,Ponner,16,yes,1,1,0,0,0,0.0,83,48.83,86,51.17,20,6.96,92,32.7,34.51,0.0,47.99,0.0,0.0,0.0,0.0,0.0
361,Senganyam,Ponneri,Chengalpattu MGR,878,230,203,4.3,447,431,1037,127,65,62,1048,242,27.6,122,120,1017,36,4.1,21,15,1400,341,45.41,229,112,2045,388,44.2,263,125,2104,0,0.0,0,0,0,490,55.8,184,306,601,354,91.24,232,122,1902,6,1.55,6,0,0,28,7.22,25,3,8333,101,26.03,86,15,5733,253,65.21,146,107,1364,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.55,6,0,0,0,0.0,0,0,0,2,0.52,2,0,0,0,0.0,0,0,0,26,6.7,23,3,7667,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Ponner,17,yes,0,0,0,1,0,0.0,141,78.14,40,21.86,47,12.39,154,40.29,50.48,0.0,90.9,0.0,0.0,0.0,0.0,0.0
