"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
8896,Thoranavavi,Perundurai,Periyar,2024,264,527,3.8,1052,972,1082,177,82,95,863,402,19.9,207,195,1062,0,0.0,0,0,0,561,30.37,393,168,2339,967,47.8,770,197,3909,114,5.6,0,114,0,943,46.6,282,661,427,922,95.35,728,194,3753,20,2.07,20,0,0,25,2.59,22,3,7333,482,49.84,465,17,27353,440,45.5,263,177,1486,0,0.0,0,0,0,0,0.0,0,0,0,10,1.03,10,0,0,10,1.03,10,0,0,0,0.0,0,0,0,6,0.62,6,0,0,3,0.31,3,0,0,16,1.65,13,3,4333,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Gopichettypala,12,yes,0,0,0,1,0,0.0,30,4.46,643,95.54,36,4.66,58,7.51,30.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8897,Madathupalayam,Perundurai,Periyar,820,293,220,3.7,429,391,1097,77,40,37,1081,230,28.0,119,111,1072,0,0.0,0,0,0,285,38.36,192,93,2065,552,67.3,290,262,1107,0,0.0,0,0,0,268,32.7,139,129,1078,435,78.8,207,228,908,61,11.05,43,18,2389,56,10.14,40,16,2500,220,39.86,114,106,1075,214,38.77,92,122,754,1,0.0,1,0,0,0,0.0,0,0,0,7,1.27,4,3,1333,49,8.88,37,12,3083,5,0.91,2,3,667,14,2.54,11,3,3667,9,1.63,9,0,0,33,5.98,20,13,1538,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Gopichettypala,11,yes,0,0,0,1,0,0.0,3,1.14,236,98.86,23,8.37,18,6.31,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8898,Vettaiankinar,Perundurai,Periyar,1120,267,300,3.7,558,562,993,115,59,56,1054,174,15.5,96,78,1231,0,0.0,0,0,0,484,48.16,328,156,2103,801,71.5,402,399,1008,2,0.2,0,2,0,317,28.3,156,161,969,549,68.54,262,287,913,201,25.09,110,91,1209,51,6.37,30,21,1429,293,36.58,186,107,1738,255,31.84,76,179,425,1,0.0,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,199,24.84,108,91,1187,2,0.25,2,0,0,14,1.75,11,3,3667,3,0.37,2,1,2000,34,4.24,17,17,1000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Gobichettypala,20,yes,0,0,0,1,0,0.0,12,3.36,349,96.64,35,8.31,23,5.53,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8899,Sangakarampalayam,Perundurai,Periyar,200,154,49,4.1,104,96,1083,17,10,7,1429,0,0.0,0,0,0,0,0.0,0,0,0,81,44.26,57,24,2375,77,38.5,69,8,8625,0,0.0,0,0,0,123,61.5,35,88,398,75,97.4,67,8,8375,2,2.6,2,0,0,0,0.0,0,0,0,64,83.12,63,1,63000,11,14.29,4,7,571,0,0.0,0,0,0,0,0.0,0,0,0,1,1.3,1,0,0,1,1.3,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Gobichettypala,20,yes,0,0,0,1,0,0.0,8,7.4,103,92.6,13,9.69,6,4.59,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8900,Thingalur,Perundurai,Periyar,3549,337,969,3.7,1781,1768,1007,378,187,191,979,643,18.1,315,328,960,0,0.0,0,0,0,1626,51.28,1032,594,1737,1781,50.2,1218,563,2163,171,4.8,5,166,30,1597,45.0,558,1039,537,920,51.6,525,395,1329,496,27.91,399,97,4113,365,20.49,294,71,4141,377,21.17,274,103,2660,540,30.32,248,292,849,2,0.0,2,0,0,1,0.06,1,0,0,1,0.06,0,1,0,409,22.96,322,87,3701,86,4.83,77,9,8556,142,7.97,118,24,4917,33,1.85,33,0,0,190,10.67,143,47,3043,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,yes,0,0,0,1,0,yes,0,1,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Gopichettypala,22,yes,0,0,0,1,0,0.0,601,73.73,214,26.27,128,12.17,111,10.54,600.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8901,Karukkapalayam,Perundurai,Periyar,1470,225,413,3.6,751,719,1045,141,71,70,1014,301,20.5,153,148,1034,0,0.0,0,0,0,465,34.99,315,150,2100,657,44.7,528,129,4093,410,27.9,21,389,54,403,27.4,202,201,1005,594,90.41,515,79,6519,55,8.37,6,49,122,8,1.22,7,1,7000,417,63.47,369,48,7688,177,26.94,146,31,4710,0,0.0,0,0,0,0,0.0,0,0,0,53,8.07,4,49,82,2,0.3,2,0,0,0,0.0,0,0,0,3,0.46,3,0,0,0,0.0,0,0,0,5,0.76,4,1,4000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,3,yes,0,0,0,1,0,0.0,0,0.0,579,100.0,41,6.21,34,5.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8902,Nichampalayam,Perundurai,Periyar,4105,333,1087,3.8,2075,2030,1022,400,202,198,1020,733,17.9,372,361,1030,0,0.0,0,0,0,1338,36.11,885,453,1954,2559,62.3,1448,1111,1303,29,0.7,1,28,36,1517,37.0,626,891,703,2271,88.75,1227,1044,1175,144,5.63,116,28,4143,144,5.63,105,39,2692,708,27.67,489,219,2233,1544,60.34,726,818,888,19,0.01,12,7,1714,0,0.0,0,0,0,6,0.23,3,3,1000,110,4.3,85,25,3400,28,1.09,28,0,0,46,1.8,37,9,4111,16,0.63,15,1,15000,82,3.2,53,29,1828,yes,0,4,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,3,yes,0,0,0,1,0,0.0,271,27.19,725,72.81,85,6.87,153,12.39,270.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8903,Pandiampalayam,Perundurai,Periyar,4077,428,1121,3.6,2111,1966,1074,388,235,153,1536,1299,31.9,690,609,1133,0,0.0,0,0,0,1519,41.18,1001,518,1932,2190,53.7,1435,755,1901,373,9.1,0,373,0,1514,37.1,676,838,807,1868,85.02,1183,685,1727,152,7.21,137,15,9133,170,7.76,115,55,2091,641,29.27,533,108,4935,1203,54.93,635,568,1118,18,0.01,9,9,1000,6,0.27,6,0,0,11,0.5,8,3,2667,90,4.11,80,10,8000,51,2.33,49,2,24500,39,1.78,33,6,5500,12,0.55,12,0,0,119,5.43,70,49,1429,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Perundura,14,yes,0,0,0,1,0,0.0,498,67.85,236,32.15,113,11.9,106,11.08,498.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8904,Singanallur,Perundurai,Periyar,2381,291,712,3.3,1221,1160,1053,240,127,113,1124,362,15.2,185,177,1045,0,0.0,0,0,0,894,41.76,585,309,1893,1270,53.3,836,434,1926,314,13.2,2,312,6,797,33.5,383,414,925,1165,91.73,747,418,1787,31,2.44,29,2,14500,74,5.83,60,14,4286,547,43.07,393,154,2552,613,48.27,350,263,1331,5,0.0,4,1,4000,0,0.0,0,0,0,10,0.79,8,2,4000,21,1.65,21,0,0,0,0.0,0,0,0,8,0.63,8,0,0,28,2.2,28,0,0,38,2.99,24,14,1714,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Gobichettypala,15,yes,0,0,0,1,0,0.0,238,34.25,457,65.75,51,6.23,73,8.87,237.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8905,Kovilpalayam,Perundurai,Periyar,981,797,252,3.9,519,462,1123,78,42,36,1167,228,23.2,126,102,1235,0,0.0,0,0,0,308,34.11,204,104,1962,659,67.2,388,271,1432,0,0.0,0,0,0,322,32.8,131,191,686,635,96.36,366,269,1361,16,2.43,14,2,7000,8,1.21,8,0,0,359,54.48,219,140,1564,276,41.88,147,129,1140,0,0.0,0,0,0,0,0.0,0,0,0,13,1.97,11,2,5500,3,0.46,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.3,2,0,0,6,0.91,6,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,20,yes,0,0,0,1,0,0.0,63,63.49,36,36.51,11,9.18,13,10.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86
8906,Pethampalayam,Perundurai,Periyar,5422,281,1480,3.7,2818,2604,1082,480,235,245,959,1187,21.9,616,571,1079,0,0.0,0,0,0,2176,44.03,1447,729,1985,3608,66.5,2048,1560,1313,92,1.7,8,84,95,1722,31.8,762,960,794,3228,89.47,1726,1502,1149,190,5.27,161,29,5552,190,5.27,161,29,5552,1690,46.84,968,722,1341,1531,42.43,751,780,963,7,0.0,7,0,0,0,0.0,0,0,0,67,1.86,46,21,2190,106,2.94,99,7,14143,17,0.47,16,1,16000,47,1.3,46,1,46000,26,0.72,25,1,25000,117,3.24,90,27,3333,yes,0,6,2,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,20,yes,0,0,0,1,0,0.0,782,55.91,616,44.09,340,17.66,189,9.79,410.0,0.0,0.0,0.0,0.0,0.0,0.0,371.57
8907,Pallapalayamm,Perundurai,Periyar,6336,393,1746,3.6,3247,3089,1051,620,322,298,1081,1203,19.0,610,593,1029,0,0.0,0,0,0,2425,42.42,1587,838,1894,3853,60.8,2237,1616,1384,1,0.0,0,1,0,2482,39.2,1010,1472,686,3187,82.71,1709,1478,1156,456,11.83,364,92,3957,210,5.45,164,46,3565,1202,31.2,697,505,1380,1972,51.18,1000,972,1029,13,0.0,12,1,12000,0,0.0,0,0,0,193,5.01,124,69,1797,147,3.82,141,6,23500,116,3.01,99,17,5824,59,1.53,55,4,13750,37,0.96,36,1,36000,114,2.96,73,41,1780,yes,0,6,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,12,yes,0,0,0,1,0,0.0,647,55.44,520,44.56,292,18.09,153,9.52,136.84,0.0,0.0,0.0,0.0,510.1,0.0,0.0
8908,Kanjikoil,Perundurai,Periyar,9945,556,2749,3.6,5009,4936,1015,1098,552,546,1011,2251,22.6,1139,1112,1024,44,0.4,20,24,833,4365,49.34,2720,1645,1653,5239,52.7,3281,1958,1676,164,1.6,14,150,93,4542,45.7,1714,2828,606,3560,67.91,2005,1555,1289,998,19.09,715,283,2527,681,13.0,561,120,4675,1147,21.89,808,339,2383,2391,45.64,1178,1213,971,20,0.0,18,2,9000,2,0.04,1,1,1000,405,7.73,263,142,1852,522,9.96,391,131,2985,71,1.36,61,10,6100,207,3.95,182,25,7280,113,2.16,112,1,112000,361,6.89,267,94,2840,yes,0,8,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,yes,0,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,,10,yes,0,0,0,1,0,0.0,1188,97.54,31,2.46,346,19.35,224,12.53,53.38,0.0,0.0,0.0,0.0,1135.0,0.0,0.0
8909,Olapalayam,Perundurai,Periyar,424,396,116,3.7,216,208,1038,43,22,21,1048,150,35.4,77,73,1055,0,0.0,0,0,0,196,51.44,129,67,1925,235,55.4,147,88,1670,3,0.7,0,3,0,186,43.9,69,117,590,218,92.77,135,83,1627,0,0.0,0,0,0,17,7.23,12,5,2400,103,43.83,78,25,3120,115,48.94,57,58,983,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,1.7,3,1,3000,5,2.13,5,0,0,8,3.4,4,4,1000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,13,yes,1,1,0,0,0,0.0,43,89.58,5,10.42,34,31.78,25,23.34,22.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
8910,Mullampatti,Perundurai,Periyar,1681,349,485,3.5,837,844,992,151,76,75,1013,492,29.3,242,250,968,0,0.0,0,0,0,675,44.12,418,257,1626,973,57.9,585,388,1508,46,2.7,0,46,0,662,39.4,252,410,615,846,86.95,485,361,1343,73,7.5,59,14,4214,54,5.55,41,13,3154,338,34.74,243,95,2558,507,52.11,241,266,906,1,0.0,1,0,0,0,0.0,0,0,0,24,2.47,18,6,3000,42,4.32,36,6,6000,7,0.72,5,2,2500,15,1.54,14,1,14000,9,0.92,9,0,0,30,3.08,18,12,1500,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,12,yes,1,1,0,0,0,0.0,325,95.03,17,4.97,104,21.61,35,7.31,75.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
8911,Kandampalayam,Perundurai,Periyar,667,358,195,3.4,358,309,1159,50,26,24,1083,0,0.0,0,0,0,0,0.0,0,0,0,264,42.79,180,84,2143,302,45.3,245,57,4298,4,0.6,0,4,0,361,54.1,113,248,456,203,54.97,159,44,3614,58,31.46,51,7,7286,41,13.58,35,6,5833,148,49.01,120,28,4286,14,4.64,8,6,1333,4,0.01,4,0,0,37,12.25,27,10,2700,8,2.65,3,5,600,49,16.23,47,2,23500,1,0.33,1,0,0,7,2.32,6,1,6000,12,3.97,12,0,0,22,7.28,17,5,3400,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,12,yes,1,1,0,0,0,0.0,111,76.08,35,23.92,10,5.37,30,16.1,20.0,0.0,0.0,0.0,0.0,91.34,0.0,0.0
8912,Periyavilamalai,Perundurai,Periyar,558,201,150,3.7,287,271,1059,37,17,20,850,5,0.9,4,1,4000,0,0.0,0,0,0,264,50.67,177,87,2034,403,72.2,218,185,1178,0,0.0,0,0,0,155,27.8,69,86,802,345,82.88,167,178,938,41,12.9,35,6,5833,17,4.22,16,1,16000,304,75.43,143,161,888,29,7.2,12,17,706,1,0.0,1,0,0,11,2.73,11,0,0,2,0.5,1,1,1000,31,7.69,26,5,5200,8,1.99,8,0,0,8,1.99,8,0,0,4,0.99,4,0,0,5,1.24,4,1,4000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,16,yes,0,0,0,1,0,0.0,65,28.2,166,71.8,11,3.96,36,12.97,60.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
8913,Sinnavilamalai,Perundurai,Periyar,370,599,99,3.7,191,179,1067,40,21,19,1105,104,28.1,56,48,1167,0,0.0,0,0,0,180,54.55,115,65,1769,274,74.1,141,133,1060,0,0.0,0,0,0,96,25.9,50,46,1087,249,90.88,125,124,1008,3,1.09,2,1,2000,22,8.03,14,8,1750,147,53.65,72,75,960,102,37.23,53,49,1082,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,1.09,2,1,2000,0,0.0,0,0,0,1,0.36,1,0,0,0,0.0,0,0,0,21,7.66,13,8,1625,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,14,yes,0,0,0,1,0,0.0,13,22.91,44,77.09,3,4.86,2,3.24,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8914,Thiruvachi,Perundurai,Periyar,1978,236,512,3.9,999,979,1020,193,94,99,949,535,27.0,274,261,1050,0,0.0,0,0,0,838,46.95,533,305,1748,809,40.9,660,149,4430,0,0.0,0,0,0,1169,59.1,339,830,408,625,77.26,489,136,3596,67,8.28,65,2,32500,117,14.46,106,11,9636,278,34.36,260,18,14444,345,42.65,227,118,1924,2,0.0,2,0,0,0,0.0,0,0,0,9,1.11,8,1,8000,47,5.81,46,1,46000,11,1.36,11,0,0,31,3.83,28,3,9333,33,4.08,33,0,0,53,6.55,45,8,5625,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,18,yes,0,0,0,1,0,0.0,86,13.53,551,86.47,132,15.82,68,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.18
8915,Poovampalayam,Perundurai,Periyar,619,605,166,3.7,314,305,1030,55,28,27,1037,37,6.0,20,17,1176,0,0.0,0,0,0,407,72.16,240,167,1437,355,57.4,196,159,1233,12,1.9,0,12,0,252,40.7,118,134,881,272,76.62,140,132,1061,23,6.48,17,6,2833,60,16.9,39,21,1857,113,31.83,103,10,10300,156,43.94,34,122,279,3,0.01,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,21,5.92,15,6,2500,2,0.56,2,0,0,1,0.28,1,0,0,11,3.1,11,0,0,48,13.52,27,21,1286,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Erod,15,yes,0,0,0,1,0,0.0,13,18.58,52,81.42,31,29.8,7,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.97
8916,Karumandisellipalayam,Perundurai,Periyar,15601,751,4158,3.8,8057,7544,1068,1667,853,814,1048,2144,13.7,1122,1022,1098,16,0.1,11,5,2200,9381,67.32,5631,3750,1502,5915,37.9,4873,1042,4677,1103,7.1,72,1031,70,8583,55.0,3112,5471,569,1819,30.68,1392,427,3260,1521,25.78,1260,261,4828,2575,43.53,2221,354,6274,712,12.04,612,100,6120,1051,17.77,733,318,2305,52,0.01,43,9,4778,4,0.07,4,0,0,183,3.09,137,46,2978,1049,17.73,875,174,5029,289,4.89,248,41,6049,1004,16.97,916,88,10409,505,8.54,496,9,55111,1066,18.02,809,257,3148,yes,0,9,1,1,1,1,0,0,0,1,yes,0,0,0,1,20,0,0,0,0,0,1,0,0,10,0,0,yes,0,1,1,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,,15,yes,0,0,0,1,0,0.0,109,5.84,1757,94.16,52,2.48,159,7.67,95.88,0.0,0.0,0.0,0.0,13.2,0.0,0.0
8917,Palakarai,Perundurai,Periyar,3404,453,938,3.6,1739,1665,1044,317,169,148,1142,381,11.2,194,187,1037,4,0.1,3,1,3000,1446,46.84,913,533,1713,1600,47.0,1162,438,2653,1,0.0,0,1,0,1803,53.0,577,1226,471,1045,65.31,713,332,2148,408,25.5,319,89,3584,147,9.19,130,17,7647,409,25.56,309,100,3090,607,37.94,380,227,1674,29,0.02,24,5,4800,0,0.0,0,0,0,183,11.44,123,60,2050,218,13.63,189,29,6517,7,0.44,7,0,0,84,5.25,81,3,27000,14,0.88,13,1,13000,49,3.06,36,13,2769,yes,0,4,1,1,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Kunnathu,18,yes,0,0,0,1,0,0.0,27,5.45,459,94.55,206,27.4,59,7.91,20.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0
