"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
13726,Musundapatti,Tiruppattur,Pasumpon Muthuramilinga Theva,2635,191,601,4.4,1290,1345,959,346,185,161,1149,463,17.6,221,242,913,0,0.0,0,0,0,878,38.36,584,294,1986,1100,41.7,816,284,2873,553,21.0,2,551,4,982,37.3,472,510,925,1038,94.36,768,270,2844,18,1.64,18,0,0,44,4.0,30,14,2143,526,47.82,494,32,15438,512,46.55,274,238,1151,0,0.0,0,0,0,0,0.0,0,0,0,2,0.18,2,0,0,14,1.27,14,0,0,2,0.18,2,0,0,11,1.0,8,3,2667,2,0.18,2,0,0,31,2.82,20,11,1818,yes,0,5,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ponnammaravath,10,yes,1,1,0,0,104,7.54,109,10.13,968,89.87,17,1.23,179,13.03,50.0,0.0,59.12,0.0,0.0,0.0,0.0,0.0
13727,Kulathupatti,Tiruppattur,Pasumpon Muthuramilinga Theva,1800,246,389,4.6,886,914,969,232,111,121,917,273,15.2,124,149,832,3,0.2,2,1,2000,569,36.29,379,190,1995,754,41.9,539,215,2507,355,19.7,2,353,6,691,38.4,345,346,997,687,91.11,500,187,2674,20,2.65,9,11,818,47,6.23,30,17,1765,318,42.18,304,14,21714,369,48.94,196,173,1133,0,0.0,0,0,0,0,0.0,0,0,0,17,2.25,6,11,545,3,0.4,3,0,0,0,0.0,0,0,0,12,1.59,9,3,3000,3,0.4,3,0,0,32,4.24,18,14,1286,yes,0,4,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ponnamaravath,10,yes,1,1,0,0,83,11.38,111,21.31,412,78.69,27,3.69,98,13.43,0.0,0.0,111.49,0.0,0.0,0.0,0.0,0.0
13728,Valasaippatti,Tiruppattur,Pasumpon Muthuramilinga Theva,2622,277,586,4.5,1270,1352,939,375,207,168,1232,356,13.6,175,181,967,0,0.0,0,0,0,685,30.49,461,224,2058,961,36.7,738,223,3309,618,23.6,16,602,27,1043,39.8,516,527,979,908,94.48,693,215,3223,18,1.87,18,0,0,35,3.64,27,8,3375,486,50.57,453,33,13727,421,43.81,239,182,1313,1,0.0,1,0,0,0,0.0,0,0,0,3,0.31,3,0,0,14,1.46,14,0,0,1,0.1,1,0,0,12,1.25,12,0,0,2,0.21,2,0,0,21,2.19,13,8,1625,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ponnamaravath,9,yes,1,1,0,0,100,10.53,101,15.22,564,84.78,13,1.43,168,17.72,14.0,0.0,87.31,0.0,0.0,0.0,0.0,0.0
13729,Dharmappatti,Tiruppattur,Pasumpon Muthuramilinga Theva,2657,238,539,4.9,1313,1344,977,461,235,226,1040,241,9.1,121,120,1008,0,0.0,0,0,0,997,45.4,728,269,2706,1086,40.9,776,310,2503,535,20.1,1,534,2,1036,39.0,536,500,1072,1000,92.08,705,295,2390,13,1.2,11,2,5500,73,6.72,60,13,4615,434,39.96,407,27,15074,566,52.12,298,268,1112,0,0.0,0,0,0,0,0.0,0,0,0,9,0.83,7,2,3500,2,0.18,2,0,0,2,0.18,2,0,0,28,2.58,26,2,13000,4,0.37,4,0,0,41,3.78,30,11,2727,yes,0,5,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,0,1,0,Ponnamaravath,10,yes,1,1,0,0,38,3.44,94,10.78,781,89.22,14,1.26,190,17.02,26.0,0.0,68.29,0.0,0.0,0.0,0.0,0.0
13730,Karisalpatti,Tiruppattur,Pasumpon Muthuramilinga Theva,2500,229,557,4.5,1152,1348,855,428,221,207,1068,409,16.4,181,228,794,0,0.0,0,0,0,979,47.25,603,376,1604,960,38.4,642,318,2019,458,18.3,3,455,7,1082,43.3,507,575,882,843,87.81,546,297,1838,22,2.29,22,0,0,95,9.9,74,21,3524,158,16.46,152,6,25333,683,71.15,392,291,1347,2,0.0,2,0,0,0,0.0,0,0,0,3,0.31,3,0,0,18,1.88,18,0,0,1,0.1,1,0,0,29,3.02,25,4,6250,2,0.21,2,0,0,64,6.67,47,17,2765,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Ponnamaravath,10,yes,1,1,0,0,99,9.05,155,19.71,631,80.29,6,0.53,199,18.24,11.0,0.0,143.96,0.0,0.0,0.0,0.0,0.0
13731,Kilavayal,Tiruppattur,Pasumpon Muthuramilinga Theva,1665,177,389,4.3,775,890,871,227,114,113,1009,269,16.2,136,133,1023,0,0.0,0,0,0,575,39.99,373,202,1847,599,36.0,387,212,1825,219,13.2,2,217,9,847,50.9,386,461,837,560,93.49,361,199,1814,4,0.67,4,0,0,35,5.84,22,13,1692,199,33.22,149,50,2980,361,60.27,212,149,1423,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.33,2,0,0,2,0.33,2,0,0,5,0.83,4,1,4000,3,0.5,3,0,0,27,4.51,15,12,1250,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ponnamaravath,10,yes,1,1,0,0,95,10.12,119,17.8,549,82.2,22,2.31,157,16.66,17.3,0.0,101.5,0.0,0.0,0.0,0.0,0.0
13732,Warappur,Tiruppattur,Pasumpon Muthuramilinga Theva,2600,193,544,4.8,1239,1361,910,401,193,208,928,367,14.1,175,192,911,0,0.0,0,0,0,951,43.25,589,362,1627,818,31.5,633,185,3422,208,8.0,5,203,25,1574,60.5,601,973,618,783,95.72,604,179,3374,9,1.1,9,0,0,26,3.18,20,6,3333,394,48.17,351,43,8163,386,47.19,250,136,1838,3,0.0,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,1.1,9,0,0,0,0.0,0,0,0,9,1.1,8,1,8000,1,0.12,1,0,0,16,1.96,11,5,2200,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Ponnamaravath,14,yes,1,1,0,0,183,13.53,125,13.97,770,86.03,55,4.09,217,16.07,4.19,0.0,120.91,0.0,0.0,0.0,0.0,0.0
13733,Ulagampatti,Tiruppattur,Pasumpon Muthuramilinga Theva,2871,289,720,4.0,1398,1473,949,366,201,165,1218,510,17.8,229,281,815,0,0.0,0,0,0,1166,46.55,753,413,1823,827,28.8,652,175,3726,534,18.6,101,433,233,1510,52.6,645,865,746,687,83.07,538,149,3611,27,3.26,22,5,4400,113,13.66,92,21,4381,299,36.15,268,31,8645,363,43.89,247,116,2129,25,0.03,23,2,11500,0,0.0,0,0,0,11,1.33,8,3,2667,15,1.81,13,2,6500,1,0.12,1,0,0,45,5.44,43,2,21500,7,0.85,7,0,0,61,7.38,42,19,2211,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Ponnamaravath,7,yes,1,1,0,0,76,7.63,167,22.78,566,77.22,17,1.71,167,16.79,22.0,0.0,145.07,0.0,0.0,0.0,0.0,0.0
13734,Pudur,Tiruppattur,Pasumpon Muthuramilinga Theva,1961,212,443,4.4,971,990,981,271,136,135,1007,466,23.8,246,220,1118,0,0.0,0,0,0,970,57.4,618,352,1756,590,30.1,490,100,4900,74,3.8,3,71,42,1297,66.1,478,819,584,440,74.58,361,79,4570,48,8.14,46,2,23000,102,17.29,83,19,4368,233,39.49,218,15,14533,198,33.56,135,63,2143,9,0.02,8,1,8000,0,0.0,0,0,0,14,2.37,13,1,13000,23,3.9,23,0,0,11,1.86,10,1,10000,30,5.08,30,0,0,5,0.85,5,0,0,67,11.36,48,19,2526,yes,0,4,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Ponnamaravathy,11,yes,1,1,0,0,79,8.49,127,19.12,537,80.88,46,4.93,136,14.72,22.0,0.0,105.03,0.0,0.0,0.0,0.0,0.0
13735,Chettikuruchi,Tiruppattur,Pasumpon Muthuramilinga Theva,3230,420,632,5.1,1604,1626,986,494,238,256,930,369,11.4,189,180,1050,17,0.5,9,8,1125,1342,49.05,895,447,2002,1262,39.1,907,355,2555,396,12.3,2,394,5,1572,48.7,695,877,792,1084,85.9,779,305,2554,34,2.69,28,6,4667,144,11.41,100,44,2273,301,23.85,287,14,20500,783,62.04,492,291,1691,0,0.0,0,0,0,0,0.0,0,0,0,7,0.55,3,4,750,22,1.74,20,2,10000,5,0.4,5,0,0,52,4.12,40,12,3333,5,0.4,5,0,0,87,6.89,55,32,1719,yes,0,6,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,0,1,0,Ponnamaravath,10,yes,1,1,0,0,0,0.0,65,10.38,559,89.62,1,0.17,144,18.77,16.0,0.0,48.69,0.0,0.0,0.0,0.0,0.0
13736,Piranpatti,Tiruppattur,Pasumpon Muthuramilinga Theva,4271,249,913,4.7,2109,2162,975,697,353,344,1026,180,4.2,87,93,935,8,0.2,5,3,1667,1540,43.09,1054,486,2169,1637,38.3,1169,468,2498,692,16.2,54,638,85,1942,45.5,886,1056,839,1434,87.6,1003,431,2327,60,3.67,46,14,3286,143,8.74,120,23,5217,467,28.53,451,16,28188,964,58.89,549,415,1323,3,0.0,3,0,0,0,0.0,0,0,0,8,0.49,4,4,1000,51,3.12,41,10,4100,1,0.06,1,0,0,75,4.58,74,1,74000,11,0.67,10,1,10000,57,3.48,36,21,1714,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,3,0,no,1,0,0,0,1,0,Ponnamaravath,10,yes,1,1,0,0,70,4.11,954,94.62,54,5.38,27,1.57,608,35.48,98.9,0.0,855.34,0.0,0.0,0.0,0.0,0.0
13737,Manalur,Tiruppattur,Pasumpon Muthuramilinga Theva,1871,225,429,4.4,896,975,919,220,114,106,1075,432,23.1,193,239,808,0,0.0,0,0,0,877,53.12,537,340,1579,800,42.8,545,255,2137,205,11.0,2,203,10,866,46.3,349,517,675,638,79.75,433,205,2112,44,5.5,32,12,2667,118,14.75,80,38,2105,123,15.38,98,25,3920,514,64.25,334,180,1856,1,0.0,1,0,0,0,0.0,0,0,0,18,2.25,6,12,500,20,2.5,20,0,0,6,0.75,6,0,0,51,6.38,43,8,5375,2,0.25,2,0,0,65,8.13,35,30,1167,yes,0,4,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Suigampenar,12,yes,1,1,0,0,129,15.5,159,28.31,404,71.69,19,2.26,122,14.62,25.0,0.0,134.38,0.0,0.0,0.0,0.0,0.0
13738,Neduvayal,Tiruppattur,Pasumpon Muthuramilinga Theva,2183,227,459,4.8,1052,1131,930,307,161,146,1103,1192,54.6,590,602,980,0,0.0,0,0,0,953,50.8,618,335,1845,751,34.4,563,188,2995,255,11.7,3,252,12,1177,53.9,486,691,703,723,96.27,539,184,2929,12,1.6,12,0,0,16,2.13,12,4,3000,339,45.14,314,25,12560,384,51.13,225,159,1415,0,0.0,0,0,0,0,0.0,0,0,0,1,0.13,1,0,0,10,1.33,10,0,0,1,0.13,1,0,0,3,0.4,3,0,0,1,0.13,1,0,0,12,1.6,8,4,2000,yes,0,4,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Pannamaravath,10,yes,1,1,0,0,0,0.0,305,44.66,378,55.34,10,1.08,267,27.78,30.0,0.0,274.9,0.0,0.0,0.0,0.0,0.0
13739,Manthakudipatti,Tiruppattur,Pasumpon Muthuramilinga Theva,923,154,275,3.4,461,462,998,90,55,35,1571,567,61.4,304,263,1156,0,0.0,0,0,0,309,37.09,184,125,1472,471,51.0,269,202,1332,130,14.1,0,130,0,322,34.9,192,130,1477,458,97.24,260,198,1313,1,0.21,1,0,0,12,2.55,8,4,2000,327,69.43,214,113,1894,131,27.81,46,85,541,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.21,1,0,0,0,0.0,0,0,0,4,0.85,4,0,0,0,0.0,0,0,0,8,1.7,4,4,1000,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,pannamaravath,5,yes,1,1,0,0,10,1.6,175,43.93,224,56.07,2,0.26,188,31.41,0.0,0.0,175.39,0.0,0.0,0.0,0.0,0.0
13740,Minnamalaipatti,Tiruppattur,Pasumpon Muthuramilinga Theva,2444,303,550,4.4,1180,1264,934,342,179,163,1098,378,15.5,180,198,909,0,0.0,0,0,0,1021,48.57,659,362,1820,993,40.6,737,256,2879,373,15.3,5,368,14,1078,44.1,438,640,684,951,95.77,717,234,3064,12,1.21,8,4,2000,30,3.02,12,18,667,383,38.57,368,15,24533,568,57.2,349,219,1594,0,0.0,0,0,0,0,0.0,0,0,0,4,0.4,0,4,0,8,0.81,8,0,0,0,0.0,0,0,0,8,0.81,7,1,7000,0,0.0,0,0,0,22,2.22,5,17,294,yes,0,5,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,3,0,no,1,0,0,1,0,0,Singampunar,10,yes,1,1,0,0,65,8.04,186,30.39,426,69.61,11,1.38,120,14.85,6.0,5.0,174.83,0.0,0.0,0.0,0.0,0.0
13741,Melavannariruppu,Tiruppattur,Pasumpon Muthuramilinga Theva,1430,164,332,4.3,740,690,1072,219,115,104,1106,0,0.0,0,0,0,0,0.0,0,0,0,616,50.87,455,161,2826,654,45.7,490,164,2988,243,17.0,0,243,0,533,37.3,250,283,883,637,97.4,476,161,2957,3,0.46,3,0,0,14,2.14,11,3,3667,268,40.98,264,4,66000,369,56.42,212,157,1350,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.15,1,0,0,2,0.31,2,0,0,3,0.46,3,0,0,0,0.0,0,0,0,11,1.68,8,3,2667,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,SAingampunar,10,yes,1,1,0,0,387,44.37,27,9.71,249,90.29,4,0.5,205,23.5,5.0,0.0,21.8,0.0,0.0,0.0,0.0,0.0
13742,Melapatti,Tiruppattur,Pasumpon Muthuramilinga Theva,1922,201,454,4.2,912,1010,903,289,150,139,1079,184,9.6,89,95,937,0,0.0,0,0,0,896,54.87,563,333,1691,659,34.3,484,175,2766,150,7.8,7,143,49,1113,57.9,421,692,608,575,87.25,423,152,2783,19,2.88,17,2,8500,65,9.86,44,21,2095,268,40.67,252,16,15750,305,46.28,169,136,1243,2,0.0,2,0,0,0,0.0,0,0,0,12,1.82,11,1,11000,5,0.76,4,1,4000,2,0.3,2,0,0,25,3.79,21,4,5250,6,0.91,6,0,0,34,5.16,17,17,1000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,1,no,2,0,yes,0,1,0,1,0,0,Singampunar,8,yes,1,1,0,0,452,47.28,26,6.92,353,93.08,40,4.21,85,8.85,5.0,0.0,21.24,0.0,0.0,0.0,0.0,0.0
13743,Piranmalai,Tiruppattur,Pasumpon Muthuramilinga Theva,3729,306,892,4.2,1790,1939,923,539,274,265,1034,887,23.8,447,440,1016,0,0.0,0,0,0,1702,53.35,1023,679,1507,1255,33.7,948,307,3088,210,5.6,8,202,40,2264,60.7,834,1430,583,1078,85.9,803,275,2920,48,3.82,46,2,23000,129,10.28,99,30,3300,551,43.9,454,97,4680,517,41.2,346,171,2023,10,0.01,3,7,429,0,0.0,0,0,0,32,2.55,31,1,31000,6,0.48,6,0,0,10,0.8,9,1,9000,22,1.75,21,1,21000,7,0.56,7,0,0,100,7.97,71,29,2448,yes,0,2,1,1,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,1,no,2,0,yes,0,1,0,1,0,0,,8,yes,1,1,0,0,123,10.07,232,42.51,314,57.49,301,24.73,249,20.42,22.18,0.0,210.06,0.0,0.0,0.0,0.0,0.0
13744,Sirumarudhur,Tiruppattur,Pasumpon Muthuramilinga Theva,2635,285,557,4.7,1314,1321,995,347,183,164,1116,390,14.8,193,197,980,0,0.0,0,0,0,1252,54.72,787,465,1692,825,31.3,633,192,3297,423,16.1,83,340,244,1387,52.6,598,789,758,744,90.18,572,172,3326,23,2.79,23,0,0,58,7.03,38,20,1900,355,43.03,310,45,6889,387,46.91,260,127,2047,2,0.0,2,0,0,0,0.0,0,0,0,2,0.24,2,0,0,18,2.18,18,0,0,3,0.36,3,0,0,20,2.42,20,0,0,3,0.36,3,0,0,35,4.24,15,20,750,yes,0,5,1,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,1,no,2,0,yes,0,1,0,1,0,0,Singampunar,10,yes,1,1,0,0,0,0.0,220,35.57,398,64.43,92,9.96,213,23.07,24.8,0.0,195.21,0.0,0.0,0.0,0.0,0.0
13745,Kirungakottai,Tiruppattur,Pasumpon Muthuramilinga Theva,4001,704,867,4.6,1966,2035,966,495,252,243,1037,664,16.6,332,332,1000,0,0.0,0,0,0,2068,58.98,1264,804,1572,1897,47.4,1161,736,1577,483,12.1,18,465,39,1621,40.5,787,834,944,1651,87.03,980,671,1461,124,6.54,80,44,1818,122,6.43,101,21,4810,563,29.68,455,108,4213,1087,57.3,525,562,934,1,0.0,0,1,0,0,0.0,0,0,0,34,1.79,8,26,308,55,2.9,37,18,2056,35,1.85,35,0,0,44,2.32,41,3,13667,2,0.11,2,0,0,76,4.01,58,18,3222,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,1,no,1,0,yes,0,1,0,1,0,0,Singampunar,5,yes,1,1,0,0,0,0.0,266,72.25,102,27.75,0,0.0,201,35.17,25.0,0.0,240.85,0.0,0.0,0.0,0.0,0.0
13746,Singampunari North,Tiruppattur,Pasumpon Muthuramilinga Theva,4592,257,1026,4.5,2296,2296,1000,707,304,403,754,857,18.7,406,451,900,0,0.0,0,0,0,2190,56.37,1349,841,1604,2167,47.2,1341,826,1623,336,7.3,13,323,40,2089,45.5,942,1147,821,1760,81.22,1068,692,1543,187,8.63,87,100,870,220,10.15,186,34,5471,794,36.64,534,260,2054,962,44.39,530,432,1227,4,0.0,4,0,0,0,0.0,0,0,0,12,0.55,0,12,0,157,7.25,70,87,805,18,0.83,17,1,17000,79,3.65,79,0,0,22,1.02,22,0,0,119,5.49,85,34,2500,yes,0,6,5,0,0,0,0,0,0,1,yes,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,0,yes,0,0,0,1,0,yes,0,0,0,0,1,0,0,0,0,1,1,yes,0,0,yes,0,1,0,1,0,0,Singampunar,1,yes,1,1,0,0,24,1.36,501,37.8,824,62.2,39,2.16,396,22.2,30.25,0.0,0.0,0.0,210.15,260.48,0.0,0.0
13747,Sadurvadamangalam,Tiruppattur,Pasumpon Muthuramilinga Theva,3964,235,912,4.3,2008,1956,1027,480,248,232,1069,1109,28.0,560,549,1020,0,0.0,0,0,0,2000,57.41,1255,745,1685,2097,52.9,1184,913,1297,100,2.5,0,100,0,1767,44.6,824,943,874,1843,87.84,972,871,1116,44,2.15,43,1,43000,210,10.01,169,41,4122,931,44.4,587,344,1706,905,43.16,379,526,721,6,0.0,5,1,5000,1,0.05,1,0,0,1,0.05,1,0,0,32,1.53,31,1,31000,11,0.52,11,0,0,69,3.29,64,5,12800,17,0.81,17,0,0,124,5.91,88,36,2444,yes,0,6,1,1,0,0,0,0,0,0,yes,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,1,no,2,0,yes,0,1,0,1,0,0,Singampunar,9,yes,1,1,0,0,211,12.48,385,43.34,503,56.66,228,13.52,360,21.35,14.02,0.0,371.14,0.0,0.0,0.0,0.0,0.0
