"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
11763,Indalur,Thanjavur,Thanjavur,1737,222,413,4.2,885,852,1039,211,107,104,1029,476,27.4,240,236,1017,0,0.0,0,0,0,875,57.34,493,382,1291,757,43.6,527,230,2291,0,0.0,0,0,0,980,56.4,358,622,576,681,89.96,462,219,2110,32,4.23,30,2,15000,44,5.81,35,9,3889,171,22.59,164,7,23429,509,67.24,297,212,1401,1,0.0,1,0,0,0,0.0,0,0,0,3,0.4,3,0,0,28,3.7,27,1,27000,1,0.13,0,1,0,14,1.85,14,0,0,5,0.66,5,0,0,25,3.3,16,9,1778,yes,0,2,1,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,3,0,no,1,0,0,1,0,0,Thirukattupall,8,yes,1,0,0,0,0,0.0,319,82.52,68,17.48,132,16.82,265,33.81,0.0,0.0,0.0,0.0,0.0,318.9,0.0,0.0
11764,Kadambangudi,Thanjavur,Thanjavur,1036,359,262,4.0,525,511,1027,141,63,78,808,21,2.0,11,10,1100,0,0.0,0,0,0,521,58.21,318,203,1567,606,58.5,333,273,1220,0,0.0,0,0,0,430,41.5,192,238,807,501,82.67,264,237,1114,75,12.38,50,25,2000,30,4.95,19,11,1727,69,11.39,37,32,1156,431,71.12,226,205,1102,1,0.0,1,0,0,0,0.0,0,0,0,68,11.22,44,24,1833,7,1.16,6,1,6000,0,0.0,0,0,0,7,1.16,6,1,6000,4,0.66,4,0,0,19,3.14,9,10,900,yes,0,2,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Thirukattupall,8,yes,1,0,0,0,0,0.0,148,99.07,1,0.93,1,0.26,139,48.02,0.0,0.0,0.0,0.0,0.0,147.82,0.0,0.0
11765,Sholagampatti,Thanjavur,Thanjavur,1351,155,296,4.6,668,683,978,219,98,121,810,348,25.8,167,181,923,0,0.0,0,0,0,708,62.54,435,273,1593,561,41.5,385,176,2188,0,0.0,0,0,0,790,58.5,283,507,558,526,93.76,357,169,2112,12,2.14,12,0,0,23,4.1,16,7,2286,89,15.86,79,10,7900,437,77.9,278,159,1748,0,0.0,0,0,0,0,0.0,0,0,0,4,0.71,4,0,0,7,1.25,7,0,0,1,0.18,1,0,0,5,0.89,5,0,0,5,0.89,5,0,0,13,2.32,6,7,857,yes,0,2,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,3,0,yes,0,0,1,1,0,0,tirukattupall,19,yes,1,0,0,0,0,0.0,412,99.52,2,0.48,2,0.23,458,52.36,0.0,0.0,0.0,0.0,0.0,412.48,0.0,0.0
11766,Maraneri,Thanjavur,Thanjavur,1823,427,405,4.5,914,909,1006,325,175,150,1167,397,21.8,199,198,1005,0,0.0,0,0,0,967,64.55,577,390,1479,1093,60.0,535,558,959,47,2.6,1,46,22,683,37.5,378,305,1239,972,88.93,437,535,817,36,3.29,31,5,6200,85,7.78,67,18,3722,422,38.61,208,214,972,550,50.32,229,321,713,0,0.0,0,0,0,0,0.0,0,0,0,10,0.91,7,3,2333,25,2.29,23,2,11500,1,0.09,1,0,0,35,3.2,31,4,7750,4,0.37,4,0,0,46,4.21,32,14,2286,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tirukattupall,10,yes,1,0,0,0,0,0.0,326,99.02,3,0.98,0,0.0,98,22.86,0.0,0.0,0.0,0.0,326.06,0.0,0.0,0.0
11767,Kangeyampatti,Thanjavur,Thanjavur,2201,183,470,4.7,1155,1046,1104,315,176,139,1266,752,34.2,394,358,1101,0,0.0,0,0,0,1112,58.96,711,401,1773,1149,52.2,713,436,1635,252,11.4,0,252,0,800,36.3,442,358,1235,1024,89.12,609,415,1467,42,3.66,42,0,0,83,7.22,62,21,2952,205,17.84,173,32,5406,811,70.58,429,382,1123,8,0.01,7,1,7000,0,0.0,0,0,0,1,0.09,1,0,0,31,2.7,31,0,0,10,0.87,10,0,0,13,1.13,13,0,0,13,1.13,13,0,0,57,4.96,36,21,1714,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Tirukattupall,8,yes,1,0,0,0,0,0.0,799,94.42,47,5.58,38,3.12,322,26.7,0.0,0.0,0.0,0.0,0.0,799.08,0.0,0.0
11768,Thondarayampatti,Thanjavur,Thanjavur,1060,358,256,4.1,546,514,1062,158,77,81,951,251,23.7,137,114,1202,0,0.0,0,0,0,551,61.09,341,210,1624,493,46.5,302,191,1581,0,0.0,0,0,0,567,53.5,244,323,755,455,92.29,275,180,1528,3,0.61,2,1,2000,35,7.1,25,10,2500,36,7.3,31,5,6200,419,84.99,244,175,1394,0,0.0,0,0,0,0,0.0,0,0,0,1,0.2,0,1,0,2,0.41,2,0,0,0,0.0,0,0,0,8,1.62,6,2,3000,7,1.42,5,2,2500,20,4.06,14,6,2333,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,no,1,0,0,1,0,0,Thirukattupall,7,yes,1,0,0,0,0,0.0,222,99.71,1,0.29,1,0.41,72,24.4,0.0,0.0,0.0,0.0,0.0,222.18,0.0,0.0
11769,Budalur,Thanjavur,Thanjavur,6257,756,1291,4.8,3208,3049,1052,848,461,387,1191,1456,23.3,753,703,1071,4,0.1,4,0,0,4107,75.93,2352,1755,1340,2331,37.3,1655,676,2448,22,0.4,2,20,100,3904,62.4,1551,2353,659,1362,58.43,867,495,1752,225,9.65,201,24,8375,744,31.92,587,157,3739,559,23.98,371,188,1973,793,34.02,486,307,1583,10,0.0,10,0,0,0,0.0,0,0,0,63,2.7,46,17,2706,122,5.23,117,5,23400,40,1.72,38,2,19000,314,13.47,245,69,3551,77,3.3,76,1,76000,353,15.14,266,87,3057,yes,0,3,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,yes,0,1,1,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,1,yes,0,1,1,1,0,0,Thirukattupall,5,yes,1,0,0,0,0,0.0,425,80.17,105,19.83,25,3.02,272,32.89,0.0,0.0,0.0,0.0,0.0,425.42,0.0,0.0
11770,Koilpathu,Thanjavur,Thanjavur,2260,534,562,4.0,1118,1142,979,297,139,158,880,801,35.4,397,404,983,0,0.0,0,0,0,1372,69.89,779,593,1314,996,44.1,609,387,1574,0,0.0,0,0,0,1264,55.9,509,755,674,823,82.63,467,356,1312,59,5.92,52,7,7429,114,11.45,90,24,3750,202,20.28,169,33,5121,619,62.15,296,323,916,2,0.0,2,0,0,0,0.0,0,0,0,5,0.5,2,3,667,47,4.72,43,4,10750,7,0.7,7,0,0,28,2.81,24,4,6000,15,1.51,14,1,14000,71,7.13,52,19,2737,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Thiruvaiyar,15,yes,1,0,0,0,0,0.0,197,78.16,55,21.84,0,0.0,172,40.59,0.0,0.0,0.0,0.0,0.0,196.67,0.0,0.0
11771,Sellappanpettai,Thanjavur,Thanjavur,1420,286,327,4.3,704,716,983,174,99,75,1320,79,5.6,45,34,1324,0,0.0,0,0,0,622,49.92,392,230,1704,759,53.5,449,310,1448,0,0.0,0,0,0,661,46.5,255,406,628,705,92.89,407,298,1366,17,2.24,17,0,0,37,4.87,25,12,2083,346,45.59,232,114,2035,359,47.3,175,184,951,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,17,2.24,17,0,0,0,0.0,0,0,0,12,1.58,10,2,5000,0,0.0,0,0,0,25,3.29,15,10,1500,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Thurivaiyar,15,yes,1,0,0,0,0,0.0,271,63.11,159,36.89,46,9.35,21,4.17,0.0,0.0,0.0,0.0,0.0,271.24,0.0,0.0
11772,Veeranarasanpettai,Thanjavur,Thanjavur,678,111,166,4.1,339,339,1000,85,40,45,889,380,56.0,187,193,969,0,0.0,0,0,0,365,61.55,228,137,1664,299,44.1,205,94,2181,0,0.0,0,0,0,379,55.9,134,245,547,276,92.31,184,92,2000,8,2.68,8,0,0,15,5.02,13,2,6500,121,40.47,117,4,29250,153,51.17,65,88,739,2,0.01,2,0,0,0,0.0,0,0,0,1,0.33,1,0,0,0,0.0,0,0,0,7,2.34,7,0,0,2,0.67,2,0,0,2,0.67,2,0,0,11,3.68,9,2,4500,no,2,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Thiruvaiyar,8,yes,1,0,0,0,0,0.0,214,71.68,84,28.32,87,14.3,224,36.74,0.0,0.0,0.0,0.0,0.0,213.72,0.0,0.0
11773,Avarampatti,Thanjavur,Thanjavur,2072,612,444,4.7,1023,1049,975,243,123,120,1025,485,23.4,249,236,1055,0,0.0,0,0,0,1148,62.77,683,465,1469,917,44.3,589,328,1796,0,0.0,0,0,0,1155,55.7,434,721,602,798,87.02,492,306,1608,56,6.11,44,12,3667,63,6.87,53,10,5300,254,27.7,205,49,4184,542,59.11,285,257,1109,2,0.0,2,0,0,0,0.0,0,0,0,31,3.38,19,12,1583,17,1.85,17,0,0,8,0.87,8,0,0,21,2.29,19,2,9500,3,0.33,3,0,0,39,4.25,31,8,3875,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,1,0,0,Tanjavu,24,yes,1,0,0,0,0,0.0,181,90.89,18,9.11,56,16.44,83,24.62,0.0,0.0,0.0,0.0,0.0,181.36,0.0,0.0
11774,Nandavanapatti,Thanjavur,Thanjavur,1081,138,357,3.0,544,537,1013,138,73,65,1123,376,34.8,190,186,1022,0,0.0,0,0,0,603,63.94,358,245,1461,473,43.8,268,205,1307,73,6.8,61,12,5083,535,49.5,215,320,672,435,91.97,235,200,1175,8,1.69,8,0,0,30,6.34,25,5,5000,51,10.78,47,4,11750,384,81.18,188,196,959,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.27,6,0,0,2,0.42,2,0,0,18,3.81,16,2,8000,2,0.42,2,0,0,10,2.11,7,3,2333,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tanjavu,32,yes,1,0,0,0,0,0.0,338,94.96,18,5.04,87,11.14,342,43.53,0.0,0.0,0.0,0.0,0.0,337.85,0.0,0.0
11775,Muthuveerakandiampatti,Thanjavur,Thanjavur,659,171,166,4.0,335,324,1034,94,46,48,958,182,27.6,98,84,1167,0,0.0,0,0,0,363,64.25,221,142,1556,242,36.7,201,41,4902,0,0.0,0,0,0,417,63.3,134,283,473,208,85.95,172,36,4778,4,1.65,2,2,1000,30,12.4,27,3,9000,166,68.6,159,7,22714,42,17.36,13,29,448,0,0.0,0,0,0,0,0.0,0,0,0,2,0.83,0,2,0,1,0.41,1,0,0,1,0.41,1,0,0,9,3.72,9,0,0,1,0.41,1,0,0,20,8.26,17,3,5667,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Tanjavu,30,yes,1,0,0,0,0,0.0,152,99.97,0,0.03,9,2.29,225,58.31,0.0,0.0,0.0,0.0,0.0,152.06,0.0,0.0
11776,Vendayampatti,Thanjavur,Thanjavur,2483,253,549,4.5,1258,1225,1027,340,175,165,1061,592,23.8,298,294,1014,0,0.0,0,0,0,981,45.78,638,343,1860,969,39.0,736,233,3159,39,1.6,8,31,258,1475,59.4,514,961,535,867,89.47,662,205,3229,25,2.58,25,0,0,77,7.95,49,28,1750,260,26.83,240,20,12000,604,62.33,419,185,2265,3,0.0,3,0,0,0,0.0,0,0,0,2,0.21,2,0,0,21,2.17,21,0,0,2,0.21,2,0,0,25,2.58,18,7,2571,5,0.52,3,2,1500,47,4.85,28,19,1474,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,no,1,0,0,1,0,0,Tanjavu,29,yes,1,0,0,0,0,0.0,263,56.02,206,43.98,205,20.92,307,31.3,0.0,0.0,0.0,0.0,0.0,262.59,0.0,0.0
11777,Surakudipatti,Thanjavur,Thanjavur,723,123,168,4.3,362,361,1003,101,41,60,683,273,37.8,139,134,1037,0,0.0,0,0,0,349,56.11,228,121,1884,306,42.3,189,117,1615,0,0.0,0,0,0,417,57.7,173,244,709,289,94.44,173,116,1491,2,0.65,2,0,0,15,4.9,14,1,14000,29,9.48,26,3,8667,260,84.97,147,113,1301,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.33,1,0,0,1,0.33,1,0,0,5,1.63,5,0,0,1,0.33,1,0,0,9,2.94,8,1,8000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,no,2,1,0,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Tanjavu,29,yes,1,0,0,0,0,0.0,180,78.27,50,21.73,87,14.83,272,46.13,0.0,0.0,0.0,0.0,0.0,180.06,0.0,0.0
11778,Rayamungampatti,Thanjavur,Thanjavur,233,25,50,4.7,117,116,1009,38,21,17,1235,132,56.7,63,69,913,0,0.0,0,0,0,98,50.26,63,35,1800,98,42.1,64,34,1882,20,8.6,2,18,111,115,49.4,51,64,797,91,92.86,58,33,1758,2,2.04,1,1,1000,5,5.1,5,0,0,23,23.47,23,0,0,68,69.39,35,33,1061,0,0.0,0,0,0,0,0.0,0,0,0,2,2.04,1,1,1000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,5.1,5,0,0,yes,0,2,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tanjavu,31,yes,1,0,0,0,0,0.0,363,90.3,39,9.7,172,18.55,354,38.09,0.0,0.0,0.0,0.0,0.0,363.39,0.0,0.0
11779,Pudukudi North,Thanjavur,Thanjavur,3189,265,700,4.6,1612,1577,1022,455,243,212,1146,851,26.7,437,414,1056,0,0.0,0,0,0,1592,58.23,977,615,1589,1279,40.1,937,342,2740,0,0.0,0,0,0,1910,59.9,675,1235,547,1112,86.79,805,307,2622,61,4.93,45,16,2813,106,8.29,87,19,4579,416,32.53,384,32,12000,691,54.03,416,275,1513,3,0.0,3,0,0,2,0.16,2,0,0,27,2.11,13,14,929,33,2.58,31,2,15500,1,0.08,1,0,0,40,3.13,28,12,2333,4,0.31,4,0,0,62,4.85,55,7,7857,yes,0,2,1,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tanjavu,25,yes,1,0,0,0,30,2.53,358,79.55,92,20.45,342,28.44,381,31.61,0.0,0.0,0.0,0.0,0.0,358.35,0.0,0.0
11780,Manaiyeripatti,Thanjavur,Thanjavur,2142,370,511,4.2,1184,958,1236,297,152,145,1048,959,44.8,507,452,1122,0,0.0,0,0,0,1148,62.22,774,374,2070,514,24.0,504,10,50400,126,5.9,0,126,0,1502,70.1,680,822,827,464,90.27,462,2,231000,7,1.36,7,0,0,43,8.37,35,8,4375,195,37.94,193,2,96500,269,52.33,269,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.17,6,0,0,1,0.19,1,0,0,4,0.78,4,0,0,5,0.97,4,1,4000,34,6.61,27,7,3857,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tanjavu,25,yes,1,0,0,0,0,0.0,211,94.77,12,5.23,122,21.01,235,40.56,0.0,0.0,0.0,0.0,0.0,210.76,0.0,0.0
11781,Sanporapatti,Thanjavur,Thanjavur,2478,265,498,5.0,1232,1246,989,299,134,165,812,686,27.7,357,329,1085,0,0.0,0,0,0,1283,58.88,775,508,1526,843,34.0,631,212,2976,178,7.2,2,176,11,1457,58.8,599,858,698,692,82.09,503,189,2661,38,4.51,32,6,5333,113,13.4,96,17,5647,237,28.11,210,27,7778,452,53.62,290,162,1790,3,0.0,3,0,0,0,0.0,0,0,0,8,0.95,4,4,1000,19,2.25,17,2,8500,11,1.3,11,0,0,53,6.29,51,2,25500,8,0.95,8,0,0,52,6.17,37,15,2467,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Tanjavu,23,yes,1,0,0,0,0,0.0,390,84.38,72,15.62,0,0.0,473,50.6,0.0,0.0,0.0,0.0,0.0,389.54,0.0,0.0
11782,Pudupatti,Thanjavur,Thanjavur,1521,178,315,4.8,788,733,1075,193,97,96,1010,70,4.6,35,35,1000,0,0.0,0,0,0,811,61.07,505,306,1650,576,37.9,504,72,7000,411,27.0,15,396,38,534,35.1,269,265,1015,482,83.68,429,53,8094,22,3.82,21,1,21000,72,12.5,54,18,3000,427,74.13,379,48,7896,53,9.2,48,5,9600,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,20,3.47,19,1,19000,2,0.35,2,0,0,11,1.91,11,0,0,8,1.39,8,0,0,53,9.2,35,18,1944,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tanjavu,20,yes,1,0,0,0,0,0.0,184,34.22,353,65.78,139,16.26,180,21.02,0.0,0.0,0.0,0.0,0.0,183.92,0.0,0.0
11783,Sengipatti,Thanjavur,Thanjavur,3432,199,792,4.3,1730,1702,1016,496,245,251,976,1540,44.9,747,793,942,0,0.0,0,0,0,1509,51.4,961,548,1754,1566,45.6,1002,564,1777,203,5.9,0,203,0,1663,48.5,728,935,779,1347,86.02,835,512,1631,32,2.04,31,1,31000,187,11.94,136,51,2667,495,31.61,419,76,5513,846,54.02,411,435,945,6,0.0,5,1,5000,0,0.0,0,0,0,0,0.0,0,0,0,22,1.4,21,1,21000,10,0.64,10,0,0,18,1.15,18,0,0,10,0.64,9,1,9000,159,10.15,109,50,2180,yes,0,4,1,1,0,0,0,0,0,0,yes,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Tanjavu,18,yes,1,0,0,0,0,0.0,127,22.9,428,77.1,76,4.39,1091,63.37,0.0,0.0,127.07,0.0,0.0,0.0,0.0,0.0
11784,Palaiyapatti Therkkusethi,Thanjavur,Thanjavur,1570,120,344,4.6,806,764,1055,180,97,83,1169,341,21.7,177,164,1079,0,0.0,0,0,0,457,32.88,295,162,1821,721,45.9,508,213,2385,0,0.0,0,0,0,849,54.1,298,551,541,682,94.59,473,209,2263,14,1.94,14,0,0,25,3.47,21,4,5250,241,33.43,201,40,5025,441,61.17,272,169,1609,0,0.0,0,0,0,0,0.0,0,0,0,5,0.69,5,0,0,9,1.25,9,0,0,0,0.0,0,0,0,4,0.55,3,1,3000,4,0.55,4,0,0,17,2.36,14,3,4667,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Tanjavu,22,yes,1,0,0,0,0,0.0,73,22.55,249,77.45,110,8.38,877,67.01,0.0,0.0,0.0,72.59,0.0,0.0,0.0,0.0
