"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
11848,Kurumudukku Thattimal Padugai,Valangaiman,Thanjavur,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,78.12,0,21.88,0,24.88,0,0.0,0.0,0.0,0.0,0.0,0.0,33.06,0.0,0.0
11849,Ukkadai,Valangaiman,Thanjavur,1945,516,476,4.1,968,977,991,287,139,148,939,841,43.2,415,426,974,8,0.4,2,6,333,818,49.34,493,325,1517,828,42.6,602,226,2664,160,8.2,6,154,39,957,49.2,360,597,603,644,77.78,448,196,2286,47,5.68,30,17,1765,137,16.55,124,13,9538,76,9.18,73,3,24333,564,68.12,371,193,1922,4,0.0,4,0,0,0,0.0,0,0,0,44,5.31,27,17,1588,3,0.36,3,0,0,0,0.0,0,0,0,77,9.3,71,6,11833,10,1.21,10,0,0,50,6.04,43,7,6143,yes,0,1,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Thanjavu,29,yes,0,0,0,1,0,0.0,222,64.64,121,35.36,34,8.96,0,0.0,0.0,0.0,0.0,0.0,0.0,221.93,0.0,0.0
11850,Neduvasal,Valangaiman,Thanjavur,1483,312,362,4.1,724,759,954,197,84,113,743,463,31.2,237,226,1049,0,0.0,0,0,0,774,60.19,467,307,1521,533,35.9,433,100,4330,73,4.9,0,73,0,877,59.1,291,586,497,417,78.24,332,85,3906,22,4.13,21,1,21000,94,17.64,80,14,5714,78,14.63,75,3,25000,339,63.6,257,82,3134,0,0.0,0,0,0,0,0.0,0,0,0,2,0.38,2,0,0,11,2.06,10,1,10000,9,1.69,9,0,0,43,8.07,42,1,42000,5,0.94,5,0,0,46,8.63,33,13,2538,yes,0,3,2,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,[CThanjavur,26,yes,0,0,0,1,0,0.0,276,68.39,128,31.61,71,14.97,0,0.0,0.0,0.0,0.0,0.0,0.0,276.15,0.0,0.0
11851,Mahimalai,Valangaiman,Thanjavur,1102,340,246,4.5,540,562,961,174,73,101,723,455,41.3,220,235,936,8,0.7,4,4,1000,528,56.9,325,203,1601,492,44.6,333,159,2094,6,0.5,1,5,200,604,54.8,206,398,518,429,87.2,284,145,1959,24,4.88,15,9,1667,39,7.93,34,5,6800,85,17.28,84,1,84000,344,69.92,200,144,1389,0,0.0,0,0,0,0,0.0,0,0,0,1,0.2,1,0,0,21,4.27,12,9,1333,2,0.41,2,0,0,26,5.28,23,3,7667,6,1.22,6,0,0,7,1.42,5,2,2500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Thanjavu,31,yes,0,0,0,1,0,0.0,174,60.21,115,39.79,34,10.64,0,0.0,0.0,0.0,0.0,0.0,0.0,174.21,0.0,0.0
11852,Mahimalai Bit,Valangaiman,Thanjavur,314,4801,78,4.0,171,143,1196,65,39,26,1500,222,70.7,122,100,1220,0,0.0,0,0,0,80,32.13,55,25,2200,142,45.2,97,45,2156,16,5.1,0,16,0,156,49.7,74,82,902,140,98.59,95,45,2111,0,0.0,0,0,0,2,1.41,2,0,0,1,0.7,1,0,0,136,95.77,91,45,2022,3,0.02,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.7,1,0,0,1,0.7,1,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,2,0,0,0,1,0,Thanjavu,31,yes,0,0,0,1,0,0.0,4,100.0,0,0.0,2,36.7,0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,0.0
11853,Deepambalpuram,Valangaiman,Thanjavur,618,276,145,4.3,308,310,994,103,49,54,907,184,29.8,89,95,937,0,0.0,0,0,0,285,55.34,159,126,1262,247,40.0,155,92,1685,1,0.2,1,0,0,370,59.9,152,218,697,207,83.81,123,84,1464,18,7.29,11,7,1571,22,8.91,21,1,21000,19,7.69,17,2,8500,186,75.3,104,82,1268,2,0.01,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,1.62,4,0,0,14,5.67,7,7,1000,3,1.21,3,0,0,0,0.0,0,0,0,19,7.69,18,1,18000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Thanjavu,32,yes,0,0,0,1,0,0.0,152,69.07,68,30.93,4,1.83,0,0.0,0.0,0.0,0.0,0.0,0.0,151.89,0.0,0.0
11854,Neikunnam,Valangaiman,Thanjavur,1209,332,269,4.5,605,604,1002,219,110,109,1009,346,28.6,174,172,1012,0,0.0,0,0,0,468,47.27,304,164,1854,442,36.6,371,71,5225,189,15.6,2,187,11,578,47.8,232,346,671,419,94.8,357,62,5758,2,0.45,2,0,0,21,4.75,12,9,1333,262,59.28,257,5,51400,156,35.29,99,57,1737,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.23,1,0,0,1,0.23,1,0,0,2,0.45,2,0,0,4,0.9,4,0,0,15,3.39,6,9,667,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,2,0,0,0,1,0,Thanjavu,34,yes,0,0,0,1,0,0.0,204,65.39,108,34.61,52,14.18,0,0.0,0.0,0.0,0.0,0.0,0.0,204.33,0.0,0.0
11855,Keelakoil Pathu,Valangaiman,Thanjavur,2187,362,501,4.4,1094,1093,1001,334,182,152,1197,772,35.3,394,378,1042,0,0.0,0,0,0,960,51.81,509,451,1129,1007,46.0,665,342,1944,66,3.0,0,66,0,1114,50.9,429,685,626,876,86.99,553,323,1712,31,3.08,23,8,2875,100,9.93,89,11,8091,147,14.6,114,33,3455,726,72.1,436,290,1503,3,0.0,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,27,2.68,20,7,2857,4,0.4,3,1,3000,31,3.08,28,3,9333,19,1.89,19,0,0,50,4.97,42,8,5250,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Thanjavu,24,yes,0,0,0,1,0,0.0,425,72.7,160,27.3,19,3.09,0,0.0,0.0,0.0,0.0,0.0,0.0,425.28,0.0,0.0
11856,Vadapathy,Valangaiman,Thanjavur,1559,195,354,4.4,780,779,1001,214,96,118,814,283,18.2,141,142,993,0,0.0,0,0,0,885,65.8,548,337,1626,507,32.5,456,51,8941,1,0.1,0,1,0,1051,67.4,324,727,446,390,76.92,353,37,9541,37,7.3,34,3,11333,80,15.78,69,11,6273,194,38.26,187,7,26714,196,38.66,166,30,5533,0,0.0,0,0,0,0,0.0,0,0,0,9,1.78,9,0,0,14,2.76,11,3,3667,14,2.76,14,0,0,30,5.92,30,0,0,10,1.97,10,0,0,40,7.89,29,11,2636,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,1,1,0,0,Thanjavu,24,yes,0,0,0,1,0,0.0,548,74.38,189,25.62,64,8.02,0,0.0,0.0,0.0,0.0,0.0,0.0,547.59,0.0,0.0
11857,Puliyakudi,Valangaiman,Thanjavur,1853,364,489,3.8,939,914,1027,291,147,144,1021,274,14.8,151,123,1228,0,0.0,0,0,0,572,36.62,395,177,2232,909,49.1,581,328,1771,103,5.6,5,98,51,841,45.4,353,488,723,872,95.93,546,326,1675,7,0.77,6,1,6000,30,3.3,29,1,29000,131,14.41,123,8,15375,741,81.52,423,318,1330,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,7,0.77,6,1,6000,0,0.0,0,0,0,9,0.99,9,0,0,6,0.66,6,0,0,15,1.65,14,1,14000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Thanjavu,35,yes,0,0,0,1,0,0.0,357,77.71,102,22.29,50,9.76,0,0.0,0.0,0.0,0.0,0.0,0.0,356.67,0.0,0.0
11858,Puliyakudi,Valangaiman,Thanjavur,2301,349,587,3.9,1150,1151,999,321,166,155,1071,383,16.6,202,181,1116,0,0.0,0,0,0,1077,54.39,658,419,1570,1467,63.8,769,698,1102,1,0.0,0,1,0,833,36.2,381,452,843,1438,98.02,749,689,1087,3,0.2,2,1,2000,26,1.77,18,8,2250,737,50.24,413,324,1275,701,47.78,336,365,921,0,0.0,0,0,0,0,0.0,0,0,0,1,0.07,0,1,0,1,0.07,1,0,0,1,0.07,1,0,0,11,0.75,6,5,1200,0,0.0,0,0,0,15,1.02,12,3,4000,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Thanjavu,35,yes,0,0,0,1,0,0.0,437,80.92,103,19.08,119,18.05,0,0.0,0.0,0.0,0.0,0.0,0.0,436.97,0.0,0.0
11859,Arundavapuram I,Valangaiman,Thanjavur,2452,570,596,4.1,1284,1168,1099,338,163,175,931,722,29.4,370,352,1051,0,0.0,0,0,0,1143,54.07,747,396,1886,803,32.7,765,38,20132,146,6.0,1,145,7,1503,61.3,518,985,526,706,87.92,675,31,21774,17,2.12,17,0,0,80,9.96,73,7,10429,335,41.72,330,5,66000,371,46.2,345,26,13269,0,0.0,0,0,0,0,0.0,0,0,0,3,0.37,3,0,0,13,1.62,13,0,0,1,0.12,1,0,0,30,3.74,30,0,0,7,0.87,7,0,0,43,5.35,36,7,5143,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Thanjavu,34,yes,0,0,0,1,0,0.0,226,62.92,133,37.08,72,16.7,0,0.0,0.0,0.0,0.0,0.0,0.0,225.55,0.0,0.0
11860,Arundavapuram II,Valangaiman,Thanjavur,2541,513,622,4.1,1258,1283,981,349,167,182,918,182,7.2,90,92,978,0,0.0,0,0,0,986,44.98,629,357,1762,897,35.3,821,76,10803,277,10.9,13,264,49,1367,53.8,424,943,450,806,89.86,735,71,10352,19,2.12,19,0,0,72,8.03,67,5,13400,79,8.81,79,0,0,727,81.05,656,71,9239,0,0.0,0,0,0,0,0.0,0,0,0,14,1.56,14,0,0,4,0.45,4,0,0,1,0.11,1,0,0,30,3.34,30,0,0,0,0.0,0,0,0,42,4.68,37,5,7400,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Thanjavu,34,yes,0,0,0,1,0,0.0,272,69.06,122,30.94,102,20.53,0,0.0,0.0,0.0,0.0,0.0,0.0,271.68,0.0,0.0
11861,Kambayanatham,Valangaiman,Thanjavur,2206,389,510,4.3,1136,1070,1062,338,168,170,988,549,24.9,286,263,1087,0,0.0,0,0,0,977,52.3,632,345,1832,805,36.5,689,116,5940,204,9.2,2,202,10,1197,54.3,445,752,592,710,88.2,611,99,6172,45,5.59,36,9,4000,50,6.21,42,8,5250,321,39.88,307,14,21929,384,47.7,299,85,3518,5,0.01,5,0,0,0,0.0,0,0,0,38,4.72,29,9,3222,6,0.75,6,0,0,1,0.12,1,0,0,21,2.61,19,2,9500,10,1.24,10,0,0,19,2.36,13,6,2167,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,2,0,0,1,0,0,Thanjavu,36,yes,0,0,0,1,0,0.0,347,75.28,114,24.72,105,18.56,0,0.0,0.0,0.0,0.0,0.0,0.0,347.31,0.0,0.0
11862,Sooliyakottai (Kambayanatham),Valangaiman,Thanjavur,2039,477,473,4.3,1013,1026,987,295,146,149,980,264,12.9,135,129,1047,0,0.0,0,0,0,777,44.55,466,311,1498,957,46.9,635,322,1972,24,1.2,4,20,200,1058,51.9,374,684,547,852,88.92,544,308,1766,20,2.19,19,1,19000,85,8.88,72,13,5538,244,25.5,228,16,14250,607,63.43,315,292,1079,0,0.0,0,0,0,1,0.1,1,0,0,2,0.21,1,1,1000,15,1.57,15,0,0,3,0.31,3,0,0,20,2.09,19,1,19000,8,0.84,8,0,0,57,5.96,45,12,3750,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,2,0,0,0,1,0,Thanjavu,29,yes,0,0,0,1,0,0.0,259,100.0,0,0.0,168,39.36,0,0.0,0.0,0.0,0.0,0.0,0.0,258.92,0.0,0.0
11863,Renganathapuram,Valangaiman,Thanjavur,665,599,142,4.7,350,315,1111,112,58,54,1074,167,25.1,87,80,1088,0,0.0,0,0,0,305,55.15,187,118,1585,253,38.0,190,63,3016,0,0.0,0,0,0,412,62.0,160,252,635,237,93.68,179,58,3086,3,1.19,2,1,2000,13,5.14,9,4,2250,27,10.67,27,0,0,205,81.03,147,58,2534,5,0.02,5,0,0,0,0.0,0,0,0,1,0.4,0,1,0,2,0.79,2,0,0,0,0.0,0,0,0,8,3.16,6,2,3000,0,0.0,0,0,0,5,1.98,3,2,1500,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kumbakona,11,yes,0,0,0,1,0,0.0,83,79.86,21,20.14,7,6.3,0,0.0,0.0,0.0,0.0,0.0,0.0,83.08,0.0,0.0
11864,Inamkiliyur,Valangaiman,Thanjavur,1316,601,125,10.5,625,691,904,178,90,88,1023,638,48.5,306,332,922,0,0.0,0,0,0,507,44.55,288,219,1315,504,38.3,395,109,3624,165,12.5,0,165,0,647,49.2,230,417,552,449,89.09,347,102,3402,5,0.99,5,0,0,50,9.92,43,7,6143,34,6.75,33,1,33000,410,81.35,309,101,3059,5,0.01,5,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.79,4,0,0,1,0.2,1,0,0,24,4.76,24,0,0,6,1.19,6,0,0,20,3.97,13,7,1857,yes,0,0,0,0,0,0,0,0,0,1,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kumbakona,10,yes,0,0,0,1,0,0.0,173,86.51,27,13.49,18,8.41,0,0.0,0.0,0.0,0.0,0.0,0.0,173.46,0.0,0.0
11865,Kiliyur,Valangaiman,Thanjavur,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,55.13,0,44.87,0,25.71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0
11866,Govindakudi,Valangaiman,Thanjavur,4588,1171,949,4.8,2290,2298,997,624,323,301,1073,763,16.6,386,377,1024,0,0.0,0,0,0,2823,71.22,1529,1294,1182,1258,27.4,1182,76,15553,443,9.7,109,334,326,2887,62.9,999,1888,529,976,77.58,923,53,17415,94,7.47,89,5,17800,188,14.94,170,18,9444,498,39.59,476,22,21636,477,37.92,446,31,14387,1,0.0,1,0,0,0,0.0,0,0,0,60,4.77,58,2,29000,28,2.23,25,3,8333,6,0.48,6,0,0,51,4.05,50,1,50000,24,1.91,24,0,0,113,8.98,96,17,5647,yes,0,1,1,1,1,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kumbakona,9,yes,0,0,0,1,0,0.0,267,70.72,111,29.28,14,3.61,0,0.0,0.0,0.0,0.0,0.0,0.0,267.01,0.0,0.0
11867,Singarambalayam,Valangaiman,Thanjavur,10,22,2,5.0,5,5,1000,2,1,1,1000,0,0.0,0,0,0,0,0.0,0,0,0,5,62.5,2,3,667,2,20.0,2,0,0,2,20.0,0,2,0,6,60.0,3,3,1000,2,100.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,100.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kumbakona,9,yes,0,0,0,1,0,0.0,35,77.34,10,22.66,1,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,34.99,0.0,0.0
11868,Variyamgarambai,Valangaiman,Thanjavur,48,59,9,5.3,26,22,1182,15,7,8,875,48,100.0,26,22,1182,0,0.0,0,0,0,14,42.42,9,5,1800,14,29.2,14,0,0,12,25.0,0,12,0,22,45.8,12,10,1200,14,100.0,14,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,14,100.0,14,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Kumbakona,12,yes,0,0,0,1,0,0.0,73,91.56,7,8.44,1,1.39,0,0.0,0.0,0.0,0.0,0.0,0.0,72.89,0.0,0.0
11869,Chandrasekarapuram,Valangaiman,Thanjavur,1885,627,421,4.5,940,945,995,252,127,125,1016,448,23.8,224,224,1000,0,0.0,0,0,0,1123,68.77,671,452,1485,727,38.6,546,181,3017,15,0.8,5,10,500,1143,60.6,389,754,516,538,74.0,381,157,2427,51,7.02,47,4,11750,138,18.98,118,20,5900,74,10.18,71,3,23667,464,63.82,310,154,2013,0,0.0,0,0,0,0,0.0,0,0,0,21,2.89,18,3,6000,26,3.58,25,1,25000,4,0.55,4,0,0,55,7.57,50,5,10000,9,1.24,9,0,0,74,10.18,59,15,3933,yes,0,1,1,1,1,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kumbakona,10,yes,0,0,0,1,0,0.0,243,90.63,25,9.37,32,10.65,0,0.0,0.0,0.0,0.0,0.0,0.0,243.45,0.0,0.0
