"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
11238,Kondathur,Tharangampadi,Thanjavur,2132,456,496,4.3,1082,1050,1030,367,192,175,1097,1107,51.9,553,554,998,0,0.0,0,0,0,1068,60.51,647,421,1537,1197,56.1,676,521,1298,79,3.7,3,76,39,856,40.2,403,453,890,1047,87.47,567,480,1181,57,4.76,42,15,2800,93,7.77,67,26,2577,243,20.3,156,87,1793,802,67.0,409,393,1041,2,0.0,2,0,0,0,0.0,0,0,0,29,2.42,16,13,1231,24,2.01,22,2,11000,4,0.33,4,0,0,26,2.17,21,5,4200,9,0.75,9,0,0,58,4.85,37,21,1762,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Mayiladuthura,14,yes,0,0,0,1,0,0.0,354,88.72,45,11.28,18,3.74,51,10.91,0.0,0.0,0.0,0.0,354.0,0.0,0.0,0.0
11239,Pagasalai,Tharangampadi,Thanjavur,1820,377,422,4.3,926,894,1036,259,121,138,877,922,50.7,470,452,1040,0,0.0,0,0,0,1080,69.19,673,407,1654,880,48.4,568,312,1821,273,15.0,8,265,30,667,36.6,350,317,1104,803,91.25,503,300,1677,14,1.59,14,0,0,63,7.16,51,12,4250,122,13.86,117,5,23400,678,77.05,383,295,1298,3,0.0,3,0,0,0,0.0,0,0,0,5,0.57,5,0,0,8,0.91,8,0,0,1,0.11,1,0,0,16,1.82,16,0,0,7,0.8,6,1,6000,40,4.55,29,11,2636,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,1,0,0,0,0,0,no,2,0,yes,0,1,0,0,1,0,Mayiladuthura,16,yes,0,0,0,1,0,0.0,243,58.84,170,41.16,26,5.47,43,8.91,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0
11240,semangalam,Tharangampadi,Thanjavur,2092,350,511,4.1,1083,1009,1073,325,162,163,994,1058,50.6,538,520,1035,0,0.0,0,0,0,942,53.31,606,336,1804,717,34.3,645,72,8958,215,10.3,21,194,108,1160,55.4,417,743,561,694,96.79,628,66,9515,3,0.42,3,0,0,20,2.79,14,6,2333,175,24.41,171,4,42750,519,72.38,457,62,7371,0,0.0,0,0,0,0,0.0,0,0,0,2,0.28,2,0,0,1,0.14,1,0,0,0,0.0,0,0,0,2,0.28,2,0,0,0,0.0,0,0,0,18,2.51,12,6,2000,yes,0,2,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Mayiladuthura,11,yes,0,0,0,1,0,0.0,288,56.25,224,43.75,20,3.41,66,11.03,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0
11241,Alaveli,Tharangampadi,Thanjavur,1277,492,296,4.3,649,628,1033,207,93,114,816,497,38.9,273,224,1219,0,0.0,0,0,0,596,55.7,390,206,1893,450,35.2,367,83,4422,76,6.0,3,73,41,751,58.8,279,472,591,408,90.67,328,80,4100,11,2.44,11,0,0,31,6.89,28,3,9333,144,32.0,142,2,71000,264,58.67,186,78,2385,0,0.0,0,0,0,0,0.0,0,0,0,1,0.22,1,0,0,8,1.78,8,0,0,2,0.44,2,0,0,8,1.78,8,0,0,3,0.67,3,0,0,20,4.44,17,3,5667,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Mayiladuthura,11,yes,0,0,0,1,0,0.0,198,94.74,11,5.26,8,2.95,43,16.56,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0
11242,Natham,Tharangampadi,Thanjavur,1719,476,429,4.0,882,837,1054,260,140,120,1167,448,26.1,218,230,948,0,0.0,0,0,0,988,67.72,594,394,1508,725,42.2,524,201,2607,233,13.6,26,207,126,761,44.3,332,429,774,632,87.17,442,190,2326,26,3.59,24,2,12000,67,9.24,58,9,6444,193,26.62,171,22,7773,438,60.41,270,168,1607,1,0.0,1,0,0,0,0.0,0,0,0,8,1.1,7,1,7000,14,1.93,13,1,13000,4,0.55,4,0,0,17,2.34,17,0,0,5,0.69,5,0,0,45,6.21,36,9,4000,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,15,yes,0,0,0,1,0,0.0,193,63.28,112,36.72,4,1.09,52,14.41,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0
11243,Kanjanagaram,Tharangampadi,Thanjavur,3025,637,682,4.4,1529,1496,1022,471,236,235,1004,539,17.8,270,269,1004,0,0.0,0,0,0,1332,52.15,875,457,1915,1206,39.9,845,361,2341,130,4.3,24,106,226,1689,55.8,660,1029,641,928,76.95,606,322,1882,88,7.3,77,11,7000,190,15.75,162,28,5786,135,11.19,133,2,66500,783,64.93,463,320,1447,10,0.01,10,0,0,0,0.0,0,0,0,17,1.41,13,4,3250,50,4.15,43,7,6143,21,1.74,21,0,0,116,9.62,102,14,7286,13,1.08,13,0,0,61,5.06,47,14,3357,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,1,0,Mayiladuthura,8,yes,0,0,0,1,0,0.0,310,85.78,51,14.22,41,8.63,73,15.37,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0
11244,Melaiyur,Tharangampadi,Thanjavur,1739,719,404,4.3,867,872,994,277,133,144,924,596,34.3,301,295,1020,0,0.0,0,0,0,798,54.58,498,300,1660,825,47.4,529,296,1787,2,0.1,0,2,0,912,52.4,338,574,589,684,82.91,407,277,1469,41,4.97,39,2,19500,100,12.12,83,17,4882,63,7.64,63,0,0,615,74.55,338,277,1220,6,0.01,6,0,0,0,0.0,0,0,0,3,0.36,1,2,500,18,2.18,18,0,0,20,2.42,20,0,0,36,4.36,33,3,11000,13,1.58,13,0,0,51,6.18,37,14,2643,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,1,0,Mayiladuthurai,7,yes,0,0,0,1,0,0.0,169,84.92,30,15.08,7,2.84,36,14.88,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0
11245,Karuvalakarai,Tharangampadi,Thanjavur,2181,603,522,4.2,1098,1083,1014,260,130,130,1000,785,36.0,395,390,1013,0,0.0,0,0,0,1390,72.36,855,535,1598,953,43.7,639,314,2035,1,0.0,0,1,0,1227,56.3,459,768,598,762,79.96,472,290,1628,60,6.3,54,6,9000,131,13.75,113,18,6278,83,8.71,80,3,26667,676,70.93,389,287,1355,3,0.0,3,0,0,0,0.0,0,0,0,7,0.73,1,6,167,34,3.57,34,0,0,19,1.99,19,0,0,51,5.35,49,2,24500,18,1.89,18,0,0,62,6.51,46,16,2875,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,10,yes,0,0,0,1,0,0.0,227,72.76,85,27.24,12,3.27,38,10.5,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0
11246,Nadukkarai,Tharangampadi,Thanjavur,2108,677,436,4.8,1078,1030,1047,255,130,125,1040,899,42.6,458,441,1039,0,0.0,0,0,0,1220,65.84,728,492,1480,770,36.5,548,222,2468,1,0.0,0,1,0,1337,63.4,530,807,657,534,69.35,327,207,1580,61,7.92,61,0,0,175,22.73,160,15,10667,55,7.14,54,1,54000,474,61.56,268,206,1301,5,0.01,5,0,0,0,0.0,0,0,0,13,1.69,13,0,0,40,5.19,40,0,0,8,1.04,8,0,0,58,7.53,57,1,57000,16,2.08,16,0,0,101,13.12,87,14,6214,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Mailaduthura,13,yes,0,0,0,1,0,0.0,180,86.96,27,13.04,16,5.29,88,28.25,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0
11247,Kilaiyur,Tharangampadi,Thanjavur,4313,710,899,4.8,2194,2119,1035,503,282,221,1276,952,22.1,470,482,975,0,0.0,0,0,0,2595,68.11,1532,1063,1441,1564,36.3,1327,237,5599,10,0.2,6,4,1500,2739,63.5,861,1878,458,1181,75.51,955,226,4226,176,11.25,174,2,87000,207,13.24,198,9,22000,396,25.32,389,7,55571,781,49.94,562,219,2566,4,0.0,4,0,0,0,0.0,0,0,0,16,1.02,14,2,7000,45,2.88,45,0,0,115,7.35,115,0,0,84,5.37,83,1,83000,24,1.53,24,0,0,99,6.33,91,8,11375,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Mayiladuthura,12,yes,0,0,0,1,0,0.0,420,80.92,99,19.08,22,3.7,66,10.87,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0
11248,Kodarankondam,Tharangampadi,Thanjavur,5102,640,1157,4.4,2618,2484,1054,641,334,307,1088,1596,31.3,848,748,1134,0,0.0,0,0,0,2907,65.16,1762,1145,1539,2120,41.6,1571,549,2862,772,15.1,5,767,7,2210,43.3,1042,1168,892,1761,83.07,1238,523,2367,89,4.2,87,2,43500,270,12.74,246,24,10250,554,26.13,523,31,16871,1199,56.56,708,491,1442,8,0.0,7,1,7000,0,0.0,0,0,0,1,0.05,0,1,0,60,2.83,60,0,0,28,1.32,27,1,27000,95,4.48,91,4,22750,37,1.75,37,0,0,138,6.51,118,20,5900,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,14,yes,0,0,0,1,0,0.0,410,62.22,249,37.78,37,4.62,101,12.68,0.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0
11249,Thalaiyudaiyayur Koil Pathu,Tharangampadi,Thanjavur,4027,589,908,4.4,2013,2014,1000,537,259,278,932,1162,28.9,562,600,937,0,0.0,0,0,0,2110,60.46,1324,786,1684,1522,37.8,1186,336,3530,288,7.2,26,262,99,2217,55.1,801,1416,566,1170,76.87,863,307,2811,118,7.75,117,1,117000,234,15.37,206,28,7357,335,22.01,271,64,4234,831,54.6,588,243,2420,4,0.0,4,0,0,0,0.0,0,0,0,11,0.72,10,1,10000,46,3.02,46,0,0,61,4.01,61,0,0,103,6.77,93,10,9300,18,1.18,18,0,0,113,7.42,95,18,5278,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,18,yes,0,0,0,1,0,0.0,389,67.53,187,32.47,38,5.59,70,10.23,0.0,0.0,0.0,0.0,389.0,0.0,0.0,0.0
11250,Melaperumpallam,Tharangampadi,Thanjavur,2834,504,639,4.4,1413,1421,994,354,178,176,1011,1258,44.4,619,639,969,0,0.0,0,0,0,1524,61.45,894,630,1419,1334,47.1,848,486,1745,16,0.6,0,16,0,1484,52.4,565,919,615,1250,93.7,769,481,1599,22,1.65,22,0,0,62,4.65,57,5,11400,197,14.77,190,7,27143,1052,78.86,578,474,1219,1,0.0,1,0,0,0,0.0,0,0,0,9,0.67,9,0,0,6,0.45,6,0,0,7,0.52,7,0,0,7,0.52,7,0,0,9,0.67,9,0,0,46,3.45,41,5,8200,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,1,0,Mayiladuthura,18,yes,0,0,0,1,0,0.0,305,71.1,124,28.9,25,4.4,109,19.37,0.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0
11251,Kilaperumpallam,Tharangampadi,Thanjavur,2295,436,538,4.3,1119,1176,952,326,145,181,801,898,39.1,424,474,895,11,0.5,4,7,571,1120,56.88,683,437,1563,1052,45.8,679,373,1820,0,0.0,0,0,0,1243,54.2,440,803,548,926,88.02,570,356,1601,47,4.47,44,3,14667,79,7.51,65,14,4643,138,13.12,134,4,33500,787,74.81,435,352,1236,1,0.0,1,0,0,0,0.0,0,0,0,2,0.19,1,1,1000,44,4.18,42,2,21000,1,0.1,1,0,0,25,2.38,24,1,24000,10,0.95,10,0,0,44,4.18,31,13,2385,yes,0,3,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,0,1,0,Mayiladuthura,23,yes,0,0,0,1,0,0.0,318,71.78,125,28.22,32,6.1,51,9.69,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0
11252,Marudampallam,Tharangampadi,Thanjavur,2802,558,617,4.5,1393,1409,989,507,255,252,1012,755,26.9,378,377,1003,0,0.0,0,0,0,706,30.76,512,194,2639,1136,40.5,737,399,1847,8,0.3,1,7,143,1658,59.2,655,1003,653,837,73.68,537,300,1790,1,0.09,1,0,0,298,26.23,199,99,2010,96,8.45,91,5,18200,584,51.41,293,291,1007,157,0.14,153,4,38250,0,0.0,0,0,0,0,0.0,0,0,0,1,0.09,1,0,0,0,0.0,0,0,0,278,24.47,184,94,1957,2,0.18,2,0,0,18,1.58,13,5,2600,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Mayiladuthura,23,yes,0,0,0,1,0,0.0,242,67.6,118,32.4,36,7.2,106,21.11,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0
11253,Kalamanallur,Tharangampadi,Thanjavur,2805,346,658,4.3,1440,1365,1055,311,209,102,2049,935,33.3,476,459,1037,0,0.0,0,0,0,1197,48.0,741,456,1625,1154,41.1,817,337,2424,44,1.6,2,42,48,1607,57.3,621,986,630,1087,94.11,755,332,2274,10,0.95,10,0,0,57,4.94,52,5,10400,206,17.85,195,11,17727,764,66.2,448,316,1418,116,0.1,111,5,22200,1,0.09,1,0,0,0,0.0,0,0,0,10,0.87,10,0,0,0,0.0,0,0,0,11,0.95,11,0,0,6,0.52,6,0,0,40,3.47,35,5,7000,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,1,1,0,1,1,0,Mayiladuthura,22,yes,0,0,0,1,0,0.0,230,35.71,414,64.29,46,5.7,121,14.92,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0
11254,Manakudi,Tharangampadi,Thanjavur,2055,358,438,4.7,1003,1052,953,359,182,177,1028,606,29.5,305,301,1013,0,0.0,0,0,0,954,56.25,586,368,1592,718,34.9,544,174,3126,245,11.9,9,236,38,1092,53.1,450,642,701,612,85.24,443,169,2621,28,3.9,28,0,0,78,10.86,73,5,14600,219,30.5,207,12,17250,392,54.6,235,157,1497,1,0.0,1,0,0,0,0.0,0,0,0,5,0.7,5,0,0,15,2.09,15,0,0,8,1.11,8,0,0,19,2.65,19,0,0,18,2.51,18,0,0,41,5.71,36,5,7200,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,1,1,0,Mayiladuthura,18,yes,0,0,0,1,0,0.0,356,87.58,51,12.42,134,23.34,34,5.84,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0
11255,Akkurpandaravadai,Tharangampadi,Thanjavur,1816,695,392,4.6,917,899,1020,218,102,116,879,824,45.4,415,409,1015,0,0.0,0,0,0,1153,72.15,666,487,1368,711,39.2,530,181,2928,0,0.0,0,0,0,1105,60.8,387,718,539,562,79.04,401,161,2491,29,4.08,27,2,13500,120,16.88,102,18,5667,136,19.13,109,27,4037,426,59.92,292,134,2179,0,0.0,0,0,0,0,0.0,0,0,0,5,0.7,3,2,1500,21,2.95,21,0,0,3,0.42,3,0,0,61,8.58,54,7,7714,9,1.27,9,0,0,50,7.03,39,11,3545,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Mayiladuthura,16,yes,0,0,0,1,0,0.0,153,68.61,70,31.39,12,4.7,26,9.95,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0
11256,Udayavarkoil Pathu,Tharangampadi,Thanjavur,3693,987,776,4.8,1850,1843,1004,458,241,217,1111,760,20.6,408,352,1159,0,0.0,0,0,0,2165,66.92,1239,926,1338,1556,42.1,1005,551,1824,82,2.2,18,64,281,2055,55.6,827,1228,673,1210,77.76,700,510,1373,92,5.91,83,9,9222,254,16.32,222,32,6938,236,15.17,173,63,2746,955,61.38,513,442,1161,19,0.01,14,5,2800,0,0.0,0,0,0,42,2.7,35,7,5000,38,2.44,36,2,18000,12,0.77,12,0,0,107,6.88,103,4,25750,33,2.12,32,1,32000,114,7.33,87,27,3222,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,1,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Mayiladuthura,16,yes,0,0,0,1,0,0.0,260,97.01,8,2.99,14,3.76,92,24.59,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0
11257,Kidangal,Tharangampadi,Thanjavur,1726,529,377,4.6,844,882,957,255,114,141,809,776,45.0,376,400,940,0,0.0,0,0,0,967,65.74,551,416,1325,787,45.6,542,245,2212,112,6.5,0,112,0,827,47.9,302,525,575,716,90.98,477,239,1996,25,3.18,22,3,7333,46,5.84,43,3,14333,249,31.64,230,19,12105,466,59.21,246,220,1118,1,0.0,1,0,0,0,0.0,0,0,0,8,1.02,5,3,1667,3,0.38,3,0,0,14,1.78,14,0,0,14,1.78,14,0,0,3,0.38,3,0,0,29,3.68,26,3,8667,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Mayiladuthura,18,yes,0,0,0,1,0,0.0,148,54.11,126,45.89,19,5.67,34,10.43,0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0
11258,Kalahastinathapuram,Tharangampadi,Thanjavur,2067,501,459,4.5,1019,1048,972,280,142,138,1029,500,24.2,244,256,953,0,0.0,0,0,0,1166,65.25,691,475,1455,945,45.7,609,336,1813,2,0.1,1,1,1000,1120,54.2,409,711,575,784,82.96,467,317,1473,67,7.09,59,8,7375,94,9.95,83,11,7545,123,13.02,112,11,10182,660,69.84,354,306,1157,1,0.0,1,0,0,0,0.0,0,0,0,13,1.38,10,3,3333,35,3.7,31,4,7750,19,2.01,18,1,18000,25,2.65,24,1,24000,15,1.59,15,0,0,54,5.71,44,10,4400,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Mayiladuthura,14,yes,0,0,0,1,0,0.0,217,61.47,36,38.53,18,4.35,142,10.17,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0
11259,Mudikandanallur,Tharangampadi,Thanjavur,3213,1056,741,4.3,1630,1583,1030,401,216,185,1168,834,26.0,436,398,1095,0,0.0,0,0,0,2004,71.27,1157,847,1366,1094,34.0,954,140,6814,208,6.5,3,205,15,1911,59.5,673,1238,544,796,72.76,673,123,5472,82,7.5,79,3,26333,216,19.74,202,14,14429,216,19.74,216,0,0,580,53.02,457,123,3715,0,0.0,0,0,0,0,0.0,0,0,0,1,0.09,1,0,0,57,5.21,54,3,18000,24,2.19,24,0,0,92,8.41,91,1,91000,28,2.56,27,1,27000,96,8.78,84,12,7000,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Mayiladuthura,14,yes,0,0,0,1,0,0.0,221,90.2,24,9.8,7,2.41,52,17.09,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0
