"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
11418,Kulasekaranallur,Tiruvidaimarudur,Thanjavur,2489,684,560,4.4,1212,1277,949,389,177,212,835,704,28.3,347,357,972,0,0.0,0,0,0,1108,52.76,650,458,1419,918,36.9,708,210,3371,18,0.7,0,18,0,1553,62.4,504,1049,480,818,89.11,622,196,3173,33,3.59,26,7,3714,67,7.3,60,7,8571,256,27.89,244,12,20333,556,60.57,372,184,2022,6,0.01,6,0,0,0,0.0,0,0,0,18,1.96,11,7,1571,14,1.53,14,0,0,1,0.11,1,0,0,36,3.92,36,0,0,4,0.44,4,0,0,27,2.94,20,7,2857,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,1,1,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Mayiladuthura,22,yes,0,0,0,1,0,0.0,162,89.43,19,10.57,54,14.84,128,35.2,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0
11419,Sarabojirajapuram,Tiruvidaimarudur,Thanjavur,1769,395,414,4.3,886,883,1003,286,132,154,857,653,36.9,332,321,1034,0,0.0,0,0,0,683,46.06,462,221,2090,948,53.6,556,392,1418,45,2.5,3,42,71,776,43.9,327,449,728,888,93.67,511,377,1355,16,1.69,10,6,1667,44,4.64,35,9,3889,524,55.27,318,206,1544,364,38.4,193,171,1129,0,0.0,0,0,0,0,0.0,0,0,0,15,1.58,9,6,1500,0,0.0,0,0,0,1,0.11,1,0,0,13,1.37,12,1,12000,7,0.74,7,0,0,24,2.53,16,8,2000,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,1,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Mayiladuthura,24,yes,0,0,0,1,0,0.0,238,96.36,9,3.64,57,12.71,144,32.19,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0
11420,Marathurai,Tiruvidaimarudur,Thanjavur,1827,429,436,4.2,911,916,995,273,141,132,1068,740,40.5,371,369,1005,0,0.0,0,0,0,632,40.67,413,219,1886,702,38.4,545,157,3471,38,2.1,2,36,56,1087,59.5,364,723,503,640,91.17,495,145,3414,12,1.71,11,1,11000,50,7.12,39,11,3545,163,23.22,158,5,31600,477,67.95,337,140,2407,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,7,1.0,6,1,6000,5,0.71,5,0,0,16,2.28,13,3,4333,6,0.85,5,1,5000,28,3.99,21,7,3000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,24,yes,0,0,0,1,0,0.0,279,94.9,15,5.1,84,19.72,48,11.25,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0
11421,Vannikudi,Tiruvidaimarudur,Thanjavur,1436,494,344,4.2,751,685,1096,239,119,120,992,791,55.1,410,381,1076,0,0.0,0,0,0,649,54.22,406,243,1671,622,43.3,451,171,2637,0,0.0,0,0,0,814,56.7,300,514,584,556,89.39,395,161,2453,21,3.38,19,2,9500,45,7.23,37,8,4625,109,17.52,109,0,0,447,71.86,286,161,1776,0,0.0,0,0,0,0,0.0,0,0,0,13,2.09,11,2,5500,5,0.8,5,0,0,3,0.48,3,0,0,16,2.57,16,0,0,5,0.8,5,0,0,24,3.86,16,8,2000,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,24,yes,0,0,0,1,0,0.0,188,90.82,19,9.18,46,15.82,38,12.98,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0
11422,Neivasal,Tiruvidaimarudur,Thanjavur,777,345,188,4.1,398,379,1050,92,45,47,957,461,59.3,237,224,1058,0,0.0,0,0,0,331,48.32,212,119,1782,280,36.0,232,48,4833,9,1.2,2,7,286,488,62.8,164,324,506,250,89.29,209,41,5098,2,0.71,2,0,0,28,10.0,21,7,3000,65,23.21,64,1,64000,184,65.71,144,40,3600,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.36,1,0,0,1,0.36,1,0,0,5,1.79,3,2,1500,5,1.79,5,0,0,18,6.43,13,5,2600,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,1,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,24,yes,0,0,0,1,0,0.0,127,92.7,10,7.3,62,27.52,26,11.66,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0
11423,Thirumangaicheri,Tiruvidaimarudur,Thanjavur,1475,479,345,4.3,724,751,964,249,130,119,1092,980,66.4,477,503,948,0,0.0,0,0,0,556,45.35,358,198,1808,645,43.7,413,232,1780,137,9.3,7,130,54,693,47.0,304,389,781,627,97.21,399,228,1750,3,0.47,3,0,0,15,2.33,11,4,2750,93,14.42,89,4,22250,534,82.79,310,224,1384,0,0.0,0,0,0,0,0.0,0,0,0,1,0.16,1,0,0,1,0.16,1,0,0,1,0.16,1,0,0,5,0.78,4,1,4000,1,0.16,1,0,0,9,1.4,6,3,2000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Mayiladuthura,22,yes,0,0,0,1,0,0.0,170,89.47,20,10.53,84,27.28,34,11.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0
11424,Sayanapuram,Tiruvidaimarudur,Thanjavur,824,349,185,4.5,437,387,1129,125,73,52,1404,453,55.0,241,212,1137,0,0.0,0,0,0,323,46.21,209,114,1833,304,36.9,285,19,15000,0,0.0,0,0,0,520,63.1,152,368,413,285,93.75,267,18,14833,2,0.66,2,0,0,17,5.59,16,1,16000,57,18.75,57,0,0,228,75.0,210,18,11667,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.33,1,0,0,1,0.33,1,0,0,5,1.64,5,0,0,1,0.33,1,0,0,11,3.62,10,1,10000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,<Mayiladuthura,24,yes,0,0,0,1,0,0.0,145,87.88,20,12.12,53,22.42,18,7.78,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0
11425,Neikuppai,Tiruvidaimarudur,Thanjavur,1886,609,436,4.3,944,942,1002,230,116,114,1018,577,30.6,301,276,1091,0,0.0,0,0,0,1020,61.59,596,424,1406,698,37.0,553,145,3814,24,1.3,1,23,43,1164,61.7,390,774,504,596,85.24,460,136,3382,30,4.44,29,1,29000,72,10.32,64,8,8000,167,23.93,144,23,6261,426,61.03,313,113,2770,2,0.0,2,0,0,1,0.14,1,0,0,1,0.14,1,0,0,23,3.3,22,1,22000,6,0.86,6,0,0,31,4.44,29,2,14500,8,1.15,8,0,0,33,4.73,27,6,4500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,1,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,18,yes,0,0,0,1,0,0.0,198,93.4,14,6.6,45,14.53,53,17.02,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0
11426,Pandanallur,Tiruvidaimarudur,Thanjavur,4152,1315,921,4.5,2169,1983,1094,589,305,284,1074,1091,26.3,575,516,1114,6,0.1,3,3,1000,2152,60.4,1281,871,1471,1532,36.9,1227,305,4023,38,0.9,4,34,118,2582,62.2,938,1644,571,837,54.5,595,242,2459,189,12.47,171,18,9500,506,33.03,461,45,10244,214,13.97,208,6,34667,615,40.14,380,235,1617,6,0.0,5,1,5000,2,0.13,2,0,0,31,2.02,13,18,722,79,5.16,79,0,0,79,5.16,79,0,0,253,16.51,245,8,30625,27,1.76,26,1,26000,226,14.75,190,36,5278,yes,0,3,1,1,0,0,0,0,0,0,yes,0,0,1,0,1,0,0,0,2,0,0,4,0,0,0,0,yes,0,0,0,1,1,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Mayiladuthura,18,yes,0,0,0,1,0,0.0,158,89.77,18,10.23,87,27.56,53,16.7,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0
11427,Irumoolai,Tiruvidaimarudur,Thanjavur,1144,384,242,4.7,585,559,1047,196,92,104,885,543,47.5,276,267,1034,0,0.0,0,0,0,482,50.84,317,165,1921,421,36.8,317,104,3048,65,5.7,4,61,66,658,57.5,264,394,670,375,89.07,276,99,2788,8,1.9,8,0,0,38,9.03,33,5,6600,100,23.75,98,2,49000,275,65.32,178,97,1835,0,0.0,0,0,0,0,0.0,0,0,0,1,0.24,1,0,0,6,1.43,6,0,0,1,0.24,1,0,0,12,2.85,12,0,0,8,1.9,8,0,0,18,4.28,13,5,2600,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,1,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Mayiladuthura,22,yes,0,0,0,1,0,0.0,212,98.6,3,1.4,50,16.77,33,11.15,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0
11428,Thittacheri,Tiruvidaimarudur,Thanjavur,1503,613,337,4.5,740,763,970,218,120,98,1224,240,16.0,120,120,1000,0,0.0,0,0,0,742,57.74,432,310,1394,572,38.1,450,122,3689,0,0.0,0,0,0,931,61.9,290,641,452,461,80.59,356,105,3390,52,9.09,51,1,51000,59,10.31,43,16,2688,284,49.65,271,13,20846,175,30.59,83,92,902,2,0.0,2,0,0,0,0.0,0,0,0,2,0.35,2,0,0,12,2.1,11,1,11000,38,6.64,38,0,0,14,2.45,14,0,0,7,1.22,7,0,0,38,6.64,22,16,1375,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,1,0,0,0,1,0,no,2,0,yes,0,1,0,0,1,0,Kumbakona,14,yes,0,0,0,1,0,0.0,118,97.52,3,2.48,77,31.43,47,19.18,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0
11429,Mullangudi,Tiruvidaimarudur,Thanjavur,2937,439,695,4.2,1451,1486,976,449,240,209,1148,1059,36.1,539,520,1037,0,0.0,0,0,0,1484,59.65,859,625,1374,1159,39.5,816,343,2379,43,1.5,2,41,49,1735,59.1,633,1102,574,1000,86.28,673,327,2058,68,5.87,66,2,33000,91,7.85,77,14,5500,301,25.97,252,49,5143,689,59.45,415,274,1515,10,0.01,6,4,1500,0,0.0,0,0,0,22,1.9,21,1,21000,24,2.07,23,1,23000,22,1.9,22,0,0,36,3.11,35,1,35000,7,0.6,7,0,0,48,4.14,35,13,2692,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,no,1,0,0,1,0,0,MayilaDUTHURA,24,yes,0,0,0,1,0,0.0,288,78.26,80,21.74,51,7.61,251,37.44,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0
11430,Vinayagantheru,Tiruvidaimarudur,Thanjavur,3037,673,640,4.7,1524,1513,1007,416,209,207,1010,546,18.0,276,270,1022,0,0.0,0,0,0,1648,62.88,998,650,1535,1225,40.3,929,296,3139,268,8.8,17,251,68,1544,50.8,578,966,598,759,61.96,606,153,3961,199,16.24,112,87,1287,267,21.8,211,56,3768,233,19.02,222,11,20182,463,37.8,328,135,2430,63,0.05,56,7,8000,0,0.0,0,0,0,111,9.06,29,82,354,50,4.08,46,4,11500,38,3.1,37,1,37000,117,9.55,83,34,2441,30,2.45,29,1,29000,120,9.8,99,21,4714,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,1,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,MKumbakona,22,yes,0,0,0,1,0,0.0,130,72.22,50,27.78,40,8.89,231,51.25,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0
11431,Ukkarai,Tiruvidaimarudur,Thanjavur,2394,397,560,4.3,1273,1121,1136,318,179,139,1288,969,40.5,531,438,1212,0,0.0,0,0,0,1028,49.52,678,350,1937,843,35.2,756,87,8690,1,0.0,0,1,0,1550,64.7,517,1033,500,723,85.77,644,79,8152,20,2.37,19,1,19000,100,11.86,93,7,13286,368,43.65,368,0,0,355,42.11,276,79,3494,0,0.0,0,0,0,0,0.0,0,0,0,4,0.47,4,0,0,14,1.66,13,1,13000,2,0.24,2,0,0,36,4.27,35,1,35000,12,1.42,11,1,11000,52,6.17,47,5,9400,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Kumbakona,20,yes,0,0,0,1,0,0.0,320,93.57,22,6.43,51,8.45,210,34.87,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0
11432,Pattam,Tiruvidaimarudur,Thanjavur,921,542,204,4.5,476,445,1070,115,69,46,1500,451,49.0,228,223,1022,0,0.0,0,0,0,436,54.09,258,178,1449,291,31.6,270,21,12857,2,0.2,0,2,0,628,68.2,206,422,488,238,81.79,219,19,11526,21,7.22,21,0,0,32,11.0,30,2,15000,173,59.45,161,12,13417,65,22.34,58,7,8286,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,1.37,4,0,0,17,5.84,17,0,0,13,4.47,13,0,0,4,1.37,4,0,0,15,5.15,13,2,6500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Kumbakona,20,yes,0,0,0,1,0,0.0,112,96.55,4,3.45,31,18.26,23,13.41,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0
11433,Chidambaranathapuram,Tiruvidaimarudur,Thanjavur,1828,694,408,4.5,906,922,983,245,107,138,775,674,36.9,331,343,965,0,0.0,0,0,0,804,50.79,501,303,1653,721,39.4,567,154,3682,14,0.8,1,13,77,1093,59.8,338,755,448,666,92.37,520,146,3562,5,0.69,4,1,4000,50,6.93,43,7,6143,307,42.58,301,6,50167,359,49.79,219,140,1564,0,0.0,0,0,0,0,0.0,0,0,0,2,0.28,1,1,1000,3,0.42,3,0,0,0,0.0,0,0,0,19,2.64,19,0,0,6,0.83,6,0,0,25,3.47,18,7,2571,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Kumbakona,22,yes,0,0,0,1,0,0.0,187,93.97,12,6.03,34,12.91,30,11.54,0.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0
11434,Kurichi,Tiruvidaimarudur,Thanjavur,1997,605,472,4.2,992,1005,987,303,154,149,1034,919,46.0,446,473,943,0,0.0,0,0,0,1037,61.22,644,393,1639,713,35.7,571,142,4021,131,6.6,5,126,40,1153,57.7,416,737,564,527,73.91,410,117,3504,57,7.99,47,10,4700,129,18.09,114,15,7600,103,14.45,99,4,24750,416,58.35,303,113,2681,8,0.01,8,0,0,0,0.0,0,0,0,22,3.09,12,10,1200,22,3.09,22,0,0,13,1.82,13,0,0,71,9.96,67,4,16750,16,2.24,15,1,15000,42,5.89,32,10,3200,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Kumbakona,25,yes,0,0,0,1,0,0.0,240,94.12,15,5.88,35,10.6,40,12.19,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0
11435,Melakattur,Tiruvidaimarudur,Thanjavur,1732,578,410,4.2,882,850,1038,236,112,124,903,877,50.6,458,419,1093,0,0.0,0,0,0,819,54.75,515,304,1694,727,42.0,500,227,2203,48,2.8,4,44,91,957,55.3,378,579,653,627,86.24,418,209,2000,37,5.09,31,6,5167,63,8.67,51,12,4250,182,25.03,169,13,13000,445,61.21,249,196,1270,0,0.0,0,0,0,0,0.0,0,0,0,24,3.3,18,6,3000,6,0.83,6,0,0,7,0.96,7,0,0,22,3.03,18,4,4500,7,0.96,7,0,0,34,4.68,26,8,3250,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,1,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Kumbakona,22,yes,0,0,0,1,0,0.0,194,86.22,31,13.78,33,11.02,42,13.88,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0
11436,Koilramapuram,Tiruvidaimarudur,Thanjavur,1744,569,381,4.6,869,875,993,261,138,123,1122,607,34.8,324,283,1145,0,0.0,0,0,0,906,61.09,543,363,1496,658,37.7,462,196,2357,93,5.3,5,88,57,993,56.9,402,591,680,533,81.0,375,158,2373,68,10.33,38,30,1267,57,8.66,49,8,6125,167,25.38,162,5,32400,361,54.86,208,153,1359,5,0.01,5,0,0,0,0.0,0,0,0,58,8.81,28,30,933,5,0.76,5,0,0,5,0.76,5,0,0,24,3.65,23,1,23000,7,1.06,7,0,0,26,3.95,19,7,2714,yes,0,2,0,0,0,0,2,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Kumbakona,26,yes,0,0,0,1,0,0.0,185,96.35,7,3.65,81,26.43,33,10.91,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0
11437,Athipakkam,Tiruvidaimarudur,Thanjavur,2266,782,555,4.1,1101,1165,945,321,138,183,754,1163,51.3,574,589,975,0,0.0,0,0,0,868,44.63,523,345,1516,1074,47.4,679,395,1719,0,0.0,0,0,0,1192,52.6,422,770,548,883,82.22,519,364,1426,64,5.96,50,14,3571,127,11.82,110,17,6471,119,11.08,117,2,58500,764,71.14,402,362,1110,0,0.0,0,0,0,0,0.0,0,0,0,31,2.89,28,3,9333,30,2.79,19,11,1727,3,0.28,3,0,0,50,4.66,46,4,11500,13,1.21,13,0,0,64,5.96,51,13,3923,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,1,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Kumbakona,25,yes,0,0,0,1,0,0.0,192,90.14,21,9.86,33,11.4,44,15.06,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0
11438,Kavanur,Tiruvidaimarudur,Thanjavur,1282,496,319,4.0,643,639,1006,181,87,94,926,496,38.7,254,242,1050,0,0.0,0,0,0,570,51.77,366,204,1794,574,44.8,388,186,2086,0,0.0,0,0,0,708,55.2,255,453,563,448,78.05,279,169,1651,21,3.66,17,4,4250,105,18.29,92,13,7077,23,4.01,23,0,0,425,74.04,256,169,1515,0,0.0,0,0,0,0,0.0,0,0,0,11,1.92,8,3,2667,10,1.74,9,1,9000,0,0.0,0,0,0,38,6.62,35,3,11667,16,2.79,16,0,0,51,8.89,41,10,4100,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,1,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,mayiladuthura,18,yes,0,0,0,1,0,0.0,154,94.48,9,5.52,33,12.77,62,24.13,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0
11439,Kilamandur,Tiruvidaimarudur,Thanjavur,2350,718,561,4.2,1177,1173,1003,387,199,188,1059,1268,54.0,635,633,1003,0,0.0,0,0,0,987,50.28,615,372,1653,923,39.3,628,295,2129,19,0.8,0,19,0,1408,59.9,549,859,639,759,82.23,490,269,1822,37,4.01,33,4,8250,127,13.76,105,22,4773,474,51.35,356,118,3017,285,30.88,134,151,887,0,0.0,0,0,0,0,0.0,0,0,0,13,1.41,9,4,2250,18,1.95,18,0,0,6,0.65,6,0,0,49,5.31,46,3,15333,9,0.98,9,0,0,69,7.48,50,19,2632,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Kumbakona,19,yes,0,0,0,1,0,0.0,177,85.1,31,14.9,73,22.3,46,14.15,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0
