"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
7708,Ramasamimalai RF,Omalur,Salem,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7709,Gundukkal RF,Omalur,Salem,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7710,Sekkarapatti,Omalur,Salem,1374,225,272,5.1,740,634,1167,211,129,82,1573,117,8.5,56,61,918,0,0.0,0,0,0,388,33.36,267,121,2207,565,41.1,379,186,2038,67,4.9,0,67,0,742,54.0,361,381,948,513,90.8,333,180,1850,15,2.65,15,0,0,37,6.55,31,6,5167,223,39.47,192,31,6194,290,51.33,141,149,946,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,0.88,5,0,0,10,1.77,10,0,0,12,2.12,8,4,2000,9,1.59,9,0,0,16,2.83,14,2,7000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Sale,38,yes,0,0,0,1,0,0.0,34,9.86,311,90.14,45,7.45,220,36.03,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7711,Veppilai,Omalur,Salem,4098,234,888,4.6,2193,1905,1151,665,375,290,1293,360,8.8,183,177,1034,291,7.1,162,129,1256,1074,31.28,721,353,2042,2033,49.6,1245,788,1580,327,8.0,3,324,9,1738,42.4,945,793,1192,1972,97.0,1199,773,1551,14,0.69,12,2,6000,47,2.31,34,13,2615,1084,53.32,814,270,3015,887,43.63,384,503,763,1,0.0,1,0,0,0,0.0,0,0,0,5,0.25,4,1,4000,6,0.3,6,0,0,3,0.15,2,1,2000,6,0.3,6,0,0,8,0.39,8,0,0,33,1.62,20,13,1538,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Omalu,30,yes,0,0,0,1,0,0.0,140,14.79,806,85.21,135,7.71,668,38.2,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7712,Kodunaickenpatty pudur,Omalur,Salem,5647,292,1248,4.5,2983,2664,1120,707,383,324,1182,514,9.1,265,249,1064,149,2.6,75,74,1014,2123,42.98,1388,735,1888,3239,57.4,1813,1426,1271,0,0.0,0,0,0,2408,42.6,1170,1238,945,3049,94.04,1654,1395,1186,33,1.11,33,0,0,157,4.85,126,31,4065,1182,36.49,830,352,2358,1835,56.65,818,1017,804,29,0.01,3,26,115,3,0.09,3,0,0,21,0.65,21,0,0,11,0.34,11,0,0,1,0.03,1,0,0,19,0.59,18,1,18000,29,0.9,27,2,13500,109,3.37,81,28,2893,yes,0,6,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,1,1,0,0,Omalu,4,yes,0,0,0,1,0,0.0,601,50.75,583,49.25,246,12.7,504,26.05,423.6,0.0,82.09,0.0,0.0,15.1,0.0,80.0
7713,Kanavoipudur,Omalur,Salem,6101,289,1444,4.2,3177,2924,1087,930,501,429,1168,1436,23.5,737,699,1054,2014,33.0,1066,948,1124,1596,30.86,1048,548,1912,2912,47.7,1769,1143,1548,1,0.0,0,1,0,3188,52.3,1408,1780,791,2757,94.68,1644,1113,1477,31,1.06,29,2,14500,124,4.26,96,28,3429,993,34.1,741,252,2940,1763,60.54,902,861,1048,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,16,0.55,15,1,15000,15,0.52,14,1,14000,17,0.58,12,5,2400,22,0.76,22,0,0,85,2.92,62,23,2696,yes,0,4,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Sale,52,yes,0,0,0,1,0,0.0,48,4.5,1028,95.5,302,14.33,729,34.59,48.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7714,Lokkur RF,Omalur,Salem,122,6,32,3.8,58,64,906,24,10,14,714,5,4.1,2,3,667,0,0.0,0,0,0,38,38.78,25,13,1923,37,30.3,34,3,11333,4,3.3,1,3,333,81,66.4,23,58,397,22,59.46,21,1,21000,8,21.62,6,2,3000,7,18.92,7,0,0,3,8.11,3,0,0,19,51.35,18,1,18000,0,0.0,0,0,0,0,0.0,0,0,0,2,5.41,2,0,0,4,10.81,2,2,1000,2,5.41,2,0,0,0,0.0,0,0,0,6,16.22,6,0,0,1,2.7,1,0,0,no,2,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,no,3,0,0,0,1,0,Sale,12,yes,0,0,0,1,2080,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7715,Manakondamalai RF,Omalur,Salem,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7716,Elathur RF,Omalur,Salem,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7717,Gundikkal,Omalur,Salem,5171,420,1231,4.2,2695,2476,1088,779,477,302,1579,733,14.2,380,353,1076,0,0.0,0,0,0,1603,36.5,1083,520,2083,2279,44.1,1530,749,2043,346,6.7,1,345,3,2546,49.2,1164,1382,842,2057,90.22,1343,714,1881,63,2.81,58,5,11600,159,6.98,129,30,4300,1051,46.12,841,210,4005,1000,43.88,496,504,984,5,0.0,5,0,0,1,0.04,1,0,0,2,0.09,2,0,0,30,1.32,25,5,5000,31,1.36,31,0,0,40,1.76,31,9,3444,46,2.02,46,0,0,73,3.2,52,21,2476,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Sale,32,yes,0,0,0,1,0,0.0,299,34.35,571,65.65,151,12.28,209,16.96,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7718,Kongupatti,Omalur,Salem,7852,388,1865,4.2,4095,3757,1090,1053,591,462,1279,1633,20.8,862,771,1118,0,0.0,0,0,0,2642,38.86,1767,875,2019,3964,50.5,2422,1542,1571,0,0.0,0,0,0,3888,49.5,1673,2215,755,3597,88.77,2158,1439,1500,130,5.25,85,45,1889,237,5.98,179,58,3086,1666,42.03,1262,404,3124,1852,46.72,842,1010,834,1,0.0,1,0,0,78,1.97,53,25,2120,1,0.03,0,1,0,119,3.0,76,43,1767,10,0.25,9,1,9000,46,1.16,38,8,4750,37,0.93,37,0,0,154,3.88,104,50,2080,yes,0,6,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,1,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Omalu,17,yes,0,0,0,1,0,0.0,422,26.01,1201,73.99,90,4.46,311,15.38,310.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0
7719,Mookanur,Omalur,Salem,2861,517,748,3.8,1515,1346,1126,403,239,164,1457,445,15.6,236,209,1129,0,0.0,0,0,0,771,31.37,519,252,2060,1182,41.3,816,366,2230,0,0.0,0,0,0,1679,58.7,699,980,713,936,79.1,619,317,1953,168,14.3,141,27,5222,78,6.6,56,22,2545,495,41.88,351,144,2438,440,37.23,267,173,1543,0,0.0,0,0,0,1,0.08,1,0,0,152,12.86,125,27,4630,7,0.59,7,0,0,9,0.76,9,0,0,15,1.27,11,4,2750,11,0.93,11,0,0,52,4.4,34,18,1889,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,1,no,1,0,yes,0,1,0,1,0,0,Omalu,17,yes,0,0,0,1,0,0.0,110,28.21,280,71.79,40,7.23,123,22.28,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7720,Elathur,Omalur,Salem,2351,274,512,4.6,1216,1135,1071,358,196,162,1210,511,21.7,270,241,1120,58,2.5,25,33,758,842,42.25,561,281,1996,1043,44.4,704,339,2077,180,7.7,0,180,0,1128,48.0,512,616,831,854,81.88,569,285,1996,9,0.86,9,0,0,180,17.26,126,54,2333,312,29.91,250,62,4032,534,51.2,311,223,1395,8,0.01,8,0,0,0,0.0,0,0,0,1,0.1,1,0,0,1,0.1,1,0,0,7,0.67,7,0,0,3,0.29,3,0,0,8,0.77,8,0,0,169,16.2,115,54,2130,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Sale,32,yes,0,0,0,1,425,49.44,160,53.16,141,46.84,5,0.58,129,14.96,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7721,Nachanampatti,Omalur,Salem,1690,459,376,4.5,903,787,1147,191,116,75,1547,668,39.5,355,313,1134,0,0.0,0,0,0,761,50.77,499,262,1905,817,48.3,486,331,1468,23,1.4,5,18,278,850,50.3,412,438,941,621,76.01,322,299,1077,56,6.85,43,13,3308,140,17.14,121,19,6368,108,13.22,86,22,3909,511,62.55,234,277,845,2,0.0,2,0,0,0,0.0,0,0,0,21,2.57,15,6,2500,35,4.28,28,7,4000,0,0.0,0,0,0,41,5.02,37,4,9250,30,3.67,29,1,29000,69,8.45,55,14,3929,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Sale,31,yes,0,0,0,1,0,0.0,64,22.87,216,77.13,35,9.51,53,14.41,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7722,Naduppatti,Omalur,Salem,3185,389,807,3.9,1625,1560,1042,383,207,176,1176,367,11.5,187,180,1039,10,0.3,5,5,1000,1061,37.87,686,375,1829,1609,50.5,977,632,1546,0,0.0,0,0,0,1576,49.5,648,928,698,1522,94.59,908,614,1479,1,0.06,1,0,0,86,5.34,68,18,3778,425,26.41,322,103,3126,1096,68.12,585,511,1145,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.06,1,0,0,0,0.0,0,0,0,29,1.8,25,4,6250,6,0.37,6,0,0,51,3.17,37,14,2643,yes,0,3,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Sale,31,yes,0,0,0,1,0,0.0,75,15.15,420,84.85,5,0.61,319,38.98,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
