"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
9310,Gudalur,Coimbatore North,Coimbatore,19840,663,5085,3.9,10220,9620,1062,2164,1074,1090,985,1729,8.7,863,866,997,0,0.0,0,0,0,12344,69.83,7240,5104,1418,8177,41.2,6264,1913,3274,20,0.1,3,17,176,11643,58.7,3953,7690,514,3163,38.05,2003,1160,1727,3748,46.47,3270,478,6841,1266,15.48,991,275,3604,578,7.07,436,142,3070,2473,30.24,1493,980,1523,60,0.01,36,24,1500,52,0.64,38,14,2714,235,2.87,215,20,10750,3401,41.59,2953,448,6592,112,1.37,102,10,10200,427,5.22,360,67,5373,170,2.08,160,10,16000,669,8.18,471,198,2379,yes,0,8,1,1,1,1,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,1,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,1,Perianaickenpa,2,yes,0,0,0,1,0,0.0,490,20.14,1943,79.86,274,9.18,283,9.48,490.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9311,Bilichi,Coimbatore North,Coimbatore,7908,283,2076,3.8,4078,3830,1065,851,443,408,1086,1479,18.7,766,713,1074,4,0.1,2,2,1000,3926,55.63,2426,1500,1617,3736,47.2,2658,1078,2466,113,1.4,9,104,87,4059,51.3,1411,2648,533,2766,74.01,1827,939,1946,720,19.3,616,104,5923,250,6.69,215,35,6143,779,20.85,664,115,5774,1981,53.02,1158,823,1407,5,0.0,4,1,4000,1,0.03,1,0,0,17,0.46,13,4,3250,681,18.23,585,96,6094,22,0.59,18,4,4500,84,2.25,76,8,9500,50,1.34,50,0,0,116,3.1,89,27,3296,yes,0,4,0,0,0,0,1,0,0,0,yes,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,1,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,1,Perianaickenpa,6,yes,0,0,0,1,0,0.0,120,27.27,320,72.73,0,0.0,2354,84.25,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9312,Naickenpalayam,Coimbatore North,Coimbatore,5030,338,1352,3.7,2620,2410,1087,595,309,286,1080,941,18.7,492,449,1096,832,16.5,446,386,1155,2278,51.36,1423,855,1664,2807,55.8,1764,1043,1691,0,0.0,0,0,0,2223,44.2,856,1367,626,2144,76.38,1250,894,1398,419,14.93,326,93,3505,244,8.69,188,56,3357,830,29.57,539,291,1852,1310,46.67,707,603,1172,4,0.0,4,0,0,0,0.0,0,0,0,16,0.57,8,8,1000,355,12.65,282,73,3863,48,1.71,36,12,3000,92,3.28,75,17,4412,41,1.46,41,0,0,111,3.95,72,39,1846,yes,0,2,1,0,0,0,0,0,0,0,yes,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,1,1,Coimbator,22,yes,0,0,0,1,0,0.0,256,49.43,262,50.57,84,5.61,887,59.56,256.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9313,Thadagam RF,Coimbatore North,Coimbatore,186,3,50,3.7,92,94,979,32,14,18,778,0,0.0,0,0,0,185,99.5,91,94,968,38,24.68,27,11,2455,118,63.4,65,53,1226,0,0.0,0,0,0,68,36.6,27,41,659,112,94.92,59,53,1113,3,2.54,3,0,0,3,2.54,3,0,0,6,5.08,5,1,5000,106,89.83,54,52,1038,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,2.54,3,0,0,0,0.0,0,0,0,1,0.85,1,0,0,0,0.0,0,0,0,2,1.69,2,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,1,0,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Coimbator,22,yes,0,0,0,1,7000,99.21,41,100.0,0,0.0,0,0.0,15,0.21,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9314,Anaikatti (North),Coimbatore North,Coimbatore,425,57,107,4.0,226,199,1136,49,27,22,1227,3,0.7,2,1,2000,206,48.5,104,102,1020,165,43.88,111,54,2056,257,60.5,137,120,1142,0,0.0,0,0,0,168,39.5,89,79,1127,227,88.33,111,116,957,3,1.17,3,0,0,27,10.51,23,4,5750,50,19.46,27,23,1174,177,68.87,84,93,903,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,1.17,3,0,0,0,0.0,0,0,0,13,5.06,13,0,0,3,1.17,3,0,0,11,4.28,7,4,1750,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Coimbator,26,yes,0,0,0,1,530,70.58,201,100.0,0,0.0,0,0.0,20,2.71,200.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9315,Anaikatti (South),Coimbatore North,Coimbatore,307,13,82,3.7,162,145,1117,34,14,20,700,5,1.6,4,1,4000,6,2.0,3,3,1000,212,77.66,129,83,1554,106,34.5,89,17,5235,0,0.0,0,0,0,201,65.5,73,128,570,26,24.53,18,8,2250,12,11.32,12,0,0,68,64.15,59,9,6556,9,8.49,8,1,8000,17,16.04,10,7,1429,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,11,10.38,11,0,0,1,0.94,1,0,0,37,34.91,36,1,36000,5,4.72,5,0,0,26,24.53,18,8,2250,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Coimbator,10,yes,0,0,0,1,2000,87.33,150,100.0,0,0.0,0,0.0,140,6.12,150.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9316,Veerapandi,Coimbatore North,Coimbatore,4637,130,1188,3.9,2348,2289,1026,640,314,326,963,492,10.6,240,252,952,2105,45.4,1062,1043,1018,1320,33.02,827,493,1677,2495,53.8,1567,928,1689,2,0.0,0,2,0,2140,46.2,781,1359,575,1996,80.0,1218,778,1566,342,13.71,228,114,2000,157,6.29,121,36,3361,620,24.85,470,150,3133,1339,53.67,720,619,1163,37,0.01,28,9,3111,0,0.0,0,0,0,4,0.16,3,1,3000,333,13.35,220,113,1947,5,0.2,5,0,0,68,2.73,57,11,5182,16,0.64,16,0,0,73,2.93,48,25,1920,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,1,0,16,1,0,1,1,0,0,1,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,1,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,1,Coimbator,26,yes,0,0,0,1,1286,35.94,121,7.71,1448,92.29,315,8.8,408,11.41,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9317,Chinnathadagam,Coimbatore North,Coimbatore,6340,621,1644,3.9,3219,3121,1031,715,360,355,1014,1001,15.8,483,518,932,32,0.5,26,6,4333,3283,58.36,1993,1290,1545,2682,42.3,1999,683,2927,180,2.8,8,172,47,3478,54.9,1212,2266,535,1596,59.47,1132,464,2440,582,21.74,458,124,3694,504,18.79,409,95,4305,494,18.42,448,46,9739,1082,40.34,666,416,1601,19,0.01,17,2,8500,1,0.04,1,0,0,64,2.39,52,12,4333,466,17.38,358,108,3315,52,1.94,48,4,12000,185,6.9,163,22,7409,63,2.35,62,1,62000,256,9.55,184,72,2556,yes,0,2,1,1,1,0,0,0,0,0,yes,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,yes,0,0,0,1,1,yes,0,1,1,1,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,1,Coimbator,15,yes,0,0,0,1,6,0.59,192,25.67,556,74.33,241,23.62,25,2.46,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9318,Nanjundapuram,Coimbatore North,Coimbatore,6661,556,1667,4.0,3324,3337,996,738,397,341,1164,1165,17.5,578,587,985,13,0.2,0,13,0,3529,59.58,2120,1409,1505,3480,52.2,2170,1310,1656,0,0.0,0,0,0,3181,47.8,1154,2027,569,2551,73.19,1434,1117,1284,429,12.44,371,58,6397,500,14.37,365,135,2704,716,20.57,477,239,1996,1786,51.32,914,872,1048,45,0.01,40,5,8000,4,0.11,3,1,3000,32,0.92,19,13,1462,346,9.94,306,40,7650,51,1.47,46,5,9200,229,6.58,164,65,2523,59,1.7,59,0,0,212,6.09,142,70,2029,yes,0,6,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,1,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,1,Coimbator,18,yes,0,0,0,1,18,1.54,332,58.98,231,41.02,321,26.79,297,24.74,331.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9319,Somayampalayam,Coimbatore North,Coimbatore,4862,371,1185,4.1,2449,2413,1015,583,298,285,1046,701,14.4,351,350,1003,0,0.0,0,0,0,2240,52.35,1370,870,1575,2277,46.8,1571,706,2225,236,4.9,5,231,22,2349,48.3,873,1476,591,1216,49.98,735,481,1528,712,34.69,542,170,3188,349,15.33,294,55,5345,243,10.67,186,57,3263,878,38.56,483,395,1223,17,0.01,12,5,2400,78,3.43,54,24,2250,12,0.53,8,4,2000,585,25.69,440,145,3034,115,5.05,94,21,4476,157,6.9,145,12,12083,47,2.06,45,2,22500,145,6.37,104,41,2537,yes,0,3,0,0,0,1,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,1,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,1,1,Coimbator,14,yes,0,0,0,1,0,0.0,521,63.46,300,36.54,70,5.34,420,32.04,520.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9320,Pannimadai,Coimbatore North,Coimbatore,8054,1076,2000,4.0,4063,3991,1018,983,501,482,1039,1765,21.9,894,871,1026,0,0.0,0,0,0,3869,54.72,2344,1525,1537,3594,44.6,2537,1057,2400,61,0.8,31,30,1033,4399,54.6,1495,2904,515,1981,55.12,1177,804,1464,1011,28.13,870,141,6170,602,16.75,490,112,4375,263,7.32,233,30,7767,1658,46.13,895,763,1173,60,0.02,49,11,4455,0,0.0,0,0,0,35,0.97,25,10,2500,735,20.45,646,89,7258,241,6.71,199,42,4738,294,8.18,240,54,4444,92,2.56,90,2,45000,216,6.01,160,56,2857,yes,0,4,1,1,0,0,1,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,1,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,1,1,Coimbator,6,yes,0,0,0,1,0,0.0,274,50.83,265,49.17,114,15.24,95,12.64,274.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9321,Thudialur,Coimbatore North,Coimbatore,15553,1798,3893,4.0,8109,7444,1089,1730,870,860,1012,2616,16.8,1312,1304,1006,1,0.0,0,1,0,10378,75.08,6138,4240,1448,6035,38.8,4749,1286,3693,135,0.9,2,133,15,9383,60.3,3358,6025,557,1518,25.15,951,567,1677,2404,39.83,2088,316,6608,2113,35.01,1710,403,4243,235,3.89,201,34,5912,1222,20.25,707,515,1373,61,0.01,43,18,2389,0,0.0,0,0,0,52,0.86,22,30,733,2029,33.62,1832,197,9299,323,5.35,234,89,2629,609,10.09,544,65,8369,489,8.1,467,22,21227,1015,16.82,699,316,2212,yes,0,4,0,0,0,0,0,1,0,0,yes,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,1,1,0,0,0,0,1,0,yes,0,0,yes,0,1,1,1,1,1,Coimbator,8,yes,0,0,0,1,0,0.0,191,39.75,290,60.25,141,16.27,244,28.19,191.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9322,Vellamadai,Coimbatore North,Coimbatore,5115,297,1316,3.9,2590,2525,1026,555,298,257,1160,463,9.1,245,218,1124,0,0.0,0,0,0,2034,44.61,1256,778,1614,2925,57.2,1760,1165,1511,58,1.1,0,58,0,2132,41.7,830,1302,637,2351,80.38,1286,1065,1208,423,14.46,357,66,5409,151,5.16,117,34,3441,325,11.11,285,40,7125,2011,68.75,990,1021,970,15,0.01,11,4,2750,0,0.0,0,0,0,18,0.62,16,2,8000,339,11.59,300,39,7692,66,2.26,41,25,1640,54,1.85,44,10,4400,18,0.62,17,1,17000,79,2.7,56,23,2435,yes,0,4,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,1,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,1,coimbator,5,yes,0,0,0,1,0,0.0,1274,79.16,336,20.84,95,5.49,17,0.99,1274.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
