STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,1,,0,0,0,DISTRICT,Thiruvallur,Total,633033,2754756,1397407,1357349,329761,168476,161285,600858,301316,299542,37858,18880,18978,1865707,1047763,817944,889049,349644,539405,1037097,768717,268380,850994,664944,186050,79159,60478,18681,158833,94447,64386,39476,24205,15271,573526,485814,87712,186103,103773,82330,9369,4465,4904,96101,43491,52610,10869,3692,7177,69764,52125,17639,1717659,628690,1088969,0.0
33,1,,0,0,0,DISTRICT,Thiruvallur,Rural,289593,1254674,629052,625622,158575,80920,77655,400496,200050,200446,28885,14466,14419,736374,427393,308981,518300,201659,316641,533464,354775,178689,398763,286816,111947,73300,56306,16994,149034,87882,61152,21999,13799,8200,154430,128829,25601,134701,67959,66742,8641,4132,4509,91570,41335,50235,7218,2522,4696,27272,19970,7302,721210,274277,446933,0.0
33,1,,0,0,0,DISTRICT,Thiruvallur,Urban,343440,1500082,768355,731727,171186,87556,83630,200362,101266,99096,8973,4414,4559,1129333,620370,508963,370749,147985,222764,503633,413942,89691,452231,378128,74103,5859,4172,1687,9799,6565,3234,17477,10406,7071,419096,356985,62111,51402,35814,15588,728,333,395,4531,2156,2375,3651,1170,2481,42492,32155,10337,996449,354413,642036,0.0
33,1,,0,0,0,TALUK,Gummidipoondi,Total,37330,159598,80486,79112,20220,10336,9884,40205,20172,20033,3617,1758,1859,88640,52296,36344,70958,28190,42768,68242,46397,21845,51518,38617,12901,10391,8277,2114,17601,11021,6580,2673,1695,978,20853,17624,3229,16724,7780,8944,1469,676,793,11438,4827,6611,782,174,608,3035,2103,932,91356,34089,57267,1.0
33,1,,0,0,0,TALUK,Gummidipoondi,Rural,33605,143402,71979,71423,18073,9198,8875,38408,19222,19186,3434,1666,1768,77345,45779,31566,66057,26200,39857,62501,41704,20797,46596,34413,12183,10163,8090,2073,17453,10912,6541,2596,1654,942,16384,13757,2627,15905,7291,8614,1463,672,791,11190,4694,6496,729,152,577,2523,1773,750,80901,30275,50626,1.0
33,1,,0,0,0,TALUK,Gummidipoondi,Urban,3725,16196,8507,7689,2147,1138,1009,1797,950,847,183,92,91,11295,6517,4778,4901,1990,2911,5741,4693,1048,4922,4204,718,228,187,41,148,109,39,77,41,36,4469,3867,602,819,489,330,6,4,2,248,133,115,53,22,31,512,330,182,10455,3814,6641,1.0
33,1,,100,0,0,VILLAGE,Egumadurai,Rural,275,1087,544,543,155,82,73,764,384,380,27,14,13,530,291,239,557,253,304,428,328,100,278,240,38,150,144,6,119,91,28,0,0,0,9,5,4,150,88,62,6,2,4,137,83,54,3,1,2,4,2,2,659,216,443,1.0
33,1,,200,0,0,VILLAGE,Naidukuppam,Rural,67,320,159,161,30,14,16,58,26,32,0,0,0,186,116,70,134,43,91,178,93,85,109,76,33,64,59,5,12,6,6,27,5,22,6,6,0,69,17,52,10,5,5,15,6,9,39,3,36,5,3,2,142,66,76,1.0
33,1,,300,0,0,VILLAGE,Arambakkam ,Rural,1810,8475,4183,4292,1218,616,602,1044,473,571,101,47,54,4107,2372,1735,4368,1811,2557,2816,2293,523,2317,2049,268,198,187,11,326,296,30,35,23,12,1758,1543,215,499,244,255,15,2,13,353,146,207,11,7,4,120,89,31,5659,1890,3769,1.0
33,1,,400,0,0,VILLAGE,Poovalai,Rural,309,1445,732,713,195,99,96,471,248,223,41,21,20,460,277,183,985,455,530,627,408,219,296,255,41,44,44,0,176,162,14,58,31,27,18,18,0,331,153,178,0,0,0,183,17,166,1,0,1,147,136,11,818,324,494,1.0
33,1,,500,0,0,VILLAGE,Kannambakkam,Rural,264,1018,509,509,115,59,56,621,314,307,53,27,26,570,346,224,448,163,285,432,309,123,425,305,120,187,152,35,199,118,81,9,9,0,30,26,4,7,4,3,0,0,0,5,4,1,2,0,2,0,0,0,586,200,386,1.0
33,1,,600,0,0,VILLAGE,Pallavada,Rural,409,1553,740,813,142,61,81,715,344,371,70,30,40,765,442,323,788,298,490,740,417,323,637,375,262,159,124,35,427,209,218,1,1,0,50,41,9,103,42,61,1,0,1,101,41,60,0,0,0,1,1,0,813,323,490,1.0
33,1,,700,0,0,VILLAGE,Sanaputhur,Rural,624,2619,1358,1261,344,184,160,1650,856,794,76,40,36,1219,725,494,1400,633,767,1117,773,344,896,670,226,367,298,69,464,332,132,3,3,0,62,37,25,221,103,118,9,3,6,211,100,111,0,0,0,1,0,1,1502,585,917,1.0
33,1,,800,0,0,VILLAGE,Edur,Rural,573,2372,1213,1159,293,161,132,874,458,416,6,4,2,1029,666,363,1343,547,796,1014,687,327,831,651,180,389,316,73,315,229,86,13,4,9,114,102,12,183,36,147,56,12,44,94,17,77,20,2,18,13,5,8,1358,526,832,1.0
33,1,,900,0,0,VILLAGE,Medhipalayam,Rural,208,863,433,430,139,81,58,0,0,0,0,0,0,343,209,134,520,224,296,272,243,29,224,211,13,11,10,1,24,20,4,4,4,0,185,177,8,48,32,16,2,0,2,33,21,12,1,0,1,12,11,1,591,190,401,1.0
33,1,,1000,0,0,VILLAGE,Sunnambukkulam,Rural,640,2618,1277,1341,307,142,165,176,94,82,0,0,0,1399,809,590,1219,468,751,856,701,155,658,560,98,107,83,24,89,82,7,14,5,9,448,390,58,198,141,57,115,84,31,9,4,5,5,3,2,69,50,19,1762,576,1186,1.0
33,1,,1100,0,0,VILLAGE,Obasamudram,Rural,708,2963,1467,1496,348,173,175,271,128,143,0,0,0,1344,818,526,1619,649,970,1365,860,505,731,542,189,116,90,26,236,158,78,70,24,46,309,270,39,634,318,316,67,48,19,147,53,94,167,23,144,253,194,59,1598,607,991,1.0
33,1,,1200,0,0,VILLAGE,Melakalani,Rural,395,1648,821,827,218,112,106,176,85,91,3,2,1,811,519,292,837,302,535,931,503,428,783,477,306,150,114,36,557,298,259,1,0,1,75,65,10,148,26,122,1,1,0,145,24,121,0,0,0,2,1,1,717,318,399,1.0
33,1,,1300,0,0,VILLAGE,Appavaram,Rural,186,858,411,447,120,58,62,4,1,3,0,0,0,380,240,140,478,171,307,230,179,51,228,178,50,39,38,1,120,86,34,2,0,2,67,54,13,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,628,232,396,1.0
33,1,,1400,0,0,VILLAGE,Sennavaram,Rural,140,582,281,301,67,25,42,25,9,16,50,24,26,247,151,96,335,130,205,213,153,60,63,55,8,49,42,7,0,0,0,0,0,0,14,13,1,150,98,52,0,0,0,134,82,52,0,0,0,16,16,0,369,128,241,1.0
33,1,,1500,0,0,VILLAGE,Natham,Rural,469,2030,1020,1010,282,151,131,86,42,44,0,0,0,1039,632,407,991,388,603,797,597,200,380,313,67,208,184,24,80,59,21,3,2,1,89,68,21,417,284,133,115,98,17,40,21,19,10,1,9,252,164,88,1233,423,810,1.0
33,1,,1600,0,0,VILLAGE,Elavur,Rural,1139,4856,2546,2310,607,323,284,511,260,251,41,23,18,2353,1551,802,2503,995,1508,2617,1627,990,2145,1572,573,623,447,176,500,280,220,56,45,11,966,800,166,472,55,417,169,5,164,154,27,127,85,5,80,64,18,46,2239,919,1320,1.0
33,1,,1700,0,0,VILLAGE,Narasingapuram,Rural,173,701,346,355,98,46,52,0,0,0,0,0,0,263,177,86,438,169,269,236,182,54,221,178,43,85,78,7,67,43,24,2,1,1,67,56,11,15,4,11,7,3,4,7,1,6,0,0,0,1,0,1,465,164,301,1.0
33,1,,1800,0,0,VILLAGE,Thurapallam,Rural,589,2479,1244,1235,302,152,150,11,7,4,5,3,2,1523,909,614,956,335,621,946,694,252,776,584,192,87,79,8,55,17,38,7,4,3,627,484,143,170,110,60,49,37,12,88,53,35,1,0,1,32,20,12,1533,550,983,1.0
33,1,,1900,0,0,VILLAGE,Peria obulapuram,Rural,602,2553,1305,1248,303,156,147,455,231,224,7,3,4,1351,856,495,1202,449,753,1109,775,334,885,631,254,345,283,62,300,139,161,16,13,3,224,196,28,224,144,80,3,3,0,196,124,72,0,0,0,25,17,8,1444,530,914,1.0
33,1,,2000,0,0,VILLAGE,Eguvarpalayam,Rural,830,3359,1745,1614,445,250,195,1573,845,728,166,87,79,1657,1012,645,1702,733,969,1394,970,424,661,484,177,263,185,78,115,59,56,5,3,2,278,237,41,733,486,247,7,5,2,672,437,235,9,4,5,45,40,5,1965,775,1190,1.0
33,1,,2100,0,0,VILLAGE,Soorapundi,Rural,304,1188,605,583,134,79,55,493,261,232,98,47,51,669,409,260,519,196,323,552,337,215,395,246,149,107,64,43,166,91,75,2,0,2,120,91,29,157,91,66,1,0,1,138,79,59,5,3,2,13,9,4,636,268,368,1.0
33,1,,2200,0,0,VILLAGE,Madaharpakkam ,Rural,1628,7301,3621,3680,836,399,437,1111,557,554,593,280,313,4402,2534,1868,2899,1087,1812,2687,2126,561,2657,2115,542,160,146,14,445,306,139,898,732,166,1154,931,223,30,11,19,2,0,2,1,0,1,8,2,6,19,9,10,4614,1495,3119,1.0
33,1,,2300,0,0,VILLAGE,Manellore,Rural,947,3941,1947,1994,468,240,228,879,441,438,404,194,210,2456,1389,1067,1485,558,927,1551,1082,469,867,705,162,81,73,8,35,26,9,303,251,52,448,355,93,684,377,307,13,8,5,520,310,210,64,19,45,87,40,47,2390,865,1525,1.0
33,1,,2400,0,0,VILLAGE,Pondavakkam,Rural,327,1338,659,679,121,61,60,681,335,346,68,32,36,667,399,268,671,260,411,503,376,127,312,233,79,111,96,15,131,81,50,2,2,0,68,54,14,191,143,48,4,3,1,179,133,46,4,3,1,4,4,0,835,283,552,1.0
33,1,,2500,0,0,VILLAGE,Chedilpakkam,Rural,282,1292,647,645,136,62,74,476,240,236,46,22,24,623,378,245,669,269,400,559,350,209,385,298,87,35,32,3,241,173,68,6,5,1,103,88,15,174,52,122,0,0,0,133,47,86,40,5,35,1,0,1,733,297,436,1.0
33,1,,2600,0,0,VILLAGE,Nemalur,Rural,785,3309,1618,1691,348,157,191,833,398,435,139,63,76,1975,1094,881,1334,524,810,1836,1022,814,1782,1012,770,198,109,89,1110,583,527,143,77,66,331,243,88,54,10,44,2,1,1,44,7,37,4,0,4,4,2,2,1473,596,877,1.0
33,1,,2700,0,0,VILLAGE,Budur,Rural,411,1657,833,824,186,89,97,956,468,488,4,2,2,939,547,392,718,286,432,721,485,236,677,464,213,231,188,43,342,204,138,13,5,8,91,67,24,44,21,23,9,5,4,24,8,16,7,5,2,4,3,1,936,348,588,1.0
33,1,,2900,0,0,VILLAGE,Varnasikuppam ,Rural,216,959,487,472,116,62,54,146,80,66,261,122,139,543,309,234,416,178,238,292,244,48,265,243,22,38,36,2,89,79,10,0,0,0,138,128,10,27,1,26,0,0,0,26,1,25,1,0,1,0,0,0,667,243,424,1.0
33,1,,3000,0,0,VILLAGE,Kannankottai,Rural,499,1873,925,948,217,106,111,1159,564,595,50,24,26,966,567,399,907,358,549,883,554,329,841,534,307,99,89,10,634,354,280,5,4,1,103,87,16,42,20,22,1,1,0,28,10,18,0,0,0,13,9,4,990,371,619,1.0
33,1,,3100,0,0,VILLAGE,Siruvada,Rural,152,713,360,353,92,47,45,480,242,238,0,0,0,324,188,136,389,172,217,416,218,198,37,33,4,27,25,2,3,1,2,3,3,0,4,4,0,379,185,194,0,0,0,378,184,194,1,1,0,0,0,0,297,142,155,1.0
33,1,,3200,0,0,VILLAGE,Panchalai,Rural,315,1399,700,699,194,79,115,517,255,262,0,0,0,591,358,233,808,342,466,828,474,354,448,404,44,252,239,13,161,138,23,6,5,1,29,22,7,380,70,310,103,39,64,255,27,228,18,2,16,4,2,2,571,226,345,1.0
33,1,,3300,0,0,VILLAGE,Vaniamallee,Rural,411,1632,816,816,210,125,85,933,463,470,53,28,25,817,475,342,815,341,474,924,499,425,791,476,315,96,78,18,614,328,286,3,1,2,78,69,9,133,23,110,12,5,7,116,14,102,0,0,0,5,4,1,708,317,391,1.0
33,1,,3400,0,0,VILLAGE,Poovalambedu,Rural,102,420,220,200,36,20,16,321,170,151,0,0,0,182,118,64,238,102,136,268,135,133,265,134,131,6,4,2,234,114,120,13,6,7,12,10,2,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,152,85,67,1.0
33,1,,3500,0,0,VILLAGE,Chithoornatham,Rural,145,606,300,306,97,48,49,220,101,119,0,0,0,276,162,114,330,138,192,315,174,141,310,172,138,51,28,23,206,105,101,16,12,4,37,27,10,5,2,3,0,0,0,2,0,2,2,1,1,1,1,0,291,126,165,1.0
33,1,,3600,0,0,VILLAGE,Pappankuppam   ,Rural,911,3799,1968,1831,483,255,228,890,445,445,178,86,92,2124,1311,813,1675,657,1018,2052,1244,808,934,757,177,86,76,10,100,59,41,27,14,13,721,608,113,1118,487,631,12,9,3,1063,451,612,7,2,5,36,25,11,1747,724,1023,1.0
33,1,,3700,0,0,VILLAGE,Chinnaobulapuram,Rural,657,2813,1475,1338,353,181,172,580,280,300,0,0,0,1755,1099,656,1058,376,682,1063,823,240,778,654,124,158,122,36,23,17,6,9,7,2,588,508,80,285,169,116,55,48,7,189,97,92,7,5,2,34,19,15,1750,652,1098,1.0
33,1,,3800,0,0,VILLAGE,Peddikuppam,Rural,1367,5797,2928,2869,833,425,408,649,325,324,5,4,1,3898,2144,1754,1899,784,1115,1940,1567,373,1808,1498,310,99,90,9,335,203,132,44,35,9,1330,1170,160,132,69,63,14,7,7,55,34,21,11,6,5,52,22,30,3857,1361,2496,1.0
33,1,,3900,0,0,VILLAGE,Theruali,Rural,1336,5759,2918,2841,772,404,368,398,199,199,75,37,38,3778,2172,1606,1981,746,1235,2392,1688,704,1962,1532,430,508,377,131,369,198,171,18,9,9,1067,948,119,430,156,274,40,15,25,265,56,209,6,2,4,119,83,36,3367,1230,2137,1.0
33,1,,4000,0,0,VILLAGE,Authupakkam,Rural,521,2154,1077,1077,237,118,119,209,111,98,0,0,0,1144,703,441,1010,374,636,1131,656,475,754,486,268,126,96,30,451,230,221,19,16,3,158,144,14,377,170,207,17,10,7,258,87,171,0,0,0,102,73,29,1023,421,602,1.0
33,1,,4100,0,0,VILLAGE,Mangavaram,Rural,365,1535,786,749,194,110,84,223,113,110,0,0,0,798,489,309,737,297,440,626,452,174,524,424,100,134,126,8,206,130,76,28,21,7,156,147,9,102,28,74,9,4,5,85,22,63,7,2,5,1,0,1,909,334,575,1.0
33,1,,4200,0,0,VILLAGE,Vazhuthalambedu,Rural,398,1645,817,828,189,97,92,517,248,269,0,0,0,774,461,313,871,356,515,661,452,209,573,409,164,160,95,65,219,150,69,18,15,3,176,149,27,88,43,45,1,1,0,73,32,41,2,0,2,12,10,2,984,365,619,1.0
33,1,,4300,0,0,VILLAGE,Rettambedu,Rural,185,762,378,384,97,50,47,328,164,164,0,0,0,491,280,211,271,98,173,377,230,147,377,230,147,39,31,8,246,115,131,11,9,2,81,75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,148,237,1.0
33,1,,4400,0,0,VILLAGE,Kuriviagaram,Rural,173,708,341,367,81,42,39,501,241,260,0,0,0,431,248,183,277,93,184,407,223,184,400,221,179,62,51,11,288,128,160,3,1,2,47,41,6,7,2,5,0,0,0,6,1,5,0,0,0,1,1,0,301,118,183,1.0
33,1,,4500,0,0,VILLAGE,Chinnasozhiambakkam,Rural,84,306,157,149,47,21,26,0,0,0,0,0,0,148,92,56,158,65,93,133,79,54,99,74,25,13,13,0,17,16,1,2,1,1,67,44,23,34,5,29,3,1,2,3,0,3,0,0,0,28,4,24,173,78,95,1.0
33,1,,4600,0,0,VILLAGE,Ayanallur  ,Rural,560,2320,1166,1154,286,149,137,1223,621,602,0,0,0,1163,731,432,1157,435,722,1006,688,318,566,460,106,115,94,21,291,224,67,5,2,3,155,140,15,440,228,212,7,7,0,415,208,207,2,0,2,16,13,3,1314,478,836,1.0
33,1,,4700,0,0,VILLAGE,Enadhimelpakkam,Rural,161,651,322,329,72,35,37,289,143,146,0,0,0,426,236,190,225,86,139,223,182,41,64,63,1,17,17,0,5,5,0,0,0,0,42,41,1,159,119,40,0,0,0,109,78,31,2,0,2,48,41,7,428,140,288,1.0
33,1,,4800,0,0,VILLAGE,Peria Soliambakkam,Rural,140,585,298,287,72,33,39,402,201,201,0,0,0,301,186,115,284,112,172,250,160,90,15,13,2,0,0,0,1,0,1,0,0,0,14,13,1,235,147,88,32,26,6,143,84,59,9,0,9,51,37,14,335,138,197,1.0
33,1,,4900,0,0,VILLAGE,Paleswarankandigai,Rural,551,2313,1154,1159,323,157,166,214,103,111,7,5,2,1297,714,583,1016,440,576,1122,707,415,947,677,270,50,31,19,25,14,11,16,5,11,856,627,229,175,30,145,110,14,96,15,3,12,3,1,2,47,12,35,1191,447,744,1.0
33,1,,5000,0,0,VILLAGE,Nangapallam   ,Rural,61,277,142,135,31,19,12,119,65,54,0,0,0,180,101,79,97,41,56,97,68,29,82,64,18,10,9,1,31,21,10,2,1,1,39,33,6,15,4,11,0,0,0,14,4,10,1,0,1,0,0,0,180,74,106,1.0
33,1,,5100,0,0,VILLAGE,Kuruvattucheri,Rural,36,166,84,82,17,9,8,2,1,1,0,0,0,133,69,64,33,15,18,61,52,9,57,51,6,21,19,2,12,9,3,1,1,0,23,22,1,4,1,3,0,0,0,3,1,2,0,0,0,1,0,1,105,32,73,1.0
33,1,,5200,0,0,VILLAGE,Verkadu,Rural,124,510,248,262,78,37,41,9,3,6,3,3,0,326,176,150,184,72,112,167,128,39,141,115,26,14,7,7,13,12,1,2,1,1,112,95,17,26,13,13,7,2,5,12,5,7,1,0,1,6,6,0,343,120,223,1.0
33,1,,5300,0,0,VILLAGE,Pudugummidipundi,Rural,470,2120,1084,1036,309,153,156,137,60,77,96,47,49,1358,783,575,762,301,461,953,627,326,899,613,286,146,102,44,201,120,81,145,59,86,407,332,75,54,14,40,1,0,1,30,12,18,13,0,13,10,2,8,1167,457,710,1.0
33,1,,5400,0,0,VILLAGE,Karumbukuppam,Rural,277,1167,604,563,171,82,89,514,248,266,34,19,15,574,362,212,593,242,351,537,378,159,291,253,38,130,121,9,82,55,27,0,0,0,79,77,2,246,125,121,4,0,4,237,123,114,5,2,3,0,0,0,630,226,404,1.0
33,1,,5500,0,0,VILLAGE,Sinthalakuppam,Rural,59,276,147,129,32,16,16,209,110,99,0,0,0,127,80,47,149,67,82,120,70,50,114,66,48,6,4,2,96,55,41,5,2,3,7,5,2,6,4,2,4,3,1,2,1,1,0,0,0,0,0,0,156,77,79,1.0
33,1,,5600,0,0,VILLAGE,Sirupulalpettai  ,Rural,937,4071,1991,2080,543,269,274,729,339,390,142,66,76,2108,1238,870,1963,753,1210,1857,1213,644,1378,1026,352,476,343,133,400,275,125,54,33,21,448,375,73,479,187,292,21,5,16,370,151,219,16,8,8,72,23,49,2214,778,1436,1.0
33,1,,5700,0,0,VILLAGE,Amirthamangalam,Rural,118,472,224,248,71,32,39,203,101,102,18,8,10,220,123,97,252,101,151,197,137,60,195,137,58,52,40,12,69,37,32,8,4,4,66,56,10,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,275,87,188,1.0
33,1,,5800,0,0,VILLAGE,Chinnapuliyur,Rural,75,270,129,141,34,11,23,20,8,12,0,0,0,151,93,58,119,36,83,125,73,52,124,73,51,3,3,0,107,62,45,0,0,0,14,8,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,145,56,89,1.0
33,1,,5900,0,0,VILLAGE,Periapuliyur,Rural,138,597,304,293,67,39,28,333,172,161,0,0,0,325,199,126,272,105,167,332,188,144,94,87,7,80,75,5,5,4,1,0,0,0,9,8,1,238,101,137,1,1,0,236,99,137,0,0,0,1,1,0,265,116,149,1.0
33,1,,6000,0,0,VILLAGE,Kollanur,Rural,190,1196,592,604,86,38,48,43,38,5,0,0,0,748,410,338,448,182,266,854,421,433,328,261,67,198,168,30,62,38,24,19,15,4,49,40,9,526,160,366,39,7,32,395,103,292,33,1,32,59,49,10,342,171,171,1.0
33,1,,6100,0,0,VILLAGE,Thervoy,Rural,582,2667,1332,1335,357,188,169,1762,868,894,10,4,6,1434,861,573,1233,471,762,1017,693,324,771,572,199,117,109,8,536,364,172,30,19,11,88,80,8,246,121,125,6,3,3,234,115,119,3,2,1,3,1,2,1650,639,1011,1.0
33,1,,6200,0,0,VILLAGE,Karadipudur,Rural,395,1650,853,797,233,120,113,574,296,278,20,9,11,776,497,279,874,356,518,811,448,363,765,428,337,8,3,5,714,388,326,1,1,0,42,36,6,46,20,26,0,0,0,43,17,26,0,0,0,3,3,0,839,405,434,1.0
33,1,,6400,0,0,VILLAGE,Mukkarambakkam,Rural,652,2969,1533,1436,422,225,197,1201,616,585,303,160,143,1474,867,607,1495,666,829,1094,847,247,1047,840,207,100,91,9,791,613,178,18,9,9,138,127,11,47,7,40,0,0,0,46,7,39,0,0,0,1,0,1,1875,686,1189,1.0
33,1,,6500,0,0,VILLAGE,Nelvoy,Rural,180,722,346,376,71,33,38,2,0,2,0,0,0,424,252,172,298,94,204,473,237,236,399,194,205,348,155,193,14,4,10,0,0,0,37,35,2,74,43,31,10,8,2,60,34,26,0,0,0,4,1,3,249,109,140,1.0
33,1,,6600,0,0,VILLAGE,Paleswaram,Rural,181,773,377,396,97,45,52,257,140,117,0,0,0,240,143,97,533,234,299,440,237,203,439,237,202,75,60,15,336,162,174,16,9,7,12,6,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,333,140,193,1.0
33,1,,6700,0,0,VILLAGE,Venkuzhi,Rural,52,241,115,126,30,8,22,0,0,0,3,2,1,109,70,39,132,45,87,145,80,65,109,60,49,44,25,19,48,21,27,3,1,2,14,13,1,36,20,16,11,9,2,21,8,13,0,0,0,4,3,1,96,35,61,1.0
33,1,,6800,0,0,VILLAGE,Sepedu,Rural,53,216,107,109,40,19,21,155,81,74,9,2,7,79,48,31,137,59,78,115,56,59,114,56,58,3,2,1,110,53,57,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,101,51,50,1.0
33,1,,6900,0,0,VILLAGE,Manali,Rural,82,306,168,138,39,23,16,99,56,43,0,0,0,163,106,57,143,62,81,167,99,68,122,93,29,26,25,1,56,31,25,0,0,0,40,37,3,45,6,39,1,0,1,37,1,36,0,0,0,7,5,2,139,69,70,1.0
33,1,,7000,0,0,VILLAGE,Erukkuvoy,Rural,152,632,323,309,69,41,28,253,125,128,15,8,7,278,160,118,354,163,191,310,178,132,144,112,32,111,90,21,13,8,5,0,0,0,20,14,6,166,66,100,45,4,41,110,53,57,3,1,2,8,8,0,322,145,177,1.0
33,1,,7100,0,0,VILLAGE,Karani,Rural,157,704,331,373,79,38,41,27,15,12,69,27,42,360,214,146,344,117,227,329,211,118,169,133,36,47,40,7,85,63,22,5,3,2,32,27,5,160,78,82,4,3,1,129,52,77,6,3,3,21,20,1,375,120,255,1.0
33,1,,7200,0,0,VILLAGE,Pudupalayam,Rural,151,669,331,338,62,29,33,105,51,54,0,0,0,357,222,135,312,109,203,372,220,152,179,141,38,129,98,31,5,4,1,5,3,2,40,36,4,193,79,114,18,5,13,165,67,98,1,0,1,9,7,2,297,111,186,1.0
33,1,,7300,0,0,VILLAGE,Mangalam,Rural,207,805,428,377,116,72,44,263,137,126,4,3,1,410,243,167,395,185,210,386,247,139,257,202,55,40,38,2,129,85,44,2,2,0,86,77,9,129,45,84,5,4,1,101,27,74,0,0,0,23,14,9,419,181,238,1.0
33,1,,7400,0,0,VILLAGE,Palavakkam,Rural,168,694,363,331,112,63,49,517,265,252,0,0,0,310,190,120,384,173,211,305,197,108,121,115,6,33,33,0,71,69,2,0,0,0,17,13,4,184,82,102,1,1,0,175,74,101,0,0,0,8,7,1,389,166,223,1.0
33,1,,7500,0,0,VILLAGE,Kanlur,Rural,167,762,393,369,113,53,60,147,68,79,74,35,39,434,268,166,328,125,203,406,262,144,276,246,30,75,69,6,176,154,22,11,11,0,14,12,2,130,16,114,1,0,1,123,15,108,5,0,5,1,1,0,356,131,225,1.0
33,1,,7600,0,0,VILLAGE,Getnamallee,Rural,327,1389,656,733,160,72,88,0,0,0,0,0,0,836,465,371,553,191,362,716,377,339,704,374,330,46,38,8,346,289,57,222,12,210,90,35,55,12,3,9,0,0,0,8,3,5,3,0,3,1,0,1,673,279,394,1.0
33,1,,7700,0,0,VILLAGE,Thandalacheri,Rural,331,1490,732,758,145,65,80,537,258,279,0,0,0,945,550,395,545,182,363,1046,519,527,521,482,39,456,433,23,22,13,9,3,0,3,40,36,4,525,37,488,61,11,50,448,15,433,2,0,2,14,11,3,444,213,231,1.0
33,1,,7800,0,0,VILLAGE,Annappa Naickankuppam,Rural,510,2179,1102,1077,287,143,144,904,452,452,7,2,5,1060,676,384,1119,426,693,1166,648,518,556,373,183,289,185,104,120,74,46,7,1,6,140,113,27,610,275,335,7,3,4,540,227,313,11,1,10,52,44,8,1013,454,559,1.0
33,1,,7900,0,0,VILLAGE,Melmudalambedu,Rural,354,1348,687,661,178,95,83,1036,524,512,0,0,0,554,348,206,794,339,455,455,357,98,258,235,23,8,8,0,234,214,20,8,6,2,8,7,1,197,122,75,99,67,32,97,54,43,1,1,0,0,0,0,893,330,563,1.0
33,1,,8000,0,0,VILLAGE,Kilmudalambedu ,Rural,1391,6059,2964,3095,724,377,347,1783,869,914,0,0,0,3664,2080,1584,2395,884,1511,2218,1603,615,1509,1037,472,184,144,40,835,518,317,45,13,32,445,362,83,709,566,143,24,15,9,203,157,46,52,25,27,430,369,61,3841,1361,2480,1.0
33,1,,8100,0,0,VILLAGE,Puduvoyal ,Rural,685,2831,1432,1399,342,188,154,1355,682,673,0,0,0,1654,974,680,1177,458,719,1194,814,380,1056,764,292,188,170,18,566,341,225,45,33,12,257,220,37,138,50,88,12,9,3,96,33,63,9,0,9,21,8,13,1637,618,1019,1.0
33,1,,40101000,0,0,TOWN,Gummidipoondi (TP),Urban,3725,16196,8507,7689,2147,1138,1009,1797,950,847,183,92,91,11295,6517,4778,4901,1990,2911,5741,4693,1048,4922,4204,718,228,187,41,148,109,39,77,41,36,4469,3867,602,819,489,330,6,4,2,248,133,115,53,22,31,512,330,182,10455,3814,6641,1.0
33,1,,40101000,1,0,WARD,Gummidipoondi (TP) - Ward No.1,Urban,287,1208,630,578,161,88,73,136,70,66,0,0,0,909,507,402,299,123,176,468,374,94,461,369,92,1,1,0,5,4,1,0,0,0,455,364,91,7,5,2,0,0,0,0,0,0,0,0,0,7,5,2,740,256,484,1.0
33,1,,40101000,2,0,WARD,Gummidipoondi (TP) - Ward No.2,Urban,194,950,479,471,98,44,54,10,6,4,48,26,22,698,388,310,252,91,161,344,260,84,335,256,79,72,54,18,64,53,11,2,1,1,197,148,49,9,4,5,1,0,1,4,2,2,1,1,0,3,1,2,606,219,387,1.0
