"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
16951,Kilamalai RF,Vilavankod,Kanniyakumari,287,2,79,3.6,145,142,1021,44,20,24,833,0,0.0,0,0,0,0,0.0,0,0,0,81,33.33,46,35,1314,95,33.1,93,2,46500,0,0.0,0,0,0,192,66.9,52,140,371,92,96.84,91,1,91000,0,0.0,0,0,0,3,3.16,2,1,2000,92,96.84,91,1,91000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,2.11,2,0,0,1,1.05,0,1,0,no,1,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,2,0,0,0,1,0,Kuzhithura,20,no,0,0,0,0,11586,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16952,Kaliel,Vilavankod,Kanniyakumari,20349,403,4159,4.9,10207,10142,1006,2669,1318,1351,976,1400,6.9,698,702,994,1138,5.6,562,576,976,13710,77.55,7342,6368,1153,6179,30.4,5209,970,5370,2,0.0,1,1,1000,14168,69.6,4997,9171,545,5566,90.03,4735,831,5698,66,1.12,55,11,5000,547,8.85,419,128,3273,1111,17.98,1012,99,10222,3644,58.97,3129,515,6076,808,0.13,591,217,2724,3,0.05,3,0,0,4,0.06,0,4,0,38,0.61,31,7,4429,24,0.39,24,0,0,134,2.17,117,17,6882,62,1.0,58,4,14500,351,5.68,244,107,2280,yes,0,8,6,5,0,0,0,0,0,0,yes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Kuzhithura,19,yes,1,0,0,0,116,2.3,119,2.47,4718,97.53,0,0.0,100,1.98,0.0,0.0,119.28,0.0,0.0,0.0,0.0,0.0
16953,Mancode,Vilavankod,Kanniyakumari,10180,515,2185,4.7,5018,5162,972,1306,662,644,1028,481,4.7,228,253,901,52,0.5,25,27,926,6995,78.83,3580,3415,1048,3211,31.5,2672,539,4957,68,0.7,0,68,0,6901,67.8,2346,4555,515,2752,85.52,2350,402,5846,137,4.45,71,66,1076,322,10.03,251,71,3535,1101,34.29,790,311,2540,1460,45.47,1371,89,15404,185,0.06,183,2,91500,6,0.19,6,0,0,24,0.75,18,6,3000,87,2.71,27,60,450,26,0.81,26,0,0,117,3.64,104,13,8000,51,1.59,49,2,24500,154,4.8,98,56,1750,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,0,1,0,Kuzhithura,14,yes,1,0,0,0,0,0.0,148,9.37,1432,90.63,123,6.25,272,13.76,0.0,0.0,148.13,0.0,0.0,0.0,0.0,0.0
16954,Arumanai,Vilavankod,Kanniyakumari,12791,815,2762,4.6,6285,6506,966,1696,804,892,901,782,6.1,383,399,960,0,0.0,0,0,0,8123,73.21,4241,3882,1092,4152,32.5,3526,626,5633,15,0.1,5,10,500,8624,67.4,2754,5870,469,3434,82.51,3006,428,7023,197,4.94,128,69,1855,521,12.55,392,129,3039,610,14.69,524,86,6093,2577,62.07,2237,340,6579,239,0.06,237,2,118500,8,0.19,8,0,0,15,0.36,8,7,1143,140,3.37,78,62,1258,42,1.01,42,0,0,198,4.77,169,29,5828,58,1.4,56,2,28000,265,6.38,167,98,1704,yes,0,2,0,0,0,0,0,0,0,2,yes,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Kuzhithura,12,yes,1,0,0,0,0,0.0,108,7.35,1367,92.65,36,2.26,59,3.76,0.0,0.0,86.1,0.0,0.0,22.3,0.0,0.0
16955,Vellamcode,Vilavankod,Kanniyakumari,25035,1735,5181,4.8,12502,12533,998,3116,1584,1532,1034,591,2.4,305,286,1066,15,0.1,7,8,875,17567,80.15,9224,8343,1106,7320,29.2,6362,958,6641,2,0.0,0,2,0,17713,70.8,6140,11573,531,5333,72.58,4835,498,9709,736,10.33,509,227,2242,1251,17.09,1018,233,4369,832,11.37,750,82,9146,4239,57.91,3827,412,9289,242,0.03,238,4,59500,20,0.27,20,0,0,16,0.22,8,8,1000,670,9.15,451,219,2059,50,0.68,50,0,0,354,4.84,330,24,13750,151,2.06,145,6,24167,746,10.19,543,203,2675,yes,0,6,3,2,0,0,0,0,0,0,yes,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kuzhithura,9,yes,1,0,0,0,0,0.0,168,13.91,1040,86.09,32,2.25,202,13.99,0.0,0.0,168.07,0.0,0.0,0.0,0.0,0.0
16956,Anducode,Vilavankod,Kanniyakumari,15547,1375,3113,5.0,7754,7793,995,2069,1061,1008,1053,511,3.3,256,255,1004,57,0.4,30,27,1111,11109,82.42,5834,5275,1106,4261,27.4,3802,459,8283,60,0.4,36,24,1500,11226,72.2,3916,7310,536,3084,72.33,2963,121,24488,348,8.21,168,180,933,829,19.46,671,158,4247,689,16.17,648,41,15805,2377,55.79,2297,80,28713,16,0.0,16,0,0,2,0.05,2,0,0,194,4.55,97,97,1000,144,3.38,61,83,735,10,0.23,10,0,0,115,2.7,104,11,9455,81,1.9,73,8,9125,633,14.86,494,139,3554,yes,0,6,4,1,1,0,0,0,0,0,yes,0,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,1,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Kuzhithura,9,yes,1,0,0,0,0,0.0,236,24.9,712,75.1,0,0.0,183,16.16,0.0,0.0,47.67,0.0,0.0,188.27,0.0,0.0
16957,Edaicode,Vilavankod,Kanniyakumari,32058,2798,6450,5.0,15910,16148,985,4087,2074,2013,1030,1359,4.2,655,704,930,60,0.2,31,29,1069,23168,82.83,12066,11102,1087,9395,29.3,7937,1458,5444,447,1.4,74,373,198,22216,69.3,7899,14317,552,6978,74.25,6433,545,11804,903,9.63,347,556,624,1514,16.11,1157,357,3241,1387,14.76,1315,72,18264,5543,59.0,5070,473,10719,46,0.0,46,0,0,2,0.02,2,0,0,405,4.31,130,275,473,448,4.77,169,279,606,50,0.53,48,2,24000,236,2.51,218,18,12111,176,1.87,163,13,12538,1102,11.73,776,326,2380,yes,0,7,3,1,2,0,0,0,1,0,yes,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Kuzhithura,10,yes,1,0,0,0,0,0.0,151,16.63,757,83.37,1,0.11,237,20.69,0.0,0.0,133.64,0.0,0.0,17.32,0.0,0.0
16958,Palugal,Vilavankod,Kanniyakumari,19708,1828,4014,4.9,9764,9944,982,2395,1159,1236,938,1161,5.9,606,555,1092,5,0.0,1,4,250,14228,82.18,7448,6780,1099,5819,29.5,4768,1051,4537,182,0.9,82,100,820,13707,69.6,4914,8793,559,3968,68.1,3663,305,12010,868,15.0,341,527,647,983,16.89,764,219,3489,906,15.57,858,48,17875,2992,51.42,2737,255,10733,65,0.01,63,2,31500,5,0.09,5,0,0,88,1.51,27,61,443,640,11.0,175,465,376,140,2.41,139,1,139000,265,4.55,234,31,7548,142,2.44,136,6,22667,576,9.9,394,182,2165,yes,0,7,4,1,1,0,0,0,0,0,yes,0,0,2,0,2,0,0,0,3,0,0,0,0,4,0,0,yes,0,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Kuzhithura,17,yes,1,0,0,0,0,0.0,142,14.51,839,85.49,70,6.52,26,2.42,0.0,0.0,118.52,0.0,0.0,23.87,0.0,0.0
16959,Vilavancode,Vilavankod,Kanniyakumari,24170,2334,4531,5.3,12113,12057,1005,3080,1555,1525,1020,536,2.2,261,275,949,0,0.0,0,0,0,16953,80.38,9087,7866,1155,6671,27.6,5482,1189,4611,198,0.8,6,192,31,17301,71.6,6625,10676,621,3476,51.43,3373,103,32748,1144,17.82,450,694,648,2051,30.75,1659,392,4232,939,14.08,926,13,71231,2472,37.06,2393,79,30291,20,0.0,19,1,19000,45,0.67,35,10,3500,54,0.81,26,28,929,863,12.94,198,665,298,227,3.4,226,1,226000,849,12.73,751,98,7663,229,3.43,226,3,75333,973,14.59,682,291,2344,yes,0,9,5,3,1,1,0,0,0,1,yes,0,3,2,1,0,0,0,0,4,0,0,0,0,6,0,0,yes,0,0,0,1,0,yes,0,0,1,0,0,1,0,0,0,1,0,yes,0,0,yes,0,1,1,1,0,0,Kuzhithura,2,yes,1,0,0,0,0,0.0,151,16.55,762,83.45,0,0.03,122,11.79,0.0,0.0,50.82,0.0,0.0,100.29,0.0,0.0
16960,Pacode,Vilavankod,Kanniyakumari,28848,2070,5772,5.0,14478,14370,1008,3874,1997,1877,1064,1000,3.5,488,512,953,5,0.0,4,1,4000,19471,77.97,10346,9125,1134,8265,28.7,6857,1408,4870,1,0.0,0,1,0,20582,71.3,7621,12961,588,5389,64.89,4864,525,9265,1321,16.3,840,481,1746,1555,18.81,1153,402,2868,1185,14.34,954,231,4130,4134,50.02,3843,291,13206,44,0.01,41,3,13667,26,0.31,26,0,0,78,0.94,25,53,472,999,12.09,571,428,1334,244,2.95,244,0,0,263,3.18,227,36,6306,215,2.6,204,11,18545,1077,13.03,722,355,2034,yes,0,8,5,2,1,0,0,0,0,0,yes,0,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,1,1,0,0,JKuzhithura,4,yes,1,0,0,0,0,0.0,437,35.0,811,65.0,2,0.13,144,10.32,0.0,0.0,156.2,0.0,0.0,280.51,0.0,0.0
16961,Nalloor,Vilavankod,Kanniyakumari,15609,2210,2959,5.3,7943,7666,1036,2047,1039,1008,1031,240,1.5,118,122,967,7,0.0,3,4,750,11294,83.28,6071,5223,1162,4031,25.8,3596,435,8267,8,0.1,0,8,0,11570,74.1,4347,7223,602,2619,64.97,2558,61,41934,418,10.37,270,148,1824,994,24.66,768,226,3398,767,19.03,752,15,50133,1838,45.6,1792,46,38957,14,0.0,14,0,0,0,0.0,0,0,0,56,1.39,22,34,647,319,7.91,205,114,1798,43,1.07,43,0,0,369,9.15,313,56,5589,154,3.82,149,5,29800,471,11.68,306,165,1855,yes,0,5,2,7,1,1,0,1,0,3,yes,0,0,1,0,0,0,1,0,10,1,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,1,1,0,0,Kuzhithura,1,yes,1,0,0,0,0,0.0,149,22.66,508,77.34,0,0.02,50,7.07,0.0,0.0,129.6,0.0,0.0,19.07,0.0,0.0
16962,Nattalam,Vilavankod,Kanniyakumari,30387,1869,5817,5.2,15300,15087,1014,3945,2045,1900,1076,483,1.6,243,240,1013,0,0.0,0,0,0,21274,80.46,11208,10066,1113,8839,29.1,7597,1242,6117,27,0.1,3,24,125,21521,70.8,7700,13821,557,6160,69.6,5897,263,22422,972,11.09,470,502,936,1707,19.31,1230,477,2579,672,7.6,651,21,31000,5441,61.56,5200,241,21577,39,0.0,38,1,38000,8,0.09,8,0,0,178,2.01,99,79,1253,612,6.92,190,422,450,182,2.06,181,1,181000,354,4.0,314,40,7850,274,3.1,267,7,38143,1079,12.21,649,430,1509,yes,0,8,5,5,0,0,0,0,0,0,yes,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,1,0,0,0,1,1,0,no,2,0,yes,0,1,1,1,0,0,Kuzhithura,6,yes,1,0,0,0,0,0.0,311,21.63,1127,78.37,107,6.59,80,4.94,0.0,0.0,0.0,0.0,0.0,311.05,0.0,0.0
16963,Keezhkulam,Vilavankod,Kanniyakumari,26979,2573,4731,5.7,13751,13228,1040,3828,1973,1855,1064,5,0.0,3,2,1500,0,0.0,0,0,0,17681,76.37,9272,8409,1103,7929,29.4,7025,904,7771,954,3.5,77,877,88,18096,67.1,6649,11447,581,6530,82.34,6085,445,13674,389,4.92,201,188,1069,1010,12.74,739,271,2727,408,5.15,405,3,135000,3759,47.41,3320,439,7563,2362,0.3,2359,3,786333,1,0.01,1,0,0,70,0.88,51,19,2684,259,3.27,90,169,533,60,0.76,60,0,0,215,2.71,179,36,4972,85,1.07,83,2,41500,710,8.95,477,233,2047,yes,0,9,6,2,0,0,0,0,0,0,yes,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,1,0,0,no,3,0,yes,0,1,0,1,0,0,Kuzhithuta,20,yes,1,1,0,0,0,0.0,95,10.59,803,89.41,0,0.04,150,14.3,0.0,0.0,52.77,0.0,0.0,42.35,0.0,0.0
16964,Killiyoor,Vilavankod,Kanniyakumari,18728,1647,3492,5.4,9450,9278,1019,2391,1235,1156,1068,528,2.8,276,252,1095,0,0.0,0,0,0,13012,79.65,6952,6060,1147,5051,27.0,4248,803,5290,725,3.9,318,407,781,12952,69.2,4884,8068,605,2995,59.2,2885,110,26227,754,15.03,331,423,783,1302,25.78,1032,270,3822,734,14.53,715,19,37632,2216,43.87,2125,91,23352,40,0.01,40,0,0,5,0.1,5,0,0,232,4.59,83,149,557,386,7.64,112,274,409,136,2.69,136,0,0,145,2.87,127,18,7056,122,2.42,117,5,23400,1035,20.49,788,247,3190,yes,0,7,5,1,1,0,0,0,0,0,yes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,1,0,0,no,1,0,yes,0,1,0,1,0,0,Kuzhithura,10,yes,1,1,0,0,0,0.0,178,18.34,790,81.66,0,0.03,170,14.96,0.0,0.0,128.77,0.0,0.0,48.57,0.0,0.0
16965,Paloor,Vilavankod,Kanniyakumari,13942,1449,2691,5.2,7045,6897,1021,1686,884,802,1102,224,1.6,104,120,867,0,0.0,0,0,0,10065,82.12,5337,4728,1129,3761,27.0,3068,693,4427,478,3.4,105,373,282,9703,69.6,3872,5831,664,2135,56.21,1940,195,9949,794,21.67,491,303,1620,832,22.12,637,195,3267,353,9.39,347,6,57833,1756,46.69,1569,187,8390,5,0.0,5,0,0,21,0.56,19,2,9500,286,7.6,122,164,744,234,6.22,95,139,683,274,7.29,274,0,0,106,2.82,98,8,12250,100,2.66,99,1,99000,626,16.64,440,186,2366,yes,0,3,3,1,1,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,1,0,0,no,3,0,yes,0,1,0,1,0,0,Kuzhithura,15,yes,1,1,0,0,0,0.0,135,15.69,726,84.31,5,0.48,97,10.09,0.0,0.0,85.86,0.0,0.0,49.14,0.0,0.0
16966,Midalam,Vilavankod,Kanniyakumari,28758,1791,5502,5.2,14552,14206,1024,3427,1718,1709,1005,803,2.8,395,408,968,54,0.2,29,25,1160,20139,79.5,10636,9503,1119,8507,29.6,6952,1555,4471,321,1.1,128,193,663,19930,69.3,7472,12458,600,5117,60.06,4553,564,8073,1306,15.45,908,398,2281,2084,24.5,1491,593,2514,1610,18.93,1377,233,5910,3308,38.89,2977,331,8994,191,0.02,191,0,0,8,0.09,8,0,0,251,2.95,127,124,1024,590,6.94,318,272,1169,465,5.47,463,2,231500,517,6.08,382,135,2830,195,2.29,189,6,31500,1372,16.13,920,452,2035,yes,0,3,4,2,2,0,0,0,0,0,yes,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,0,1,0,0,0,0,1,1,0,no,3,0,yes,0,1,0,1,0,0,Kuzhithura,13,yes,1,1,0,0,0,0.0,591,40.49,869,59.51,0,0.02,146,9.08,0.0,0.0,449.39,0.0,0.0,141.61,0.0,0.0
16967,Keezhmidalam,Vilavankod,Kanniyakumari,16631,1747,3200,5.2,8474,8157,1039,2115,1088,1027,1059,494,3.0,254,240,1058,0,0.0,0,0,0,11766,81.06,6219,5547,1121,4637,27.9,4069,568,7164,335,2.0,57,278,205,11659,70.1,4348,7311,595,2707,58.31,2611,96,27198,963,20.83,798,165,4836,967,20.85,660,307,2150,683,14.73,659,24,27458,1319,28.45,1250,69,18116,702,0.15,699,3,233000,3,0.06,3,0,0,31,0.67,7,24,292,408,8.8,269,139,1935,524,11.3,522,2,261000,125,2.7,105,20,5250,74,1.6,72,2,36000,768,16.56,483,285,1695,yes,0,7,3,2,1,0,0,0,0,0,yes,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,1,0,0,no,3,0,yes,0,1,0,1,0,0,Kuzhithura,5,yes,1,1,0,0,0,0.0,178,21.9,636,78.1,0,0.02,138,14.5,0.0,0.0,77.13,0.0,0.0,101.09,0.0,0.0
16968,Kunnathoor,Vilavankod,Kanniyakumari,20554,2136,4024,5.1,10336,10218,1012,2699,1413,1286,1099,568,2.8,277,291,952,0,0.0,0,0,0,14607,81.81,7787,6820,1142,6290,30.6,5252,1038,5060,5,0.0,0,5,0,14259,69.4,5084,9175,554,3559,56.04,3336,223,14960,1523,24.75,1003,520,1929,1208,19.21,913,295,3095,1106,17.58,1054,52,20269,2392,38.03,2222,170,13071,27,0.0,26,1,26000,34,0.54,34,0,0,195,3.1,89,106,840,774,12.31,363,411,883,554,8.81,551,3,183667,299,4.75,251,48,5229,191,3.04,191,0,0,718,11.41,471,247,1907,yes,0,8,5,3,0,0,0,0,0,1,yes,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kuzhithura,6,yes,1,0,0,0,0,0.0,142,19.82,574,80.18,0,0.05,246,25.53,0.0,0.0,9.1,0.0,0.0,132.79,0.0,0.0
16969,Kulappuram,Vilavankod,Kanniyakumari,20418,2036,4030,5.1,10330,10088,1024,2536,1296,1240,1045,535,2.6,260,275,945,0,0.0,0,0,0,14679,82.09,7903,6776,1166,4721,23.1,3952,769,5139,332,1.6,179,153,1170,15365,75.3,6199,9166,676,2470,51.87,2301,169,13615,836,18.15,577,259,2228,1415,29.97,1074,341,3150,578,12.24,560,18,31111,1845,39.08,1701,144,11813,26,0.01,21,5,4200,21,0.44,19,2,9500,80,1.69,63,17,3706,414,8.77,173,241,718,342,7.24,341,1,341000,376,7.96,332,44,7545,179,3.79,172,7,24571,860,18.22,570,290,1966,yes,0,6,6,2,0,0,0,0,0,0,yes,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kuzhithura,10,yes,1,0,0,0,0,0.0,108,11.31,850,88.69,0,0.04,44,4.42,0.0,0.0,0.0,0.0,0.0,108.37,0.0,0.0
16970,Methukummal,Vilavankod,Kanniyakumari,18413,1934,3701,5.0,9284,9129,1017,2235,1160,1075,1079,876,4.8,439,437,1005,31,0.2,15,16,938,13126,81.13,6815,6311,1080,4878,26.5,4170,708,5890,153,0.8,144,9,16000,13382,72.7,4970,8412,591,3341,68.37,3079,262,11752,682,14.1,417,265,1574,855,17.53,674,181,3724,1218,24.97,1145,73,15685,2116,43.38,1927,189,10196,1,0.0,1,0,0,6,0.12,6,0,0,55,1.13,14,41,341,442,9.06,219,223,982,185,3.79,184,1,184000,137,2.81,128,9,14222,128,2.62,127,1,127000,590,12.1,419,171,2450,yes,0,5,3,1,0,0,0,0,0,0,yes,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Kuzhithura,7,yes,1,0,0,0,0,0.0,240,27.16,643,72.84,0,0.01,70,7.35,0.0,0.0,0.0,0.0,0.0,239.55,0.0,0.0
16971,Kollencode,Vilavankod,Kanniyakumari,35984,2805,7033,5.1,18257,17727,1030,5119,2592,2527,1026,1212,3.4,589,623,945,50,0.1,21,29,724,22180,71.86,11658,10522,1108,9669,26.9,8178,1491,5485,668,1.9,388,280,1386,25647,71.3,9691,15956,607,5961,61.61,5549,412,13468,1582,16.4,950,632,1503,2126,21.99,1679,447,3756,621,6.42,590,31,19032,2772,28.67,2395,377,6353,2564,0.27,2560,4,640000,4,0.04,4,0,0,54,0.56,28,26,1077,1211,12.52,613,598,1025,317,3.28,309,8,38625,495,5.12,406,89,4562,181,1.87,173,8,21625,1450,15.0,1100,350,3143,yes,0,13,5,4,0,0,0,0,0,1,yes,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,0,0,1,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Kuzhithura,15,yes,1,0,0,0,0,0.0,155,14.0,952,86.0,9,0.74,166,12.94,0.0,0.0,0.0,0.0,0.0,154.99,0.0,0.0
