"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
2956,Sevaganapalli,Hosur,Dharmapuri,1107,204,220,5.0,569,538,1058,147,71,76,934,171,15.4,86,85,1012,0,0.0,0,0,0,507,52.81,329,178,1848,423,38.2,369,54,6833,1,0.1,0,1,0,683,61.7,200,483,414,392,92.67,343,49,7000,16,3.78,15,1,15000,15,3.55,11,4,2750,391,92.43,342,49,6980,1,0.24,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.47,1,1,1000,14,3.31,14,0,0,0,0.0,0,0,0,1,0.24,1,0,0,3,0.71,3,0,0,11,2.6,7,4,1750,yes,0,1,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Hosu,16,yes,1,0,0,0,0,0.0,49,10.86,405,89.14,26,4.81,62,11.34,25.1,0.0,24.29,0.0,0.0,0.0,0.0,0.0
2957,Kagganur,Hosur,Dharmapuri,810,436,125,6.5,425,385,1104,107,54,53,1019,256,31.6,133,123,1081,0,0.0,0,0,0,324,46.09,217,107,2028,317,39.1,252,65,3877,0,0.0,0,0,0,493,60.9,173,320,541,293,92.43,230,63,3651,9,2.84,9,0,0,15,4.73,13,2,6500,255,80.44,230,25,9200,38,11.99,0,38,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,2.84,9,0,0,0,0.0,0,0,0,4,1.26,4,0,0,2,0.63,2,0,0,9,2.84,7,2,3500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Hosu,16,yes,1,0,0,0,0,0.0,18,13.13,118,86.87,35,19.04,14,7.68,3.1,0.0,14.79,0.0,0.0,0.0,0.0,0.0
2958,Sokkarasanapalli,Hosur,Dharmapuri,592,243,98,6.0,298,294,1014,93,53,40,1325,80,13.5,44,36,1222,0,0.0,0,0,0,281,56.31,170,111,1532,191,32.3,180,11,16364,63,10.6,1,62,16,338,57.1,117,221,529,131,67.54,124,7,17714,50,27.23,47,3,15667,10,5.24,9,1,9000,129,67.54,122,7,17429,0,0.0,0,0,0,0,0.0,0,0,0,2,1.05,2,0,0,0,0.0,0,0,0,50,26.18,47,3,15667,0,0.0,0,0,0,4,2.09,4,0,0,1,0.52,1,0,0,5,2.62,4,1,4000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,1,0,Hosu,12,yes,1,0,0,0,0,0.0,0,0.0,183,100.0,12,4.92,49,19.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2959,Singasadanapalli,Hosur,Dharmapuri,636,234,104,6.1,324,312,1038,114,58,56,1036,319,50.2,164,155,1058,0,0.0,0,0,0,98,18.77,76,22,3455,269,42.3,199,70,2843,0,0.0,0,0,0,367,57.7,125,242,517,263,97.77,195,68,2868,1,0.37,1,0,0,5,1.86,3,2,1500,130,48.33,129,1,129000,133,49.44,66,67,985,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.37,1,0,0,0,0.0,0,0,0,1,0.37,1,0,0,0,0.0,0,0,0,4,1.49,2,2,1000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Hosu,16,yes,1,0,0,0,0,0.0,32,12.75,219,87.25,0,0.0,21,7.76,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
2960,Belathur,Hosur,Dharmapuri,1413,209,316,4.5,766,647,1184,280,153,127,1205,204,14.4,109,95,1147,0,0.0,0,0,0,688,60.72,431,257,1677,502,35.5,450,52,8654,0,0.0,0,0,0,911,64.5,316,595,531,249,49.6,211,38,5553,245,48.8,233,12,19417,8,1.59,6,2,3000,141,28.09,141,0,0,107,21.31,69,38,1816,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,243,48.41,231,12,19250,2,0.4,2,0,0,2,0.4,2,0,0,1,0.2,1,0,0,5,1.0,3,2,1500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,0,1,0,Hosu,19,yes,1,0,0,0,0,0.0,30,17.08,146,82.92,325,48.18,174,25.81,3.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
2961,Boppalapuram,Hosur,Dharmapuri,1519,1745,344,4.4,803,716,1122,323,149,174,856,135,8.9,72,63,1143,0,0.0,0,0,0,613,51.25,411,202,2035,599,39.4,499,100,4990,14,0.9,0,14,0,906,59.6,304,602,505,292,48.75,236,56,4214,242,40.4,222,20,11100,65,10.85,41,24,1708,262,43.74,215,47,4574,18,3.01,10,8,1250,12,0.02,11,1,11000,0,0.0,0,0,0,1,0.17,1,0,0,229,38.23,210,19,11053,12,2.0,11,1,11000,21,3.51,13,8,1625,6,1.0,6,0,0,38,6.34,22,16,1375,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Hosu,12,yes,1,0,0,0,88,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2962,Devaripalli,Hosur,Dharmapuri,1002,197,165,6.1,518,484,1070,202,95,107,888,169,16.9,95,74,1284,14,1.4,5,9,556,477,59.63,306,171,1789,421,42.0,280,141,1986,0,0.0,0,0,0,581,58.0,238,343,694,346,82.19,226,120,1883,55,13.06,39,16,2438,20,4.75,15,5,3000,218,51.78,156,62,2516,128,30.4,70,58,1207,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,55,13.06,39,16,2438,0,0.0,0,0,0,7,1.66,5,2,2500,2,0.48,2,0,0,11,2.61,8,3,2667,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,no,3,0,0,0,1,0,Hosu,35,yes,1,0,0,0,0,0.0,44,9.34,427,90.66,0,0.0,37,7.31,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
2963,Baliganapalli,Hosur,Dharmapuri,529,161,90,5.9,270,259,1042,93,52,41,1268,199,37.6,101,98,1031,0,0.0,0,0,0,193,44.27,128,65,1969,157,29.7,141,16,8813,1,0.2,0,1,0,371,70.1,129,242,533,145,92.36,131,14,9357,3,1.91,3,0,0,9,5.73,7,2,3500,95,60.51,95,0,0,50,31.85,36,14,2571,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,1.91,3,0,0,0,0.0,0,0,0,1,0.64,1,0,0,1,0.64,1,0,0,7,4.46,5,2,2500,no,2,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,no,2,0,0,0,1,0,HOsu,35,yes,1,0,0,0,0,0.0,0,0.0,101,100.0,203,62.67,23,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2964,Idipalli,Hosur,Dharmapuri,467,374,83,5.6,244,223,1094,77,42,35,1200,149,31.9,78,71,1099,0,0.0,0,0,0,142,36.41,102,40,2550,188,40.3,159,29,5483,11,2.4,0,11,0,268,57.4,85,183,464,173,92.02,149,24,6208,5,2.66,5,0,0,10,5.32,5,5,1000,116,61.7,116,0,0,57,30.32,33,24,1375,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,2.66,5,0,0,0,0.0,0,0,0,1,0.53,0,1,0,0,0.0,0,0,0,9,4.79,5,4,1250,no,2,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,hosu,35,yes,1,0,0,0,0,0.0,18,16.08,94,83.92,0,0.0,13,10.26,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
2965,Mugalpalli,Hosur,Dharmapuri,1248,223,233,5.4,639,609,1049,182,79,103,767,270,21.6,146,124,1177,0,0.0,0,0,0,510,47.84,350,160,2188,565,45.3,404,161,2509,215,17.2,7,208,34,468,37.5,228,240,950,517,91.5,371,146,2541,12,2.12,12,0,0,36,6.37,21,15,1400,376,66.55,312,64,4875,141,24.96,59,82,720,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,12,2.12,12,0,0,0,0.0,0,0,0,15,2.65,9,6,1500,2,0.35,2,0,0,19,3.36,10,9,1111,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,2,0,0,0,1,0,Hosu,21,yes,1,0,0,0,0,0.0,36,7.03,476,92.97,0,0.0,48,8.54,2.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
2966,Vathiripalli,Hosur,Dharmapuri,337,88,53,6.4,166,171,971,56,28,28,1000,159,47.2,76,83,916,0,0.0,0,0,0,152,54.09,92,60,1533,199,59.1,103,96,1073,0,0.0,0,0,0,138,40.9,63,75,840,196,98.49,100,96,1042,2,1.01,2,0,0,1,0.5,1,0,0,184,92.46,96,88,1091,12,6.03,4,8,500,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,1.01,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.5,1,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,no,2,0,0,0,1,0,Hosu,19,yes,1,0,0,0,0,0.0,12,10.62,101,89.38,7,1.83,263,68.68,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2967,Alur,Hosur,Dharmapuri,404,235,66,6.1,201,203,990,59,34,25,1360,149,36.9,76,73,1041,0,0.0,0,0,0,159,46.09,89,70,1271,247,61.1,123,124,992,2,0.5,0,2,0,155,38.4,78,77,1013,243,98.38,119,124,960,4,1.62,4,0,0,0,0.0,0,0,0,126,51.01,110,16,6875,117,47.37,9,108,83,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,1.62,4,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,1,0,Hosu,4,yes,1,0,0,0,0,0.0,20,12.74,137,87.26,0,0.0,15,8.72,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
2968,Oddapalli,Hosur,Dharmapuri,337,250,66,5.1,153,184,832,55,26,29,897,79,23.4,43,36,1194,0,0.0,0,0,0,127,45.04,72,55,1309,203,60.2,106,97,1093,0,0.0,0,0,0,134,39.8,47,87,540,197,97.04,101,96,1052,3,1.48,3,0,0,3,1.48,2,1,2000,174,85.71,93,81,1148,23,11.33,8,15,533,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,1.48,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,1.48,2,1,2000,no,1,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Hosu,17,yes,1,0,0,0,0,0.0,7,7.29,89,92.71,11,8.17,28,20.56,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2969,Alasapalli,Hosur,Dharmapuri,378,203,71,5.3,193,185,1043,54,29,25,1160,97,25.7,49,48,1021,0,0.0,0,0,0,205,63.27,125,80,1563,119,31.5,117,2,58500,15,4.0,0,15,0,244,64.6,76,168,452,105,88.24,105,0,0,5,4.2,5,0,0,9,7.56,7,2,3500,104,87.39,104,0,0,1,0.84,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,3.36,4,0,0,1,0.84,1,0,0,0,0.0,0,0,0,1,0.84,1,0,0,8,6.72,6,2,3000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,0,1,0,Hosu,17,yes,1,0,0,0,0,0.0,10,5.71,165,94.29,5,2.69,6,3.22,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2970,Pichugodapalli,Hosur,Dharmapuri,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2971,Muthuganapalli,Hosur,Dharmapuri,761,654,137,5.6,378,383,987,146,70,76,921,272,35.7,136,136,1000,0,0.0,0,0,0,222,36.1,139,83,1675,238,31.3,191,47,4064,3,0.4,0,3,0,520,68.3,187,333,562,219,92.02,175,44,3977,4,1.68,4,0,0,15,6.3,12,3,4000,125,52.52,123,2,61500,94,39.5,52,42,1238,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,1.68,4,0,0,0,0.0,0,0,0,2,0.84,1,1,1000,2,0.84,2,0,0,11,4.62,9,2,4500,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,no,2,0,0,0,1,0,HOsur,16,yes,1,0,0,0,0,0.0,5,10.37,43,89.63,54,46.42,14,12.14,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2972,Kadiriganadinna,Hosur,Dharmapuri,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2973,Thinnapalli,Hosur,Dharmapuri,1308,493,378,3.5,768,540,1422,254,150,104,1442,7,0.5,5,2,2500,0,0.0,0,0,0,916,86.91,578,338,1710,560,42.8,499,61,8180,18,1.4,0,18,0,730,55.8,269,461,584,26,4.64,23,3,7667,448,80.0,407,41,9927,86,15.36,69,17,4059,6,1.07,6,0,0,20,3.57,17,3,5667,0,0.0,0,0,0,0,0.0,0,0,0,25,4.46,19,6,3167,415,74.11,380,35,10857,8,1.43,8,0,0,39,6.96,34,5,6800,6,1.07,6,0,0,41,7.32,29,12,2417,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,1,0,Hosu,19,yes,1,0,0,0,0,0.0,36,100.0,0,0.0,195,73.52,34,12.9,5.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
2974,Bagalur,Hosur,Dharmapuri,6110,1406,1350,4.5,3227,2883,1119,1160,610,550,1109,1128,18.5,557,571,975,0,0.0,0,0,0,3210,64.85,1977,1233,1603,2110,34.5,1811,299,6057,92,1.5,1,91,11,3908,64.0,1415,2493,568,734,34.74,565,169,3343,925,43.89,840,85,9882,451,21.37,406,45,9022,212,10.05,178,34,5235,517,24.5,383,134,2858,4,0.0,3,1,3000,1,0.05,1,0,0,80,3.79,43,37,1162,806,38.2,758,48,15792,39,1.85,39,0,0,212,10.05,201,11,18273,59,2.8,58,1,58000,180,8.53,147,33,4455,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Hosu,13,yes,1,0,0,0,0,0.0,74,27.49,195,72.51,150,34.55,15,3.52,16.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
2975,Kodiyalam,Hosur,Dharmapuri,526,103,83,6.3,273,253,1079,107,58,49,1184,101,19.2,54,47,1149,0,0.0,0,0,0,152,36.28,105,47,2234,194,36.9,160,34,4706,1,0.2,0,1,0,331,62.9,113,218,518,184,94.85,151,33,4576,3,1.55,3,0,0,7,3.61,6,1,6000,184,94.85,151,33,4576,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,1.55,3,0,0,0,0.0,0,0,0,1,0.52,0,1,0,1,0.52,1,0,0,5,2.58,5,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,JHosu,16,yes,1,0,0,0,0,0.0,59,20.85,224,79.15,0,0.0,225,44.31,26.1,0.0,32.84,0.0,0.0,0.0,0.0,0.0
2976,Kothapalli,Hosur,Dharmapuri,1334,490,254,5.3,695,639,1088,188,93,95,979,395,29.6,204,191,1068,0,0.0,0,0,0,513,44.76,308,205,1502,530,39.7,456,74,6162,0,0.0,0,0,0,804,60.3,239,565,423,474,89.43,411,63,6524,20,3.77,19,1,19000,36,6.79,26,10,2600,299,56.42,284,15,18933,175,33.02,127,48,2646,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,17,3.21,16,1,16000,3,0.57,3,0,0,5,0.94,5,0,0,1,0.19,1,0,0,30,5.66,20,10,2000,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,0,1,0,Hosu,16,yes,1,0,0,0,0,0.0,33,14.41,196,85.59,5,1.83,39,14.13,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
2977,Kursthanapalli,Hosur,Dharmapuri,649,169,125,5.2,333,316,1054,93,48,45,1067,151,23.3,73,78,936,0,0.0,0,0,0,305,54.86,184,121,1521,242,37.3,186,56,3321,0,0.0,0,0,0,407,62.7,147,260,565,223,92.15,169,54,3130,8,3.31,7,1,7000,11,4.55,10,1,10000,132,54.55,130,2,65000,91,37.6,39,52,750,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,8,3.31,7,1,7000,0,0.0,0,0,0,3,1.24,3,0,0,3,1.24,3,0,0,5,2.07,4,1,4000,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,0,1,0,Hosu,16,yes,1,0,0,0,0,0.0,36,11.36,281,88.64,0,0.0,68,17.62,4.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
2978,Sokkanathapuram,Hosur,Dharmapuri,775,233,154,5.0,393,382,1029,159,77,82,939,308,39.7,153,155,987,0,0.0,0,0,0,250,40.58,159,91,1747,354,45.7,217,137,1584,0,0.0,0,0,0,421,54.3,176,245,718,319,90.11,192,127,1512,22,6.21,17,5,3400,13,3.67,8,5,1600,234,66.1,148,86,1721,81,22.88,42,39,1077,4,0.01,2,2,1000,0,0.0,0,0,0,10,2.82,5,5,1000,10,2.82,10,0,0,2,0.56,2,0,0,6,1.69,4,2,2000,1,0.28,1,0,0,6,1.69,3,3,1000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Hosu,16,yes,1,0,0,0,204,61.43,28,21.86,100,78.14,0,0.0,0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
