STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,6,0,0,0,TALUK,Alangudi,Rural,47658,227250,113775,113475,28198,14408,13790,44810,22344,22466,16,7,9,142522,83427,59095,84728,30348,54380,115697,66819,48878,86654,56483,30171,45122,30112,15010,25304,13628,11676,1578,881,697,14650,11862,2788,29043,10336,18707,6217,2094,4123,20166,6929,13237,1023,186,837,1637,1127,510,111553,46956,64597
33,22,6,1274500,0,0,VILLAGE,Tattamanipatti,Rural,154,702,348,354,94,57,37,271,139,132,0,0,0,404,231,173,298,117,181,320,154,166,170,151,19,22,22,0,129,116,13,1,1,0,18,12,6,150,3,147,0,0,0,147,3,144,1,0,1,2,0,2,382,194,188
33,22,6,1274600,0,0,VILLAGE,Kirathur,Rural,164,738,383,355,73,37,36,79,39,40,0,0,0,438,279,159,300,104,196,365,215,150,220,197,23,195,175,20,3,3,0,2,2,0,20,17,3,145,18,127,3,3,0,142,15,127,0,0,0,0,0,0,373,168,205
33,22,6,1274700,0,0,VILLAGE,Kilangadu,Rural,198,984,474,510,136,65,71,0,0,0,0,0,0,563,327,236,421,147,274,528,267,261,278,243,35,145,141,4,110,83,27,0,0,0,23,19,4,250,24,226,165,2,163,81,21,60,1,0,1,3,1,2,456,207,249
33,22,6,1274800,0,0,VILLAGE,Mudalipatti,Rural,209,982,502,480,118,57,61,185,95,90,0,0,0,529,337,192,453,165,288,425,295,130,306,232,74,101,98,3,160,97,63,5,4,1,40,33,7,119,63,56,4,0,4,110,59,51,1,1,0,4,3,1,557,207,350
33,22,6,1274900,0,0,VILLAGE,Sengamedu,Rural,553,2477,1219,1258,373,194,179,1082,534,548,0,0,0,1437,818,619,1040,401,639,1568,769,799,1505,749,756,822,399,423,606,298,308,17,12,5,60,40,20,63,20,43,12,4,8,33,13,20,4,0,4,14,3,11,909,450,459
33,22,6,1275000,0,0,VILLAGE,Kallumadai,Rural,167,709,334,375,123,65,58,0,0,0,0,0,0,322,186,136,387,148,239,196,177,19,183,171,12,124,117,7,39,36,3,0,0,0,20,18,2,13,6,7,9,5,4,3,1,2,1,0,1,0,0,0,513,157,356
33,22,6,1275100,0,0,VILLAGE,Pappapatti,Rural,342,1616,754,862,191,90,101,392,191,201,0,0,0,795,466,329,821,288,533,930,471,459,684,440,244,283,260,23,336,130,206,10,6,4,55,44,11,246,31,215,6,2,4,237,29,208,1,0,1,2,0,2,686,283,403
33,22,6,1275200,0,0,VILLAGE,Regunathapuram,Rural,413,1804,874,930,215,94,121,603,282,321,0,0,0,1026,605,421,778,269,509,998,518,480,844,498,346,387,233,154,374,202,172,0,0,0,83,63,20,154,20,134,62,8,54,86,9,77,1,0,1,5,3,2,806,356,450
33,22,6,1275300,0,0,VILLAGE,Puduviduthy,Rural,373,1769,882,887,254,132,122,294,153,141,0,0,0,854,517,337,915,365,550,736,468,268,452,375,77,287,262,25,59,34,25,5,2,3,101,77,24,284,93,191,29,13,16,244,75,169,5,2,3,6,3,3,1033,414,619
33,22,6,1275400,0,0,VILLAGE,Reyadipatti,Rural,350,1793,900,893,230,123,107,656,335,321,0,0,0,1040,620,420,753,280,473,1013,545,468,188,152,36,66,59,7,29,14,15,1,0,1,92,79,13,825,393,432,615,296,319,185,79,106,8,4,4,17,14,3,780,355,425
33,22,6,1275500,0,0,VILLAGE,Thiruppakovil,Rural,19,91,37,54,13,4,9,0,0,0,0,0,0,55,28,27,36,9,27,29,20,9,21,18,3,18,16,2,3,2,1,0,0,0,0,0,0,8,2,6,3,2,1,5,0,5,0,0,0,0,0,0,62,17,45
33,22,6,1275600,0,0,VILLAGE,Odapaviduthy,Rural,360,1551,769,782,159,64,95,1092,532,560,0,0,0,849,525,324,702,244,458,787,460,327,482,304,178,158,119,39,304,172,132,1,0,1,19,13,6,305,156,149,11,5,6,290,148,142,2,1,1,2,2,0,764,309,455
33,22,6,1275700,0,0,VILLAGE,Kalyaranviduthy,Rural,419,1981,996,985,275,150,125,528,267,261,0,0,0,1219,721,498,762,275,487,1020,570,450,1007,561,446,460,270,190,492,258,234,15,4,11,40,29,11,13,9,4,1,0,1,11,8,3,0,0,0,1,1,0,961,426,535
33,22,6,1275800,0,0,VILLAGE,Kattathi,Rural,434,2024,945,1079,310,148,162,576,276,300,0,0,0,1068,618,450,956,327,629,1053,590,463,978,561,417,314,179,135,576,318,258,15,7,8,73,57,16,75,29,46,1,0,1,73,29,44,1,0,1,0,0,0,971,355,616
33,22,6,1275900,0,0,VILLAGE,Sinnanokonviduthy,Rural,85,390,205,185,64,38,26,337,170,167,0,0,0,244,152,92,146,53,93,221,111,110,192,100,92,142,69,73,27,13,14,4,0,4,19,18,1,29,11,18,1,1,0,26,10,16,1,0,1,1,0,1,169,94,75
33,22,6,1276000,0,0,VILLAGE,Vandanviduthy,Rural,201,1031,511,520,145,78,67,351,174,177,0,0,0,562,325,237,469,186,283,566,289,277,352,201,151,337,191,146,2,1,1,1,0,1,12,9,3,214,88,126,1,1,0,205,80,125,0,0,0,8,7,1,465,222,243
33,22,6,1276100,0,0,VILLAGE,Bhanduvakkottai,Rural,195,938,457,481,99,53,46,0,0,0,0,0,0,601,339,262,337,118,219,565,276,289,384,188,196,329,163,166,23,7,16,6,3,3,26,15,11,181,88,93,27,14,13,151,71,80,0,0,0,3,3,0,373,181,192
33,22,6,1276200,0,0,VILLAGE,Maruthankonviduthy,Rural,196,1044,521,523,128,66,62,441,222,219,0,0,0,669,391,278,375,130,245,585,307,278,427,287,140,278,154,124,105,101,4,16,13,3,28,19,9,158,20,138,7,3,4,82,12,70,64,2,62,5,3,2,459,214,245
33,22,6,1276300,0,0,VILLAGE,Mailankonepatti,Rural,174,913,434,479,140,66,74,420,204,216,0,0,0,407,249,158,506,185,321,511,240,271,7,2,5,0,0,0,1,0,1,0,0,0,6,2,4,504,238,266,79,61,18,384,158,226,22,2,20,19,17,2,402,194,208
33,22,6,1276400,0,0,VILLAGE,Karumbaviduthy,Rural,303,1558,779,779,193,105,88,598,303,295,0,0,0,994,571,423,564,208,356,896,444,452,347,317,30,309,295,14,9,7,2,16,7,9,13,8,5,549,127,422,5,1,4,536,122,414,7,3,4,1,1,0,662,335,327
33,22,6,1276500,0,0,VILLAGE,Ambukovil,Rural,396,1992,987,1005,317,157,160,663,337,326,0,0,0,999,606,393,993,381,612,856,524,332,802,504,298,260,188,72,365,197,168,42,18,24,135,101,34,54,20,34,29,12,17,15,5,10,5,1,4,5,2,3,1136,463,673
33,22,6,1276600,0,0,VILLAGE,Pilaviduthy,Rural,822,4197,2093,2104,594,310,284,2048,1016,1032,0,0,0,2168,1285,883,2029,808,1221,2123,1155,968,1107,649,458,248,146,102,699,380,319,3,2,1,157,121,36,1016,506,510,188,130,58,742,334,408,45,2,43,41,40,1,2074,938,1136
33,22,6,1276700,0,0,VILLAGE,Thettanviduthy,Rural,461,2301,1111,1190,340,176,164,974,445,529,0,0,0,1433,807,626,868,304,564,1298,694,604,900,601,299,291,165,126,359,220,139,11,9,2,239,207,32,398,93,305,28,12,16,327,72,255,29,2,27,14,7,7,1003,417,586
33,22,6,1276800,0,0,VILLAGE,Kulanthiranpatti,Rural,439,2280,1132,1148,314,171,143,658,332,326,0,0,0,1269,732,537,1011,400,611,1243,668,575,996,615,381,214,170,44,574,309,265,99,46,53,109,90,19,247,53,194,5,1,4,189,45,144,22,3,19,31,4,27,1037,464,573
33,22,6,1276900,0,0,VILLAGE,Rangianviduthy,Rural,236,1151,544,607,167,89,78,390,178,212,0,0,0,689,382,307,462,162,300,517,296,221,382,252,130,111,107,4,228,110,118,0,0,0,43,35,8,135,44,91,15,10,5,119,33,86,1,1,0,0,0,0,634,248,386
33,22,6,1277000,0,0,VILLAGE,Pallavarayanpathai,Rural,1091,5501,2779,2722,809,401,408,1504,764,740,0,0,0,3182,1890,1292,2319,889,1430,2838,1608,1230,1822,1315,507,1381,998,383,288,203,85,14,11,3,139,103,36,1016,293,723,382,31,351,613,254,359,12,2,10,9,6,3,2663,1171,1492
33,22,6,1277100,0,0,VILLAGE,Elaikadividuthy,Rural,306,1496,757,739,174,86,88,745,370,375,0,0,0,934,548,386,562,209,353,940,481,459,751,437,314,415,270,145,257,108,149,5,4,1,74,55,19,189,44,145,77,2,75,111,41,70,0,0,0,1,1,0,556,276,280
33,22,6,1277200,0,0,VILLAGE,Thirumananjeri,Rural,316,1682,829,853,271,144,127,355,168,187,0,0,0,843,505,338,839,324,515,737,461,276,535,412,123,297,269,28,112,36,76,16,10,6,110,97,13,202,49,153,106,25,81,84,16,68,4,1,3,8,7,1,945,368,577
33,22,6,1277300,0,0,VILLAGE,Pattathikadu,Rural,337,1650,822,828,202,122,80,419,207,212,0,0,0,944,569,375,706,253,453,967,491,476,724,482,242,609,426,183,91,39,52,0,0,0,24,17,7,243,9,234,232,5,227,11,4,7,0,0,0,0,0,0,683,331,352
33,22,6,1277400,0,0,VILLAGE,Kurumbivayal,Rural,100,450,213,237,81,41,40,449,213,236,0,0,0,178,99,79,272,114,158,251,116,135,230,111,119,4,3,1,223,106,117,0,0,0,3,2,1,21,5,16,0,0,0,14,5,9,7,0,7,0,0,0,199,97,102
33,22,6,1277600,0,0,VILLAGE,Kilatheru,Rural,268,1246,616,630,192,97,95,215,110,105,0,0,0,525,325,200,721,291,430,744,377,367,573,369,204,377,275,102,141,68,73,44,20,24,11,6,5,171,8,163,6,1,5,137,6,131,28,1,27,0,0,0,502,239,263
33,22,6,1277700,0,0,VILLAGE,K. Therkutheru,Rural,314,1598,800,798,221,123,98,337,167,170,0,0,0,863,508,355,735,292,443,910,465,445,685,379,306,457,255,202,176,88,88,9,5,4,43,31,12,225,86,139,76,24,52,133,56,77,4,0,4,12,6,6,688,335,353
33,22,6,1277800,0,0,VILLAGE,Vadatheru,Rural,294,1463,747,716,179,92,87,551,275,276,0,0,0,842,518,324,621,229,392,801,410,391,417,330,87,261,234,27,131,78,53,12,9,3,13,9,4,384,80,304,242,29,213,118,37,81,16,6,10,8,8,0,662,337,325
33,22,6,1277900,0,0,VILLAGE,Vanakkankadu,Rural,317,1757,851,906,263,128,135,383,192,191,0,0,0,1085,619,466,672,232,440,935,508,427,655,483,172,490,381,109,103,55,48,0,0,0,62,47,15,280,25,255,185,13,172,92,11,81,1,0,1,2,1,1,822,343,479
33,22,6,1278000,0,0,VILLAGE,Mullankurichi South,Rural,618,2934,1498,1436,370,195,175,936,473,463,0,0,0,1738,1039,699,1196,459,737,1487,816,671,941,608,333,420,271,149,383,234,149,2,1,1,136,102,34,546,208,338,56,27,29,465,177,288,0,0,0,25,4,21,1447,682,765
33,22,6,1278100,0,0,VILLAGE,Mullankurichi North,Rural,678,3395,1756,1639,457,229,228,1324,687,637,3,1,2,1766,1089,677,1629,667,962,1843,957,886,1102,697,405,488,297,191,366,187,179,29,19,10,219,194,25,741,260,481,45,11,34,660,245,415,25,2,23,11,2,9,1552,799,753
33,22,6,1278200,0,0,VILLAGE,Kanakkankadu,Rural,562,2798,1365,1433,449,197,252,314,163,151,0,0,0,1639,943,696,1159,422,737,1346,755,591,903,676,227,282,221,61,233,144,89,15,8,7,373,303,70,443,79,364,11,1,10,366,50,316,12,3,9,54,25,29,1452,610,842
33,22,6,1278300,0,0,VILLAGE,Karupattipatti,Rural,292,1485,770,715,262,125,137,159,80,79,0,0,0,606,428,178,879,342,537,516,383,133,311,242,69,257,204,53,10,8,2,20,16,4,24,14,10,205,141,64,7,4,3,198,137,61,0,0,0,0,0,0,969,387,582
33,22,6,1278400,0,0,VILLAGE,Ayipatti,Rural,183,1008,510,498,137,72,65,159,83,76,0,0,0,585,337,248,423,173,250,557,289,268,447,251,196,433,245,188,4,1,3,0,0,0,10,5,5,110,38,72,0,0,0,106,36,70,2,0,2,2,2,0,451,221,230
33,22,6,1278500,0,0,VILLAGE,Valangondanviduthy,Rural,390,1924,944,980,273,131,142,196,98,98,0,0,0,892,552,340,1032,392,640,945,571,374,681,490,191,393,302,91,257,170,87,3,2,1,28,16,12,264,81,183,72,8,64,189,70,119,0,0,0,3,3,0,979,373,606
33,22,6,1278600,0,0,VILLAGE,Vellalaviduthy,Rural,255,1305,643,662,203,109,94,142,75,67,0,0,0,542,324,218,763,319,444,727,390,337,584,364,220,281,272,9,280,77,203,5,2,3,18,13,5,143,26,117,32,3,29,111,23,88,0,0,0,0,0,0,578,253,325
