"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
2050,Vengupattu,Arakkonam,North Arcot Ambedkar,3421,473,677,5.1,1759,1662,1058,571,281,290,969,530,15.5,286,244,1172,0,0.0,0,0,0,1001,35.12,737,264,2792,1778,52.0,1029,749,1374,77,2.3,1,76,13,1566,45.8,729,837,871,1664,93.59,920,744,1237,8,0.45,7,1,7000,106,5.96,102,4,25500,539,30.31,354,185,1914,1125,63.27,566,559,1013,0,0.0,0,0,0,0,0.0,0,0,0,1,0.06,0,1,0,6,0.34,6,0,0,1,0.06,1,0,0,6,0.34,6,0,0,1,0.06,1,0,0,99,5.57,95,4,23750,yes,0,3,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Sholinga,8,yes,0,0,0,1,0,0.0,189,30.14,438,69.86,0,0.0,96,13.3,117.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0
2051,Paravathur,Arakkonam,North Arcot Ambedkar,2146,451,425,5.0,1085,1061,1023,328,154,174,885,909,42.4,464,445,1043,117,5.5,58,59,983,862,47.41,534,328,1628,927,43.2,515,412,1250,0,0.0,0,0,0,1219,56.8,570,649,878,765,73.35,416,349,1192,94,19.31,54,40,1350,68,7.34,45,23,1957,314,33.87,161,153,1052,366,39.48,209,157,1331,0,0.0,0,0,0,85,9.17,46,39,1179,83,8.95,45,38,1184,8,0.86,8,0,0,3,0.32,1,2,500,5,0.54,5,0,0,3,0.32,2,1,2000,60,6.47,38,22,1727,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Sholinga,8,yes,0,0,0,1,0,0.0,132,28.03,339,71.97,0,0.0,5,1.0,43.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0
2052,Akkachikuppam,Arakkonam,North Arcot Ambedkar,1362,532,295,4.6,681,681,1000,193,103,90,1144,357,26.2,167,190,879,0,0.0,0,0,0,426,36.44,289,137,2109,647,47.5,382,265,1442,98,7.2,1,97,10,617,45.3,298,319,934,607,93.82,352,255,1380,10,1.55,7,3,2333,30,4.64,23,7,3286,406,62.75,206,200,1030,201,31.07,146,55,2655,0,0.0,0,0,0,0,0.0,0,0,0,7,1.08,4,3,1333,3,0.46,3,0,0,0,0.0,0,0,0,1,0.15,1,0,0,2,0.31,2,0,0,27,4.17,20,7,2857,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Sholinga,10,yes,0,0,0,1,0,0.0,125,50.2,124,49.8,0,0.0,7,2.8,67.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
2053,Paranji,Arakkonam,North Arcot Ambedkar,3915,260,859,4.6,1997,1918,1041,564,280,284,986,997,25.5,498,499,998,38,1.0,24,14,1714,1514,45.18,1032,482,2141,1693,43.2,1059,634,1670,236,6.0,6,230,26,1986,50.7,932,1054,884,1416,83.64,835,581,1437,56,3.31,41,15,2733,221,13.05,183,38,4816,887,52.39,554,333,1664,529,31.25,281,248,1133,0,0.0,0,0,0,0,0.0,0,0,0,32,1.89,18,14,1286,18,1.06,17,1,17000,6,0.35,6,0,0,17,1.0,16,1,16000,12,0.71,12,0,0,192,11.34,155,37,4189,yes,0,3,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Arakkona,19,yes,0,0,0,1,0,0.0,455,33.09,920,66.91,124,8.25,5,0.31,250.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0
2054,Nandi Veduthangal,Arakkonam,North Arcot Ambedkar,1795,480,405,4.4,890,905,983,254,123,131,939,411,22.9,201,210,957,57,3.2,23,34,676,745,48.35,477,268,1780,921,51.3,517,404,1280,0,0.0,0,0,0,874,48.7,373,501,745,861,93.49,469,392,1196,16,1.74,14,2,7000,44,4.78,34,10,3400,410,44.52,293,117,2504,451,48.97,176,275,640,0,0.0,0,0,0,0,0.0,0,0,0,12,1.3,10,2,5000,4,0.43,4,0,0,0,0.0,0,0,0,12,1.3,11,1,11000,2,0.22,2,0,0,30,3.26,21,9,2333,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Arakkona,13,yes,0,0,0,1,0,0.0,46,12.47,323,87.53,0,0.0,5,1.27,26.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
2055,Sembedu,Arakkonam,North Arcot Ambedkar,9745,1209,2030,4.8,4968,4777,1040,1407,732,675,1084,1942,19.9,991,951,1042,309,3.2,163,146,1116,4126,49.48,2763,1363,2027,4030,41.4,2676,1354,1976,1,0.0,0,1,0,5714,58.6,2292,3422,670,2278,56.53,1233,1045,1180,1270,31.51,1027,243,4226,482,11.96,416,66,6303,621,15.41,431,190,2268,1630,40.45,780,850,918,27,0.01,22,5,4400,0,0.0,0,0,0,1041,25.83,806,235,3430,198,4.91,192,6,32000,31,0.77,29,2,14500,181,4.49,163,18,9056,39,0.97,39,0,0,262,6.5,214,48,4458,yes,0,4,1,0,1,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Arakkona,11,yes,0,0,0,1,0,0.0,144,18.2,647,81.8,0,0.0,15,1.87,74.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
2056,Chithambadi,Arakkonam,North Arcot Ambedkar,1025,187,216,4.7,530,495,1071,165,86,79,1089,656,64.0,341,315,1083,0,0.0,0,0,0,375,43.6,247,128,1930,516,50.3,308,208,1481,0,0.0,0,0,0,509,49.7,222,287,774,334,64.73,213,121,1760,11,2.13,10,1,10000,171,33.14,85,86,988,158,30.62,140,18,7778,176,34.11,73,103,709,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,1.74,8,1,8000,2,0.39,2,0,0,2,0.39,2,0,0,6,1.16,6,0,0,163,31.59,77,86,895,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Arakkkona,13,yes,0,0,0,1,0,0.0,94,19.62,385,80.38,14,2.55,56,10.12,52.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0
2057,Itchiputhur,Arakkonam,North Arcot Ambedkar,5165,449,1024,5.0,2670,2495,1070,799,387,412,939,1898,36.7,995,903,1102,123,2.4,65,58,1121,2485,56.92,1632,853,1913,2332,45.2,1554,778,1997,3,0.1,0,3,0,2830,54.8,1116,1714,651,1739,74.57,996,743,1341,339,14.54,330,9,36667,254,10.89,228,26,8769,741,31.78,487,254,1917,998,42.8,509,489,1041,0,0.0,0,0,0,0,0.0,0,0,0,11,0.47,7,4,1750,297,12.74,297,0,0,31,1.33,26,5,5200,35,1.5,32,3,10667,33,1.42,33,0,0,186,7.98,163,23,7087,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,1,0,0,arrakkona,6,yes,0,0,0,1,0,0.0,227,19.91,913,80.09,5,0.43,5,0.47,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0
2058,Kilvanam,Arakkonam,North Arcot Ambedkar,1540,581,328,4.7,802,738,1087,227,125,102,1225,572,37.1,295,277,1065,36,2.3,20,16,1250,824,62.76,523,301,1738,796,51.7,464,332,1398,0,0.0,0,0,0,744,48.3,338,406,833,637,79.9,332,305,1089,101,12.81,90,11,8182,58,7.29,42,16,2625,184,23.12,167,17,9824,451,56.66,163,288,566,1,0.0,1,0,0,1,0.13,1,0,0,24,3.02,14,10,1400,69,8.67,68,1,68000,8,1.01,8,0,0,14,1.76,12,2,6000,2,0.25,2,0,0,42,5.28,28,14,2000,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Arakkona,13,yes,0,0,0,1,0,0.0,86,33.08,174,66.92,0,0.0,5,1.91,37.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
2059,Vadamambakkam,Arakkonam,North Arcot Ambedkar,4309,763,894,4.8,2206,2103,1049,693,351,342,1026,1117,25.9,539,578,933,130,3.0,72,58,1241,2103,58.16,1416,687,2061,1711,39.7,1247,464,2688,0,0.0,0,0,0,2598,60.3,959,1639,585,1020,59.15,593,427,1389,325,19.46,322,3,107333,366,21.39,332,34,9765,233,13.62,203,30,6767,777,45.41,380,397,957,2,0.0,2,0,0,8,0.47,8,0,0,3,0.18,3,0,0,115,6.72,114,1,114000,207,12.1,205,2,102500,107,6.25,102,5,20400,72,4.21,69,3,23000,187,10.93,161,26,6192,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Arakkona,5,yes,0,0,0,1,0,0.0,180,45.69,214,54.31,167,29.55,4,0.72,100.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
