STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,24,,0,0,0,TALUK,Thirumangalam,Total,49082,196642,98877,97765,22541,11852,10689,29546,14724,14822,72,37,35,126511,73284,53227,70131,25593,44538,101550,57388,44162,89223,52425,36798,17707,10164,7543,37411,16961,20450,1555,743,812,32550,24557,7993,12327,4963,7364,1244,518,726,8457,2988,5469,373,106,267,2253,1351,902,95092,41489,53603,6.0
33,24,,0,0,0,TALUK,Thirumangalam,Rural,38773,153011,77037,75974,17930,9454,8476,26624,13297,13327,44,24,20,92302,55102,37200,60709,21935,38774,85929,45807,40122,74182,41100,33082,17444,10023,7421,36678,16581,20097,1261,620,641,18799,13876,4923,11747,4707,7040,1229,512,717,8436,2980,5456,268,87,181,1814,1128,686,67082,31230,35852,6.0
33,24,,0,0,0,TALUK,Thirumangalam,Urban,10309,43631,21840,21791,4611,2398,2213,2922,1427,1495,28,13,15,34209,18182,16027,9422,3658,5764,15621,11581,4040,15041,11325,3716,263,141,122,733,380,353,294,123,171,13751,10681,3070,580,256,324,15,6,9,21,8,13,105,19,86,439,223,216,28010,10259,17751,6.0
33,24,,1408000,0,0,VILLAGE,Kokkulam (Anaiyur),Rural,1847,7472,3927,3545,934,527,407,1002,510,492,0,0,0,5197,2997,2200,2275,930,1345,3723,2260,1463,3561,2194,1367,520,297,223,1328,647,681,70,33,37,1643,1217,426,162,66,96,9,3,6,102,37,65,3,0,3,48,26,22,3749,1667,2082,6.0
33,24,,1408100,0,0,VILLAGE,K.Puliyankulam,Rural,847,3272,1707,1565,432,233,199,321,167,154,0,0,0,2018,1228,790,1254,479,775,1706,970,736,1368,839,529,213,109,104,541,257,284,21,12,9,593,461,132,338,131,207,6,2,4,202,66,136,7,2,5,123,61,62,1566,737,829,6.0
33,24,,1408200,0,0,VILLAGE,Kinnimangalam,Rural,803,3281,1736,1545,414,243,171,924,462,462,0,0,0,1804,1118,686,1477,618,859,1894,1004,890,1889,1002,887,222,109,113,1480,729,751,12,8,4,175,156,19,5,2,3,1,0,1,3,1,2,0,0,0,1,1,0,1387,732,655,6.0
33,24,,1408300,0,0,VILLAGE,Karadikal ,Rural,780,3388,1706,1682,402,227,175,504,252,252,0,0,0,1978,1132,846,1410,574,836,1942,1021,921,1567,900,667,670,398,272,545,247,298,24,13,11,328,242,86,375,121,254,19,4,15,337,108,229,3,1,2,16,8,8,1446,685,761,6.0
33,24,,1408400,0,0,VILLAGE,Melandal,Rural,44,179,90,89,17,9,8,96,53,43,0,0,0,85,53,32,94,37,57,122,62,60,120,62,58,30,15,15,86,44,42,0,0,0,4,3,1,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,57,28,29,6.0
33,24,,1408500,0,0,VILLAGE,Puliyakavundanpatti,Rural,53,255,139,116,23,14,9,7,3,4,0,0,0,159,101,58,96,38,58,146,79,67,144,79,65,78,43,35,58,31,27,0,0,0,8,5,3,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,109,60,49,6.0
33,24,,1408600,0,0,VILLAGE,Vagaikulam,Rural,625,2304,1168,1136,270,147,123,328,153,175,0,0,0,1358,850,508,946,318,628,1412,691,721,1278,648,630,531,306,225,635,275,360,28,17,11,84,50,34,134,43,91,69,23,46,61,17,44,0,0,0,4,3,1,892,477,415,6.0
33,24,,1408700,0,0,VILLAGE,Alagusirai,Rural,133,533,273,260,85,40,45,81,36,45,0,0,0,321,197,124,212,76,136,255,144,111,138,121,17,67,66,1,25,18,7,0,0,0,46,37,9,117,23,94,3,1,2,100,11,89,5,2,3,9,9,0,278,129,149,6.0
33,24,,1408800,0,0,VILLAGE,Ponnamangalam,Rural,360,1700,904,796,195,111,84,348,173,175,0,0,0,964,611,353,736,293,443,1051,537,514,535,499,36,94,89,5,375,350,25,2,2,0,64,58,6,516,38,478,68,8,60,424,27,397,8,1,7,16,2,14,649,367,282,6.0
33,24,,1408900,0,0,VILLAGE,Vannankulam,Rural,9,55,30,25,9,4,5,0,0,0,0,0,0,20,16,4,35,14,21,36,20,16,25,16,9,16,8,8,1,1,0,0,0,0,8,7,1,11,4,7,0,0,0,7,0,7,0,0,0,4,4,0,19,10,9,6.0
33,24,,1409000,0,0,VILLAGE,Kunnamampatti,Rural,142,544,286,258,79,45,34,163,77,86,0,0,0,270,180,90,274,106,168,327,166,161,173,124,49,95,70,25,33,16,17,0,0,0,45,38,7,154,42,112,3,1,2,132,26,106,1,0,1,18,15,3,217,120,97,6.0
33,24,,1409100,0,0,VILLAGE,Josyar Alangulam,Rural,47,203,106,97,25,16,9,125,63,62,0,0,0,113,73,40,90,33,57,127,61,66,59,45,14,14,9,5,25,18,7,1,1,0,19,17,2,68,16,52,0,0,0,62,11,51,1,0,1,5,5,0,76,45,31,6.0
33,24,,1409200,0,0,VILLAGE,Chittalai,Rural,192,682,351,331,68,45,23,210,116,94,0,0,0,526,296,230,156,55,101,342,186,156,338,185,153,120,66,54,177,83,94,0,0,0,41,36,5,4,1,3,0,0,0,3,0,3,0,0,0,1,1,0,340,165,175,6.0
33,24,,1409300,0,0,VILLAGE,Pungankulam,Rural,275,989,508,481,103,55,48,517,268,249,0,0,0,509,319,190,480,189,291,562,282,280,544,277,267,87,43,44,385,181,204,4,3,1,68,50,18,18,5,13,1,0,1,12,3,9,1,0,1,4,2,2,427,226,201,6.0
33,24,,1409400,0,0,VILLAGE,Kandai,Rural,244,1084,538,546,125,59,66,776,375,401,0,0,0,590,358,232,494,180,314,666,333,333,653,329,324,21,12,9,561,270,291,2,2,0,69,45,24,13,4,9,0,0,0,10,2,8,1,0,1,2,2,0,418,205,213,6.0
33,24,,1409500,0,0,VILLAGE,Erramalampatti,Rural,9,42,25,17,4,2,2,0,0,0,0,0,0,27,18,9,15,7,8,27,15,12,18,14,4,8,8,0,9,6,3,0,0,0,1,0,1,9,1,8,8,1,7,1,0,1,0,0,0,0,0,0,15,10,5,6.0
33,24,,1409600,0,0,VILLAGE,Kangayanatham,Rural,297,1142,578,564,138,65,73,310,160,150,0,0,0,530,331,199,612,247,365,688,381,307,642,372,270,172,103,69,280,137,143,27,18,9,163,114,49,46,9,37,29,7,22,8,1,7,0,0,0,9,1,8,454,197,257,6.0
33,24,,1409700,0,0,VILLAGE,Pokkampatti,Rural,236,826,401,425,106,52,54,88,47,41,0,0,0,549,308,241,277,93,184,483,236,247,288,205,83,188,138,50,68,43,25,3,2,1,29,22,7,195,31,164,119,18,101,67,12,55,1,0,1,8,1,7,343,165,178,6.0
33,24,,1409800,0,0,VILLAGE,Pannikundu,Rural,474,1704,875,829,221,123,98,224,111,113,0,0,0,950,574,376,754,301,453,1005,519,486,1000,518,482,211,106,105,651,311,340,2,1,1,136,100,36,5,1,4,1,0,1,2,1,1,0,0,0,2,0,2,699,356,343,6.0
33,24,,1409900,0,0,VILLAGE,Sathangudi,Rural,1087,4360,2221,2139,496,277,219,600,294,306,0,0,0,2766,1588,1178,1594,633,961,2380,1279,1101,2253,1237,1016,281,197,84,1453,661,792,76,44,32,443,335,108,127,42,85,13,6,7,93,26,67,1,1,0,20,9,11,1980,942,1038,6.0
33,24,,1410000,0,0,VILLAGE,Urappanur,Rural,1146,4429,2289,2140,550,303,247,890,458,432,0,0,0,2619,1619,1000,1810,670,1140,1784,1241,543,1037,767,270,296,247,49,481,295,186,27,20,7,233,205,28,747,474,273,106,58,48,594,384,210,20,11,9,27,21,6,2645,1048,1597,6.0
33,24,,1410100,0,0,VILLAGE,Chettikulam,Rural,161,783,398,385,94,52,42,58,36,22,0,0,0,446,278,168,337,120,217,506,239,267,505,239,266,157,75,82,300,129,171,8,5,3,40,30,10,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,277,159,118,6.0
33,24,,1410200,0,0,VILLAGE,Uchapatti,Rural,696,2792,1426,1366,353,167,186,669,346,323,0,0,0,1926,1108,818,866,318,548,817,481,336,740,461,279,46,32,14,389,206,183,15,7,8,290,216,74,77,20,57,14,8,6,47,10,37,4,1,3,12,1,11,1975,945,1030,6.0
