STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,9,,0,0,0,TALUK,Paramathi-Velur,Total,50982,186909,93922,92987,17775,9345,8430,32066,16034,16032,31,18,13,110739,64980,45759,76170,28942,47228,113484,62540,50944,105674,60002,45672,27251,15423,11828,46662,22197,24465,3847,1628,2219,27914,20754,7160,7810,2538,5272,698,221,477,5106,1467,3639,635,147,488,1371,703,668,73425,31382,42043,4.0
33,9,,0,0,0,TALUK,Paramathi-Velur,Rural,35921,128764,64595,64169,12093,6352,5741,26421,13211,13210,31,18,13,71547,42909,28638,57217,21686,35531,84020,43937,40083,77386,41880,35506,23861,13429,10432,34608,15704,18904,3201,1367,1834,15716,11380,4336,6634,2057,4577,652,201,451,4510,1229,3281,468,119,349,1004,508,496,44744,20658,24086,4.0
33,9,,0,0,0,TALUK,Paramathi-Velur,Urban,15061,58145,29327,28818,5682,2993,2689,5645,2823,2822,0,0,0,39192,22071,17121,18953,7256,11697,29464,18603,10861,28288,18122,10166,3390,1994,1396,12054,6493,5561,646,261,385,12198,9374,2824,1176,481,695,46,20,26,596,238,358,167,28,139,367,195,172,28681,10724,17957,4.0
33,9,,731500,0,0,VILLAGE,Kuppirikapalayam,Rural,271,879,456,423,76,36,40,279,149,130,0,0,0,461,293,168,418,163,255,581,317,264,575,316,259,199,92,107,240,111,129,4,2,2,132,111,21,6,1,5,0,0,0,4,1,3,0,0,0,2,0,2,298,139,159,4.0
33,9,,731600,0,0,VILLAGE,Perunkurichi,Rural,468,1646,826,820,130,85,45,451,225,226,0,0,0,940,551,389,706,275,431,945,534,411,897,518,379,310,169,141,350,162,188,27,15,12,210,172,38,48,16,32,24,8,16,17,4,13,1,1,0,6,3,3,701,292,409,4.0
33,9,,731700,0,0,VILLAGE,Devanampalayam,Rural,353,1241,635,606,128,67,61,301,152,149,0,0,0,690,429,261,551,206,345,906,467,439,701,444,257,249,159,90,241,115,126,24,13,11,187,157,30,205,23,182,28,3,25,176,20,156,0,0,0,1,0,1,335,168,167,4.0
33,9,,731800,0,0,VILLAGE,Maniyanur,Rural,1029,3469,1774,1695,299,146,153,635,320,315,0,0,0,2068,1254,814,1401,520,881,2468,1307,1161,2091,1125,966,388,205,183,529,231,298,387,166,221,787,523,264,377,182,195,13,5,8,118,55,63,68,31,37,178,91,87,1001,467,534,4.0
33,9,,731900,0,0,VILLAGE,Kolaram,Rural,917,2910,1445,1465,255,142,113,1030,505,525,0,0,0,1798,1063,735,1112,382,730,1895,970,925,1838,951,887,569,286,283,780,339,441,77,33,44,412,293,119,57,19,38,12,1,11,24,7,17,2,0,2,19,11,8,1015,475,540,4.0
33,9,,732000,0,0,VILLAGE,Sarkarserukali,Rural,581,2006,1001,1005,155,85,70,574,284,290,0,0,0,1122,686,436,884,315,569,1295,643,652,1286,639,647,497,230,267,474,168,306,36,16,20,279,225,54,9,4,5,0,0,0,5,0,5,0,0,0,4,4,0,711,358,353,4.0
33,9,,732100,0,0,VILLAGE,Kodur,Rural,500,1659,799,860,160,67,93,525,264,261,0,0,0,867,544,323,792,255,537,1050,554,496,1029,548,481,297,161,136,370,112,258,43,27,16,319,248,71,21,6,15,4,3,1,5,0,5,4,0,4,8,3,5,609,245,364,4.0
33,9,,732200,0,0,VILLAGE,Kodur Agraharam,Rural,120,430,225,205,44,26,18,137,72,65,0,0,0,190,131,59,240,94,146,305,157,148,301,153,148,109,73,36,114,31,83,1,1,0,77,48,29,4,4,0,1,1,0,0,0,0,0,0,0,3,3,0,125,68,57,4.0
33,9,,732300,0,0,VILLAGE,Pirandagam,Rural,371,1342,694,648,113,60,53,330,169,161,0,0,0,619,415,204,723,279,444,926,477,449,862,468,394,221,156,65,323,112,211,91,20,71,227,180,47,64,9,55,4,1,3,40,5,35,18,2,16,2,1,1,416,217,199,4.0
33,9,,732400,0,0,VILLAGE,Iruttanai,Rural,209,644,325,319,60,30,30,41,15,26,0,0,0,369,216,153,275,109,166,390,204,186,248,176,72,139,86,53,32,27,5,1,1,0,76,62,14,142,28,114,64,16,48,67,7,60,0,0,0,11,5,6,254,121,133,4.0
33,9,,732500,0,0,VILLAGE,Ariyurpatti,Rural,132,450,239,211,42,25,17,141,72,69,5,2,3,236,158,78,214,81,133,329,177,152,325,176,149,124,66,58,150,72,78,3,2,1,48,36,12,4,1,3,0,0,0,2,0,2,0,0,0,2,1,1,121,62,59,4.0
33,9,,732600,0,0,VILLAGE,Ramadevam,Rural,590,2043,1031,1012,200,104,96,610,302,308,0,0,0,1118,677,441,925,354,571,1419,705,714,1408,704,704,620,305,315,555,227,328,26,15,11,207,157,50,11,1,10,0,0,0,9,1,8,2,0,2,0,0,0,624,326,298,4.0
33,9,,732700,0,0,VILLAGE,Nallur,Rural,1278,4518,2200,2318,394,208,186,1261,646,615,0,0,0,2740,1556,1184,1778,644,1134,2816,1451,1365,2753,1434,1319,815,396,419,843,360,483,165,74,91,930,604,326,63,17,46,17,2,15,22,3,19,12,3,9,12,9,3,1702,749,953,4.0
33,9,,732800,0,0,VILLAGE,Sullipalayam,Rural,471,1691,854,837,134,71,63,626,322,304,0,0,0,897,536,361,794,318,476,1154,605,549,1097,587,510,406,210,196,519,239,280,42,17,25,130,121,9,57,18,39,0,0,0,3,1,2,42,7,35,12,10,2,537,249,288,4.0
33,9,,732900,0,0,VILLAGE,Solasiramani,Rural,906,3319,1646,1673,296,139,157,566,285,281,0,0,0,1868,1091,777,1451,555,896,2486,1254,1232,1277,846,431,393,270,123,454,248,206,105,55,50,325,273,52,1209,408,801,28,6,22,975,349,626,111,22,89,95,31,64,833,392,441,4.0
33,9,,733000,0,0,VILLAGE,Ellampalli,Rural,612,2043,1025,1018,213,107,106,549,279,270,0,0,0,865,513,352,1178,512,666,1404,739,665,1230,715,515,400,216,184,636,358,278,35,20,15,159,121,38,174,24,150,21,4,17,140,15,125,3,0,3,10,5,5,639,286,353,4.0
33,9,,733100,0,0,VILLAGE,E.Nallagoundampalayam,Rural,276,939,487,452,75,35,40,311,160,151,0,0,0,380,255,125,559,232,327,621,341,280,619,340,279,355,191,164,230,120,110,23,19,4,11,10,1,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,318,146,172,4.0
33,9,,733200,0,0,VILLAGE,Sittampoondi,Rural,898,2845,1415,1430,249,140,109,771,382,389,2,1,1,1546,942,604,1299,473,826,1852,972,880,1655,945,710,635,396,239,525,234,291,21,15,6,474,300,174,197,27,170,6,3,3,140,10,130,5,2,3,46,12,34,993,443,550,4.0
33,9,,733300,0,0,VILLAGE,Kunnamalai,Rural,696,2307,1175,1132,204,126,78,504,257,247,0,0,0,1122,692,430,1185,483,702,1603,805,798,1165,718,447,500,319,181,233,93,140,75,36,39,357,270,87,438,87,351,8,1,7,385,81,304,33,3,30,12,2,10,704,370,334,4.0
33,9,,733400,0,0,VILLAGE,Melsathambur,Rural,345,1202,641,561,97,60,37,407,218,189,0,0,0,523,337,186,679,304,375,750,414,336,497,356,141,234,173,61,173,107,66,3,2,1,87,74,13,253,58,195,17,4,13,216,46,170,6,1,5,14,7,7,452,227,225,4.0
33,9,,733500,0,0,VILLAGE,Kudacheri,Rural,536,1850,941,909,182,91,91,566,291,275,0,0,0,895,556,339,955,385,570,1199,636,563,842,518,324,395,238,157,245,115,130,16,8,8,186,157,29,357,118,239,4,2,2,333,110,223,9,0,9,11,6,5,651,305,346,4.0
33,9,,733600,0,0,VILLAGE,Sungakarampatty,Rural,350,1375,698,677,140,67,73,342,170,172,0,0,0,673,432,241,702,266,436,937,479,458,696,463,233,311,216,95,272,152,120,7,4,3,106,91,15,241,16,225,6,2,4,223,7,216,2,1,1,10,6,4,438,219,219,4.0
33,9,,733700,0,0,VILLAGE,Villipalayam,Rural,594,2259,1161,1098,204,107,97,523,265,258,0,0,0,1214,769,445,1045,392,653,1541,788,753,1436,757,679,333,149,184,803,382,421,16,9,7,284,217,67,105,31,74,19,5,14,65,19,46,7,1,6,14,6,8,718,373,345,4.0
33,9,,733800,0,0,VILLAGE,Pillur,Rural,727,2544,1263,1281,266,128,138,741,367,374,0,0,0,1389,847,542,1155,416,739,1702,878,824,1689,872,817,532,333,199,603,260,343,232,14,218,322,265,57,13,6,7,1,1,0,3,1,2,1,1,0,8,3,5,842,385,457,4.0
33,9,,733900,0,0,VILLAGE,Pillakalathur ,Rural,257,1165,631,534,97,48,49,106,59,47,0,0,0,833,513,320,332,118,214,658,349,309,621,332,289,149,68,81,177,86,91,27,9,18,268,169,99,37,17,20,8,5,3,9,4,5,9,1,8,11,7,4,507,282,225,4.0
33,9,,734000,0,0,VILLAGE,Arthanaripalayam,Rural,101,365,188,177,47,26,21,278,134,144,0,0,0,143,94,49,222,94,128,274,137,137,270,134,136,37,19,18,211,97,114,6,2,4,16,16,0,4,3,1,2,2,0,2,1,1,0,0,0,0,0,0,91,51,40,4.0
33,9,,734100,0,0,VILLAGE,Nadandai,Rural,790,2751,1421,1330,295,156,139,569,293,276,0,0,0,1543,1005,538,1208,416,792,1736,933,803,1588,877,711,729,344,385,433,192,241,45,27,18,381,314,67,148,56,92,4,2,2,136,51,85,3,1,2,5,2,3,1015,488,527,4.0
33,9,,734200,0,0,VILLAGE,Sirapalli,Rural,414,1413,712,701,107,60,47,366,182,184,0,0,0,778,492,286,635,220,415,983,513,470,958,503,455,456,222,234,299,117,182,7,2,5,196,162,34,25,10,15,0,0,0,21,8,13,0,0,0,4,2,2,430,199,231,4.0
33,9,,734300,0,0,VILLAGE,T.Kavundampalayam,Rural,360,1340,706,634,125,66,59,262,136,126,0,0,0,605,401,204,735,305,430,945,489,456,916,481,435,393,200,193,431,208,223,11,4,7,81,69,12,29,8,21,6,2,4,17,5,12,4,1,3,2,0,2,395,217,178,4.0
33,9,,734400,0,0,VILLAGE,Tidumal,Rural,379,1318,667,651,150,84,66,431,205,226,0,0,0,522,322,200,796,345,451,769,422,347,607,340,267,290,175,115,255,115,140,6,5,1,56,45,11,162,82,80,18,5,13,75,21,54,3,1,2,66,55,11,549,245,304,4.0
33,9,,734500,0,0,VILLAGE,Sirunallikoil,Rural,262,903,457,446,99,63,36,180,84,96,0,0,0,509,312,197,394,145,249,579,301,278,501,266,235,326,182,144,142,60,82,0,0,0,33,24,9,78,35,43,37,13,24,34,16,18,2,1,1,5,5,0,324,156,168,4.0
33,9,,734600,0,0,VILLAGE,Kurumbalamahadevi,Rural,565,2092,1059,1033,206,117,89,226,120,106,0,0,0,904,538,366,1188,521,667,1405,735,670,1393,725,668,274,140,134,846,409,437,13,1,12,260,175,85,12,10,2,0,0,0,3,1,2,0,0,0,9,9,0,687,324,363,4.0
33,9,,734700,0,0,VILLAGE,Kottamangalam,Rural,469,1735,885,850,152,78,74,456,233,223,0,0,0,1028,608,420,707,277,430,1208,613,595,1202,609,593,338,168,170,788,393,395,34,15,19,42,33,9,6,4,2,1,0,1,4,3,1,1,1,0,0,0,0,527,272,255,4.0
33,9,,734800,0,0,VILLAGE,Vadagarai Attur,Rural,1471,5500,2772,2728,560,303,257,1021,526,495,7,4,3,3118,1832,1286,2382,940,1442,3594,1912,1682,3511,1883,1628,596,383,213,1884,859,1025,486,243,243,545,398,147,83,29,54,3,1,2,32,13,19,9,3,6,39,12,27,1906,860,1046,4.0
33,9,,734900,0,0,VILLAGE,Periasolipalayam,Rural,992,3787,1879,1908,366,202,164,905,452,453,0,0,0,1892,1151,741,1895,728,1167,2286,1231,1055,2275,1226,1049,698,498,200,1264,501,763,25,12,13,288,215,73,11,5,6,2,1,1,7,4,3,2,0,2,0,0,0,1501,648,853,4.0
33,9,,735000,0,0,VILLAGE,Kabilakkurichi,Rural,871,3160,1583,1577,307,155,152,460,220,240,0,0,0,1924,1113,811,1236,470,766,2000,1133,867,1959,1117,842,636,379,257,498,232,266,283,124,159,542,382,160,41,16,25,20,7,13,12,8,4,6,0,6,3,1,2,1160,450,710,4.0
33,9,,735100,0,0,VILLAGE,Irukkur,Rural,622,2153,1084,1069,226,132,94,337,173,164,0,0,0,932,586,346,1221,498,723,1431,758,673,1397,745,652,452,286,166,431,177,254,13,5,8,501,277,224,34,13,21,10,3,7,14,4,10,0,0,0,10,6,4,722,326,396,4.0
33,9,,735200,0,0,VILLAGE,Maniekanatham,Rural,517,1765,899,866,137,63,74,238,109,129,0,0,0,971,622,349,794,277,517,1271,667,604,1210,656,554,739,381,358,277,124,153,2,1,1,192,150,42,61,11,50,1,1,0,55,7,48,0,0,0,5,3,2,494,232,262,4.0
33,9,,735300,0,0,VILLAGE,Kalipalayam,Rural,367,1281,643,638,127,75,52,184,96,88,0,0,0,686,415,271,595,228,367,970,488,482,756,439,317,462,261,201,136,67,69,4,2,2,154,109,45,214,49,165,116,26,90,27,11,16,16,3,13,55,9,46,311,155,156,4.0
33,9,,735400,0,0,VILLAGE,Kutlamparai,Rural,392,1333,657,676,151,75,76,454,228,226,0,0,0,567,349,218,766,308,458,874,448,426,855,444,411,270,145,125,84,36,48,29,15,14,472,248,224,19,4,15,1,0,1,12,1,11,0,0,0,6,3,3,459,209,250,4.0
33,9,,735500,0,0,VILLAGE,K.Puliyampatti,Rural,82,294,152,142,21,12,9,0,0,0,0,0,0,194,112,82,100,40,60,235,123,112,218,117,101,173,95,78,13,3,10,2,2,0,30,17,13,17,6,11,2,1,1,13,3,10,0,0,0,2,2,0,59,29,30,4.0
33,9,,735600,0,0,VILLAGE,Madagasampatty,Rural,376,1317,661,656,138,80,58,379,185,194,0,0,0,715,441,274,602,220,382,876,432,444,869,430,439,423,207,216,355,154,201,24,13,11,67,56,11,7,2,5,2,2,0,5,0,5,0,0,0,0,0,0,441,229,212,4.0
33,9,,735700,0,0,VILLAGE,Perumandampalayam,Rural,557,2005,1022,983,182,100,82,383,195,188,0,0,0,1091,653,438,914,369,545,1203,689,514,1189,683,506,601,354,247,498,259,239,8,4,4,82,66,16,14,6,8,8,5,3,6,1,5,0,0,0,0,0,0,802,333,469,4.0
33,9,,735800,0,0,VILLAGE,Sircarvalavandhi,Rural,716,2559,1271,1288,241,130,111,388,189,199,0,0,0,1479,893,586,1080,378,702,1597,848,749,1540,819,721,487,280,207,690,291,399,32,20,12,331,228,103,57,29,28,25,14,11,17,4,13,4,1,3,11,10,1,962,423,539,4.0
33,9,,735900,0,0,VILLAGE,Sengapalli,Rural,1179,4446,2197,2249,447,240,207,410,201,209,2,1,1,2712,1531,1181,1734,666,1068,2776,1460,1316,2745,1453,1292,610,320,290,1386,626,760,43,25,18,706,482,224,31,7,24,5,0,5,19,3,16,2,0,2,5,4,1,1670,737,933,4.0
33,9,,736000,0,0,VILLAGE,Ponjai Idaiyar Keelmugam,Rural,1189,4273,2129,2144,375,195,180,865,430,435,0,0,0,2658,1563,1095,1615,566,1049,2850,1475,1375,2803,1464,1339,830,422,408,1312,602,710,78,28,50,583,412,171,47,11,36,17,4,13,21,2,19,1,1,0,8,4,4,1423,654,769,4.0
33,9,,736100,0,0,VILLAGE,Idumbankulam,Rural,382,1359,687,672,126,60,66,33,14,19,0,0,0,841,467,374,518,220,298,942,473,469,932,466,466,201,106,95,583,284,299,63,17,46,85,59,26,10,7,3,0,0,0,9,6,3,1,1,0,0,0,0,417,214,203,4.0
